ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000200,PR-00000190,Long Day Care,Woombye Child Care Centre,WJT & BJ Canty ATF the Canty Unit Trust,29 Blackall Street  ,WOOMBYE,QLD,4559,07 5442 1999,,woombyechildcare@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 11.30am to 1.30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,58,9/28/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://woombyechildcare.com.au/,"""ages 15 months to 5 years""","""15 months - 24 months: $75.00, 25 months - 35 months: $72.00, 36 months - 5 years: $64.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001140,PR-00000666,Out of Hours Care,Bli Bli State School Outside School Hours Care,Bli Bli State School Parents & Citizens Association ,Bli Bli State School  School Road,BLI BLI,QLD,4560,5458 2130,,bliblioshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,75,6/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://blibliss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 8.40am, ASC: 3.00pm - 6.00pm, VC: 8.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001289,PR-00000063,Short Day Care,Brookes Street Nambour Kindergarten and Preschool,Brookes Street Nambour Kindergarten & Preschool Assoc Inc,17 Brookes Street  ,NAMBOUR,QLD,4560,07 5441 1750,07 5441 1750,brookesstkindy@optusnet.com.au, Approved alternative solutions relating to Performance Criteria P5 P6 P7 P12 P14 within SP5.4 – Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service.   This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/4/14,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,,"""ages 36 months to 5 years""","""36 months - 5 years: $32.25""",,,,,,,,,,,,,,,,,,,,,,
SE-00000197,PR-00008029,Short Day Care,C&K Nambour Childcare Centre,The Creche and Kindergarten Association Limited,28 Windsor Road  ,NAMBOUR,QLD,4560,07 5441 2308,54763164,nambourccc@candk.asn.au, This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide a rest period from  12.00pm to 2.00pm on - Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,63,6/8/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/nambourccc,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $81.10""",7.00am - 6.00pm,F,,,,,T,F,,,,,,,,,,,,,,
SE-00002008,PR-00001089,Family Day Care,Family Day Care Providers C & R Cowling-Scaife,Fdc Rainbow House Pty Ltd ,Shop 1   64-66 Howard Street,NAMBOUR,QLD,4560,5476 3373,54416818,enquiries@crfamilydaycareproviders.com.au,,0,11/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.crfamilydaycareproviders.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $6.00 - $20.00*""",12.00am - 11.59pm,F,,,,,,,,,,,,,,,,,,,,
SE-00000584,PR-00001129,Long Day Care,Goodstart Early Learning Nambour - City View Terrace,Goodstart Early Learning Ltd,1A City View Terrace  ,NAMBOUR,QLD,4560,07 5441 6555,,sut@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/nambour-city-view-terrace/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $79.10, 25 months - 5 years: $76.00""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000585,PR-00001129,Long Day Dare,Goodstart Early Learning Nambour - Doolan Street,Goodstart Early Learning Ltd,32 Doolan Street  ,NAMBOUR,QLD,4560,07 5441 6677,,nao@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/nambour-doolan-street/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $83.50, 25 months - 5 years: $76.30""",6.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000334,PR-00000065,Long Day Care,Kameruka Child Care Centre,Palmer Dale Christopher and Roslyn Nola,17 Quarry Street  ,NAMBOUR,QLD,4560,07 5441 3124,07 54761248,kamerukaccc@gmail.com, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,43,12/2/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-40000755,PR-00006705,Long Day Care,Little Sprouts Early Learning Centre,Kimcho Pty Ltd,50 Parklakes Drive  ,Bli Bli,QLD,4560,754508460,,littlesprouts@bigpond.com, This service is approved to provide education and care to children from birth up to and including school children,75,9/8/16,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://littlesproutsearlylearningcentre.com.au/,"""ages 6 weeks to 5 years""",,6.15am - 6.15pm,,,,,,,,,T,,,,,,,,,,,,
SE-00001434,PR-00000360,Short Day Care,Nambour Community Preschool & Kindergarten,Nambour & District Kindergarten Association Inc,1 James Street  ,NAMBOUR,QLD,4560,07 5441 1169,,jamesst.kindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,12/20/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 4 years to 6 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001037,PR-00000659,Outside of Hours Care*,PCYC Sunshine Coast - Burnside SAC,Queensland Police-Citizens Youth Welfare Association ,Cnr Windsor and Blaxland Roads  ,NAMBOUR,QLD,4560,5441 0808,,burnsidesac@pcyc.org.au, The maximum number of children able to be provided with education and care after school is 33 The maximum number of children able to be provided with education and care before school is 30 The maximum number of children able to be provided with education and care during school holidays is 33 This service is approved to provide education and care to children from over preschool age including school age children.,45,8/11/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Sunshine-Burnside.aspx,"""ages 5 years to 12 years""","""BSC: $18.00, ASC: $23.00, VC: $50.00""","""BSC: 6.30am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",T,,,,,,,,T,,,,,,,,,,,,
SE-00001775,PR-00000659,Outside of Hours Care*,PCYC Sunshine Coast - Mapleton School Age Care,Queensland Police-Citizens Youth Welfare Association ,Mapleton State School  Flaxton Drive,MAPLETON,QLD,4560, 54 786 408,54 786 904,mapletonsac@pcyc.org.au, This service may provide education and care to children after school and during school holidays only. This service is approved to provide education and care to children from over preschool age including school  children.,30,1/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://pcyc.org.au/School-Age-Care/Sunshine-Coast-Mapleton.aspx,"""ages 5 years to 12 years""","""ASC: $23.00""",3.00pm - 6.00pm,T,,,,,,,,T,,,,,,,,,,,,
SE-40000238,PR-00000659,Outside of Hours Care*,PCYC Sunshine Coast - Nambour School Age Care,Queensland Police-Citizens Youth Welfare Association ,Nambour State School  Coronation Ave,NAMBOUR,QLD,4560,5441 2915,0754 422 633,namboursac@pcyc.org.au, - This service is approved to provide education and care to 45 children before school and after school. - This service is approved to provide education and care to children from over preschool age including school children.,45,1/26/17,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Sunshine-Nambour-SS.aspx,"""ages 5 years to 12 years""","""BSC: $18.00, ASC: $23.00""","""BSC: 6.30am - 8.45am, ASC: 3.00pm - 6.00pm""",T,,,,,,,,T,,,,,,,,,,,,
SE-00002082,PR-00000659,Outside of Hours Care,PCYC Sunshine Coast School Age Care,Queensland Police-Citizens Youth Welfare Association ,Sunshine Coast PCYC  Youth Avenue,NAMBOUR,QLD,4560,54412915,54412263,rhonda.burns@pcyc.org.au, This service may provide education and care to children during school holidays only. This service is approved to provide education and care to children from over preschool age including school children.,60,2/19/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://pcyc.org.au/School-Age-Care/Sunshine-Coast.aspx,"""ages 5 years to 12 years""","""VC"" $50.00""",7.00am - 6.00pm,T,,,,,,,,T,,,,,,,,,,,,
SE-00000957,PR-00000702,Outside of Hours Care,St Joseph's Parish Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Joseph's Primary School  177 Currie Street ,NAMBOUR,QLD,4560,5441 7646,,nambouroshc@bne.centacare.net.au, The maximum number of children able to be provided with education and care after school is 60  The maximum number of children able to be provided with education and care before school is 30  The maximum number of children able to be provided with education and care during school holidays is 60  This service is approved to provide education and care to children from over preschool age including school age children.,60,7/2/15,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,,"""ages 5 years to 12 years""","""ASC: $18.00""",3.00pm - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00001776,PR-00001153,Long Day Care,Sunkids Children's Centre Bli Bli,Kinder Educentres Pty Ltd ATF the Farro Trust,8 Lefoes Road  ,BLI BLI,QLD,4560,5450 8875,,blibli@sunkids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,4/3/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://bliblichildcare.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $74.50, 25 months - 5 years: $72.50""",6.15am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00002077,PR-00000838,Long Day Care,Tadpoles Early Learning Centre - Burnside ,Bhl Childcare Limited,87 Coes Creek Road  ,BURNSIDE,QLD,4560,5441 6266,5441 6233,burnside@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/20/14,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.tadpoles.com.au/our-locations/tadpoles-burnside.html,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $78.50, 25 months - 35 months: $78.00, 36 months - 5 years: $76.00""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001452,PR-00000211,Short Day Care,The Range Community Kindergarten,The Range Community Kindergarten Inc,64 Flaxton Drive  ,MAPLETON,QLD,4560,07 5445 7515,,rangekindergarten@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,20,6/5/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://rangecommunitykindy.wordpress.com/,"""ages 3.5 years - 5 years""","""3.5 years - 5 years: $640.00 per term*""",8.30am - 2.30pm,F,,,,,T,T,$5.00,,,,,,,,,,,,,
SE-00014057,PR-00008029,Short Day Care,C&K Yandina Community Kindergarten,The Creche and Kindergarten Association Limited, 48 School Road   ,YANDINA,QLD,4561,07 5472 7248,07 5472 7340,yandina@candk.asn.au, The service is approved to provide education and care to children from 36 months up to and including preschool age not including school children.,24,7/21/16,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/yandina,"""ages 3.5 years - 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001758,PR-00000898,Long Day Care,Coolabah Early Childhood Development Centre - Yandina No 2,G8 Education Limited,12 Stevens St  ,YANDINA,QLD,4561,5472 8011,5472 8022,yandina2@communitykids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3pm to 5pm when it it 84 children. This service is approved to provide education and care to children from birth up to and including school children.,68,11/3/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.communitykids.com.au/centres/yandina-childcare/,"""6 weeks to 6 years""","""6 weeks - 24 months: $79.00, 25 months - 35 months: $78.00, 36 months - 6 years: $77.00""",6.00am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000684,PR-00000898,Long Day Care,Coolabah Early Childhood Development Centre Yandina 1,G8 Education Limited,18A Low Street  ,YANDINA,QLD,4561,07 5472 7000,5472 7000,yandina1@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 84 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,8/17/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.communitykids.com.au/centres/yandina-childcare/,"""6 weeks to 6 years""","""6 weeks - 24 months: $79.00, 25 months - 35 months: $78.00, 36 months - 6 years: $77.00""",6.00am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00001174,PR-00006559,Out of Hours Care,Helping Hands Yandina,Helping Hands Network Foundation Ltd,C/- Yandina State School  School Road,YANDINA,QLD,4561,0427 007 783,,yandina@helpinghandsnetwork.com.au, The maximum number of children able to be provided with education and care after school is 35 The maximum number of children able to be provided with education and care before school is 20 The maximum number of children able to be provided with education and care during school holidays is 50 This service is approved to provide education and care to children from over preschool age including school age children.,50,11/22/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001015,PR-00000531,Out of Hours Care,North Arm State School Before & After School Care,North Arm State School P&C Association,North Arm School  Fairhill Road,NORTH ARM,QLD,4561,0418 858 967,54729800,cockie748@gmail.com, This service may provide education and care before and after school only. An approved alternative solution relating to Performance Criteria  P18 within SP5.4 – Child Care Centres of the Queensland Development Code with a publication date of 16 November 2007 applies to this service.  This service is approved to provide education and care to children from over preschool age including school children.,40,6/21/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,https://ntharmss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: $11.00, ASC: $16.50""","""BSC: 7.00am - 9.00am, ASC: 3.00pm - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00000983,PR-00000292,Out of Hours Care,Eumundi Outside School Hours Care,Eumundi State School P&C Association,C/- Eumundi State School  22 Caplick Way ,EUMUNDI,QLD,4562,0408 981 245,,essoshc@bigpond.com, The maximum number of children able to be provided with education and care after school is 45 The maximum number of children able to be provided with education and care during school holidays is 45 The maximum number of children able to be provided with education and care before school is 45 This service is approved to provide education and care to children from over preschool age including school age children.,30,10/31/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://eumundiss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $15.00""",,,,,,,,,,,,,,,,,,,,,,
SE-00000556,PR-00001129,Long Day Care,Goodstart Early Learning Eumundi,Goodstart Early Learning Ltd,4 Napier Road   ,EUMUNDI,QLD,4562,07 5442 8755,,euu@goodstart.org.au, This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 11.30am to 1.30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,62,12/1/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/eumundi/overview,"""ages 15 months - 5 years""","""13 months - 24 months: $81.90, 25 months - 5 years: $74.20""",6.30am - 5.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00002391,PR-00001223,Family Day Care,Louera Family Day Care Scheme ,Witini ATF the R N Wallbridge Trust,37 Wattlebird Drive     ,DOONAN,QLD,4562,5449 1959,54491829,anne@louerafdcs.com.au,,0,6/28/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.louerafdcs.com.au/,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00002246,PR-00001102,Short Day Care,Noosa Pengari Steiner School Preschool ,Noosa Pengari Steiner School Association Inc ,86 Nyell Road   ,DOONAN,QLD,4562,54710199,,enquiries@noosasteiner.qld.edu.au, At all times when education and care is being provided under the service approval the total number of children at the premises does not exceed 42.  This includes children receiving care under the service approval and school children sharing the approved facilities; and. Whenever children receiving child care under the service approval are present a staff to child ratio complying with relevant Regulation is applied to all the children present. An approved alternative solution relating to Performance Criteria P2 Indoor play facilities P5 Toilet facilities P8 Personal washing facilities P9 Food preparation facilities and P14 Administration facilities within SP5.4 – Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. Children are only showered in the adult shower facility in conjunction with policies and procedures which address staff ratios and child protection issues. At all times that education and care is being provided under this service approval there must not be less than 3.25m2 of indoor play space and 7m2 of outdoor play space per child attending the premise with the total number of children at the premise not to exceed 42  including the children being educated and cared for under this service approval and any other children using the premise. This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,14,1/28/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.noosasteiner.qld.edu.au/our-approach/curriculum.html#Pre-school,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001331,PR-00000042,Short Day Care,Cooroy Kindergarten,Cooroy Community Kindergarten Inc,13-15 Maple Street  ,COOROY,QLD,4563,07 5447 6037,5447 6037,cooroykindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,22,6/4/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://www.facebook.com/cooroykindy,,,8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000944,PR-00000926,Outside of Hours Care,Cooroy Outside School Hours Care,Cooroy State School Parents and Citizens Association,Cooroy Outside School Hours Care  59 Elm Street,COOROY,QLD,4563,07 5447 7622,,cooroy_oshc@bigpond.com, The maximum number of children able to be provided with education and care after school is 54 The maximum number of children able to be provided with education and care before school is 30 The maximum number of children able to be provided with education and care during school holidays is 54. This service is approved to provide education and care to children from over preschool age including school age children.,54,8/19/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://cooroyss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.00am - 8.45am, ASC: 2.45am - 6.00pm, VC: 6.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00002389,PR-00001221,Family Day Care,Euphoria Family Day Care ,Euphoria Family Day Care Pty Ltd ATF The EFDC Trust  ,Top Floor   6 Emerald Street,COOROY,QLD,4563,54720119,54720086,enquiries@euphoriafamilydaycare.com.au,,0,10/27/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.euphoriafamilydaycare.com.au/family-day-care,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00000386,PR-00001082,Long Day Care,Karinya Montessori Children's House ,Karinya Montessori Pty Ltd and Powder Keg Enterprises Pty Ltd,11 Kauri Street  ,COOROY,QLD,4563,07 5472 0505,07 5472 0509,kcsteele@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,55,6/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.karinyamontessori.com/,"""ages 15 months - 6 years""","""15 months - 36 months: $57.00, 36 months - 6 years: $56.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-40000255,PR-00000771,Out of Hours Care,Noosa Christian College Outside School Hours Care and Vacation Care,Seventh Day Adventist Schools (South Queensland) Limited,20 Cooroy Belli Creek Rd  ,COOROY,QLD,4563,754477808,754477660,principal@noosacc.qld.edu.au,,60,9/7/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00000616,PR-00001118,Long Day Care,Smarty Pants Cooroy Daycare and Early Learning Centre,Billy Lids Australia Pty Ltd ATF Cooroy Child Care Trust,22 Kauri Street  ,COOROY,QLD,4563,07 5442 5700,,smartypants22@bigpond.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,63,7/4/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
