SE-00001122,PR-00000702,St Eugene's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Springfield Drive  ,BURPENGARY,QLD,4505,07 3888 4600,3888 8395,burpengaryoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,105,11/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000409,PR-00000973,Bright Horizons Australia Childcare Morayfield,Bright Horizons Australia Childcare Pty Ltd,1 Hillmont Crescent  ,MORAYFIELD,QLD,4506,07 5498 9199,5498 9179,morayfield@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth to and including school children.,68,27/07/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00002186,PR-00002539,Camp Australia Morayfield East OSHC,Camp Australia Pty Limited,Cnr Graham Rd & Glenwood Dve  ,MORAYFIELD,QLD,4506,0402 263 063,,qldmorayeast@oshccampaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children.,66,20/07/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000462,PR-00001129,Goodstart Early Learning Burpengary - Rowley Road,Goodstart Early Learning Ltd,71-77 Laurel Drive  ,MORAYFIELD,QLD,4506,07 3886 7094,,mfs@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,30/11/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS
SE-00000515,PR-00001129,Goodstart Early Learning Morayfield 1,Goodstart Early Learning Ltd,153-157 Graham Road  ,MORAYFIELD,QLD,4506,07 5497 9900,5497 9225,kdq@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,129,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001874,PR-00000817,Little Diggers Early Learning Centre,Little Diggers Elc Pty Ltd,124 - 128 Petersen Rd  ,MORAYFIELD,QLD,4506,5497 9341,5497 9347,admin@littlediggers.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,23/12/12,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS
SE-00002127,PR-40000649,Little Hands Early Learning Centre Morayfield,Jobtube Pty Ltd ATF The Jobtube Trust,10-16 Madeline Drive  ,MORAYFIELD,QLD,4506,07 5428 6430,5428 6938,littlehandselc@bigpond.com, This service is approved to provide education and care to children from 15 months up to and including school children,30,6/10/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002172,PR-00001030,Minimbah Helping Hands,Helping Hands Network Pty Ltd,C/- Minimbah State School  Cnr Walkers Road and Minimbah Drive,MORAYFIELD,QLD,4506,0429 862 200,07 5493 1847,minimbah@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,75,28/01/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001944,PR-00000344,Morayfield Early Childhood Centre & Preschool,Queensland Early Childhood Centres Pty Ltd,58 - 60 Michael Ave   ,MORAYFIELD,QLD,4506,5432 4488,5432 4888,morayfield@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,15/11/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000994,PR-40001141,Morayfield Early Education,AKS & Co Pty Ltd ATF The Play & Learn Morayfield Unit Trust,15 Graham Rd  ,MORAYFIELD,QLD,4506,5433 1001,5433 1005,morayfield@playandlearn.com.au,,75,6/07/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000562,PR-00000344,Morayfield West Early Childhood Centre and Preschool,Queensland Early Childhood Centres Pty Ltd,14 Grant Road   ,MORAYFIELD,QLD,4506,07 5499 0411,5499 0416,westmorayfield@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,28/07/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000548,PR-00000431,Sesame Lane Child Care Centre - Morayfield,Sesame Lane Pty Ltd,Cnr Caboolture River Rd &  Lorebury Drive,MORAYFIELD,QLD,4506,07 5495 4600,07 5495 4204,morayfield@sesamelane.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:00pm when it is 85 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,6/09/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS
SE-00001600,PR-00000154,The Kidz Cubby Educational Centre,The Cubby Educational Centre Pty Ltd,373-375 Oakey Flat Rd  ,MORAYFIELD,QLD,4506,5498 7666,5428 7225,director@thekidzcubby.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,150,27/08/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000315,PR-40001112,Bribie Island Childcare and Kindergarten,Affinity Education Group Limited,13 Third Avenue  ,BRIBIE ISLAND,QLD,4507,07 3408 0666,3408 0667,bribieislandccc@affinityeducation.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,16/12/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001287,PR-00000430,Bribie Island Community Kindergarten,Bribie Island Community Kindergarten Inc,30 Cotterill Avenue  ,BRIBIE ISLAND,QLD,4507,07 3408 1788,,admin@bribiekindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,3/05/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Excellent
SE-00014007,PR-00008029,C&K Banksia Beach Community Kindergarten,The Creche and Kindergarten Association Limited, 21 Alpinia Avenue   ,BANKSIA BEACH,QLD,4507,3410 8740,3410 8746,banksiabeach@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,21/07/16,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00001631,PR-00001129,Goodstart Early Learning Banksia Beach,Goodstart Early Learning Ltd,20 Orara Avenue  Banksia Beach,BRIBIE ISLAND,QLD,4507,3408 6255,,bri@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001809,PR-00001129,Goodstart Early Learning Bongaree,Goodstart Early Learning Ltd,44 First Avenue  ,BONGAREE,QLD,4507,3410 1115,,bgr@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,57,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00014002,PR-00006559,Helping Hands Banksia Beach,Helping Hands Network Foundation Ltd, Banksia Beach State School  Sunderland Drive,BANKSIA BEACH,QLD,4507,0448 080 489,5341 8958,banksiabeach@helpinghandsnetwork.com.au, The school is approved to provide education and care to children from over preschool age including school children.,60,10/07/16,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS
SE-00002321,PR-00001030,Helping Hands Bribie Island,Helping Hands Network Pty Ltd,C/- Bribie Island State School  31-63 First Avenue,BRIBIE ISLAND,QLD,4507,0488 446 320,5341 8958,bribieisland@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,60,5/10/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000605,PR-00000692,Bayside Kids Education Centre,Preschool Services Australia Pty Ltd ATF Karen Williams Family Trust,121 Cross Street  ,DECEPTION BAY,QLD,4508,3204 9755,3204 9174,info@baysidekids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,10/11/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001271,PR-00000517,Bayview Kindergarten,Bayview Kindergarten Association Inc,33 Bayview Tce  ,DECEPTION BAY,QLD,4508,07 3203 2093,,baykindy@bigpond.net.au; admin@bayviewkindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,4/06/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001650,PR-00000973,Bright Horizons Australia Childcare Deception Bay,Bright Horizons Australia Childcare Pty Ltd,2 Lipscombe Road  ,DECEPTION BAY,QLD,4508,07 3203 2999,,deceptionbay@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,23/07/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002315,PR-00008029,C&K Deception Bay North Community Kindergarten,The Creche and Kindergarten Association Limited,47 Old Bay Road  ,DECEPTION BAY,QLD,4508,3293 4662,3293 4678,deceptionbay@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,25/01/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00001124,PR-00000702,Christ The King Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Christ The King Catholic School  54 Thompson Street,DECEPTION BAY,QLD,4508,07 3204 2760,07 3204 2760,deceptionbayoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,45,1/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000517,PR-00000898,Deception Bay Child Care Centre,G8 Education Limited,5 Monarch Drive  ,DECEPTION BAY,QLD,4508,07 3888 5355,3888 5557,deceptionbay1@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 84 children This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,5/02/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001859,PR-00000898,Deception Bay Children's Centre,G8 Education Limited,5 - 9 Monarch Drive  ,DECEPTION BAY,QLD,4508,3888 8858,3888 8854,deceptionbay2@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30 pm to 4:30pm when it is 50 children. This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00 pm to 2:00 pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,44,18/09/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00001723,PR-00001129,Goodstart Early Learning Moreton Downs,Goodstart Early Learning Ltd,2-8 Mariner Blvd  ,DECEPTION BAY,QLD,4508,3204 2088,,mds@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002233,PR-00001030,Helping Hands - Moreton Downs,Helping Hands Network Pty Ltd,C/- Moreton Downs State School  Parsons Blvd,DECEPTION BAY,QLD,4508,0407 198 245,,moretondowns@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children,54,6/10/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000739,PR-00001059,Little Bears At Honey Pot Quality Childcare Centre,M & T Green Pty Ltd ATF Green Family Trust,59 - 61 Shayne Avenue  ,DECEPTION BAY,QLD,4508,07 3204 8244,3204 8788,honeyq@tpg.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,102,15/02/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000672,PR-00007755,Moreton Downs Early Education Centre,Early Education Australia Pty Ltd,31 Spencer Avenue  ,DECEPTION BAY,QLD,4508,07 3204 1199,3204 2399,moretondowns1@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,3/10/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00013975,PR-00000659,PCYC Deception Bay - Deception Bay North School Age Care,Queensland Police-Citizens Youth Welfare Association ,Deception Bay North State School  Old Bay Road,DECEPTION BAY,QLD,4508,3293 0166 (DBay SAC),,deceptionbaynorthsac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,60,26/06/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001728,PR-00001129,Goodstart Early Learning North Lakes - College Street 2,Goodstart Early Learning Ltd,5 - 7 College Street  ,NORTH LAKES,QLD,4509,3886 5455,,nlc@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children,102,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001820,PR-00001129,Goodstart Early Learning North Lakes - College Street 3,Goodstart Early Learning Ltd,5-7 College Street  ,MANGO HILL,QLD,4509,3886 5355,,nlc2@goodstart.org.au, This service is approved to provide education and care to children from over preschool age including school children.,17,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001960,PR-00001129,Goodstart Early Learning North Lakes - Winn Street,Goodstart Early Learning Ltd,2 Winn Street  ,NORTH LAKES,QLD,4509,3886 2533,,not@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,30/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002334,PR-00001030,Helping Hands Bounty Boulevard,Helping Hands Network Pty Ltd,C/- Bounty Boulevard State School  Bounty Boulevard,NORTH LAKES,QLD,4509,0459 990 652,5341 8958,bountyboulevard@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from preschool age including school children.,120,14/12/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00014003,PR-00006559,Helping Hands Mango Hill,Helping Hands Network Foundation Ltd,Mango Hill State School   Bonnet Parade,MANGO HILL,QLD,4509,0458 009 829,5341 8959,mangohill@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,90,7/07/16,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS
SE-00002177,PR-00001037,Kids Capers Childcare Mango Hill,Paul Theodore Vandermeer & Australian National Homes Pty Ltd ATF The Anh Trust,Lot 2 Freshwater Creek Road  ,MANGO HILL,QLD,4509,3204 6188,3204 4377,mangohill@caperschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,117,23/08/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS
SE-00002263,PR-00000813,Kids Capers Childcare North Lakes,Australian National Homes Pty Ltd ATF The Anh Trust,1-7  Aurora Blvd   ,NORTH LAKES,QLD,4509,07 3204 5166,3482 4599,northlakes1@caperschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to chidlren from birth up to and including school children.,138,23/08/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40001672,PR-00004831,Mission Australia Early Learning Mango Hill,Mission Australia Early Learning Services Limited,Bonnet Pde  ,MANGO HILL,QLD,4509,400000000,,NQAITS.admin@dete.qld.gov.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,22,22/03/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000762,PR-00001126,North Lakes Kids Early Learning Centre,Mandhu Pty Ltd ATF The Patel Trust and Azuraan Investments Pty Ltd ATF The Azuraan Trust,2 Foundation Street   ,NORTH LAKES,QLD,4509,07 3491 7243,07 3491 7229,northlakeskids@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,128,21/12/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Exceeding NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS
SE-00002176,PR-00001033,North Lakes State College OSHC,North Lakes State College P & C Association,1 Memorial Drive   ,NORTH LAKES,QLD,4509,3482 5562,3482 5559,oshc.nl@gmail.com, This service is approved to provide education and care to children from over preschool age including school children.,140,28/11/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002267,PR-00000431,Sesame Lane Child Care Centre North Lakes 2,Sesame Lane Pty Ltd,16 Joyner Circuit  ,NORTH LAKES,QLD,4509,07 3491 7013,07 3491 7865,northlakes2@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children.,150,21/01/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000960,PR-00000431,Sesame Lane Child Care Centre North Lakes 3,Sesame Lane Pty Ltd,67 Astley Pde  ,NORTH LAKES,QLD,4509,07 3491 7240,,northlakes3@sesamelane.com.au,,107,2/07/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
