SE-00002250,PR-00000697,Immanuel Early Learning Centre,Lutheran Church of Australia Queensland District,126-142 Wises Road  ,MAROOCHYDORE,QLD,4558,07 5477 3416,754773417,ielc@immanuel.qld.edu.au, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children This service is approved to provide a rest period from 1:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,66,4/01/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001090,PR-00000697,Immanuel Lutheran College After School & Vacation Care,Lutheran Church of Australia Queensland District,126-142 Wises Road  ,BUDERIM,QLD,4556,07 5477 3418,07 5477 3482,oshc@immanuel.qld.edu.au, This service may provide education and care after school and during school holidays only. The maximum number of children able to be provided with education and care after school is 45 The maximum number of children able to be provided with education and care during school holidays is 75 This service is approved to provide education and care to children from over preschool age including school age children.,75,13/11/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000694,PR-00000081,Ipswich Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,Cnr Toongarra & Samford Roads  ,LEICHHARDT,QLD,4305,07 3282 9300,07 3282 9377,ipswich@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 80 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,19/11/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000817,PR-00000526,Ipswich Family Day Care,Family Day Care Association Queensland Inc,54 Phillip Street  ,ONE MILE,QLD,4305,07 3202 2066,3202 2034,manager@ipswichfamilydaycare.com.au,,0,1/07/11,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00000852,PR-00000526,Isis Family Day Care,Family Day Care Association Queensland Inc,4/75 Churchill Street  ,CHILDERS,QLD,4660,41262856 0439717139,07 4126 3087,peta.mcnellie@fdcqld.org,,0,5/07/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-40000639,PR-40000259,Kadhego Ngurpay Lag Pre-Prep Program,State of Queensland (Acting through Department Education Training and Employment),School Road  ,Saibai Island,QLD,4875,40694122,40694047,lccha0@eq.edu.au,,25,1/10/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001757,PR-40000066,Kallangur Child Care,Lakota (Queensland) Pty Ltd,88 Brickworks Road  ,KALLANGUR,QLD,4503,3204 4800,,info@kallangurchildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/11/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000211,PR-00000703,Kallangur Community Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,116 Ann Street  ,KALLANGUR,QLD,4503,07 3204 6000,3886 4733,kallangurcecc@cofcqld.com.au cassandra.dinte@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,29/08/10,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Working Towards NQS
SE-00000718,PR-00000344,Kids Village Child Care Centre,Queensland Early Childhood Centres Pty Ltd,153 Smith Road  ,Woodridge,QLD,4114,07 3299 2500,07 3299 2500,KidsVillage@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 57 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,52,30/11/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000783,PR-40000682,Kindilan Outdoor Education and Conference Centre,Guides Queensland,Cnr Days Road and German Church Road  ,Redland Bay,QLD,4165,07 3206 7291,07 3829 0026,cst3@kindilan.net.au, The service is approved to provide education and care to children during school holidays only.,123,18/12/12,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000622,PR-40000259,Kowanyama State School Pre-Prep Program,State of Queensland (Acting through Department Education Training and Employment),Kowanyama Street  ,KOWANYAMA,QLD,4871,07 4083 7333,07 4060 5280,rmchu6@eq.edu.au,,24,23/04/13,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00000799,PR-00000101,Lady Gowrie Queensland Family Day Care Scheme,The Gowrie (Qld) Inc.,7 Mallon Street   ,BOWEN HILLS,QLD,4006,07 3252 2667,07 3252 2258,jenni.burns@ladygowrie.com.au,,0,1/10/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002295,PR-00000697,Little Lambs Early Learning Centre ,Lutheran Church of Australia Queensland District,115 Eumundi Road  ,NOOSAVILLE,QLD,4566,07 5455 8688,07 54498086,littlelambs@gslc.qld.edu.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,48,13/10/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000212,PR-00000697,Living Faith Early Learning Centre,Lutheran Church of Australia Queensland District,9A Armstrong Street  ,PETRIE,QLD,4502,07 3285 4033,3285 4399,lfelc_adsl@hotkey.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,18/06/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001841,PR-00000697,Living Faith OSHC,Lutheran Church of Australia Queensland District,60 Brays Road  ,MURRUMBA DOWNS,QLD,4503,3385 0394,,livingfaith.oshc@qlecs.org.au, This service is approved to provide education and care to children from over preschool age including school children.,70,13/02/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40001089,PR-40000259,Lockhart State School Pre-Prep,State of Queensland (Acting through Department Education Training and Employment),Puchewoo Street  ,Lockhart River,QLD,4871,07 4083 3888,07 4083 3800,jscar34@eq.edu.au,,24,16/08/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001680,PR-00000081,Lockyer Valley Early Education Centre & Pre-School ,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,53 William Street  ,GATTON,QLD,4343,07 5462 3100,07 5462 3033,lockyervalley@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,117,29/03/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000906,PR-00000773,Loosends Outside School Hours Care,The Baptist Union of Queensland,23 Chapel Street  ,NUNDAH,QLD,4012,07 3266 4626,07 3266 4631,loosends@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,100,19/12/09,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00013966,PR-00000697,Lords Little Wonders Kindergarten,Lutheran Church of Australia Queensland District,68 Mirambeena Drive    ,PIMPAMA,QLD,4209,07 5540 8877, ,sarah.matjac@lords.qld.edu.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,22/12/11,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00000529,PR-00000081,Lowood Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,9 Park Street  ,LOWOOD,QLD,4311,07 5426 1500,,lowood@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,21/12/10,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00001971,PR-00000697,Martin Luther Community Kindergarten,Lutheran Church of Australia Queensland District,402 Hume Street  ,TOOWOOMBA,QLD,4350,07 4613 5610,,martinluther.kgt@qlecs.org.au,,22,31/03/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00001217,PR-00000697,Martin Luther Outside School Hours Care,Lutheran Church of Australia Queensland District,402 Hume Street  ,TOOWOOMBA,QLD,4350,07 4635 0436, 07 46135 663,martinluther.oshc@qlecs.org.au, This service may provide education and care after school and during school holidays only.,45,31/03/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Working Towards NQS
SE-00000838,PR-00000703,Maryborough and Districts Family Day Care Scheme,Churches of Christ In Queensland Churches of Christ Care,26 Jupiter Street  ,MARYBOROUGH,QLD,4650,07 4122 4151,07 4123 0270,mbfdc@cofcqld.com.au,,0,23/11/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000653,PR-40000259,Masig Muisau Moegi Kaziw Ngurpay Lag (Pre-Prep Program),State of Queensland (Acting through Department Education Training and Employment),Tagai State College- Yorke Island Campus  Williams Rd,YORKE ISLAND,QLD,4875,40694136,40694075,mnai6@eq.edu.au,,25,1/10/13,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00001944,PR-00000344,Morayfield Early Childhood Centre & Preschool,Queensland Early Childhood Centres Pty Ltd,58 - 60 Michael Ave   ,MORAYFIELD,QLD,4506,5432 4488,5432 4888,morayfield@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,14/11/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000562,PR-00000344,Morayfield West Early Childhood Centre and Preschool,Queensland Early Childhood Centres Pty Ltd,14 Grant Road   ,MORAYFIELD,QLD,4506,07 5499 0411,5499 0416,westmorayfield@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,27/07/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000104,PR-00000697,Nazareth Lutheran Early Learning Centre,Lutheran Church of Australia Queensland District,18 - 20 Hawthorne Street  ,WOOLLOONGABBA,QLD,4102,07 3891 1016,3391 1707,nazareth.elc@qlecs.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,44,27/08/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000174,PR-00000697,New Life Lutheran Child Care Centre,Lutheran Church of Australia Queensland District,108 Middle Road  ,HILLCREST,QLD,4118,07 3800 1299,07 3800 1399,new_life@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,56,23/05/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000255,PR-00000771,Noosa Christian College Outside School Hours Care and Vacation Care,Seventh Day Adventist Schools (South Queensland) Limited,20 Cooroy Belli Creek Rd  ,COOROY,QLD,4563,754477808,754477660,principal@noosacc.qld.edu.au,,60,6/09/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000520,PR-00000703,North Buderim Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,1 - 3 Lakeshore Ave  ,NORTH BUDERIM,QLD,4556,07 5476 8333,54768484,NORTHBUDERIMECC@COFCQLD.COM.AU, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,60,12/04/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002013,PR-00000771,North Pine Christian College Child Care & Early Learning Centre,Seventh Day Adventist Schools (South Queensland) Limited,Cnr Old Gympie Road Hughes Road East  ,DAKABIN,QLD,4503,3204 6301,3204 6810,childcare@northpine.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,78,30/01/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002203,PR-00000771,North Pine Christian College Outside School Hours Care,Seventh Day Adventist Schools (South Queensland) Limited,29 Hughes Road   ,DAKABIN,QLD,4503,3204 4678,3204 6810,childcare@northpine.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,80,29/06/09,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000624,PR-40000259,Northern Peninsula Area College- Bamaga Pre-Prep Program,State of Queensland (Acting through Department Education Training and Employment),Anu Street  ,BAMAGA,QLD,4876,07 4090 4444,07 4059 4300,acove6@eq.edu.au,,24,23/04/13,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS
SE-40000635,PR-40000259,Northern Peninsula Area College- Injinoo Pre-Prep Program,State of Queensland (Acting through Department Education Training and Employment),Francis Street  ,INJINOO,QLD,4876,07 4090 4888,07 4059 3131,mesel1@eq.edu.au,,25,23/04/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002135,PR-00000081,P.A. Hospital Early Education Centre,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,Off O'Keefe Street   ,WOOLLOONGABBA,QLD,4102,07 3392 0039,,pahospital@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,3/10/11,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00013964,PR-00000697,Pacific Lutheran Early Learning,Lutheran Church of Australia Queensland District,Woodlands Boulevard     ,MERIDAN PLAINS,QLD,4551,54367300,54367301,szweck@pacluth.qld.edu.au, This service is approved to provide education and care to children from 36 months up to and including school children.,46,22/12/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS
SE-00001238,PR-00000697,Pacific Lutheran Outside School Hours Care,Lutheran Church of Australia Queensland District,Woodlands Blv  ,BIRTINYA,QLD,4551,07 5436 7328,07 5436 7301,oshc@pacluth.qld.edu.au, The maximum number of children able to be provided with education and care after school is 35 The maximum number of children able to be provided with education and care before school is 20 The maximum number of children able to be provided with education and care during school holidays is 35,35,4/07/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002337,PR-00000703,Parklands Early Childhood Community Centre,Churches of Christ In Queensland Churches of Christ Care,Cnr Of Crestwood Drive And  Olsen Ave,SOUTHPORT,QLD,4215,07 55946544,,parklandseccc@cofcqld.com.au, This service is approved to provide education and care to children from children from 15 months up to and including over preschool age not including school children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017,36,18/01/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00002088,PR-00000659,PCYC  Inala - Pallara School Age Care,Queensland Police-Citizens Youth Welfare Association ,Pallara State School  282 Ritchie Road,PALLARA,QLD,4110,3372 2222,07 3809 4506,pallarasac@pcyc.org.au,,60,12/07/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS
SE-00001212,PR-00000659,PCYC Ashmore - Palm Beach SAC,Queensland Police-Citizens Youth Welfare Association ,13-19   Nineteenth Avenue,PALM BEACH,QLD,4221,07 5576 6189,07 5535 4118,wendy.ross@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,70,27/05/10,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00002048,PR-00000659,PCYC Ashmore School Age Care,Queensland Police-Citizens Youth Welfare Association ,Ashmore PCYC  Dominions Rd,ASHMORE,QLD,4214,5539 5774,5539 3894,chelsey.maclean@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,120,4/06/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000866,PR-00000659,PCYC Bayside - Lota School Age Care,Queensland Police-Citizens Youth Welfare Association ,Bayside PCYC  Cnr Macdonald & Alexander Sts,LOTA,QLD,4179,3893 4092,07 3396 1947,tracey.burgess@pcyc.org.au, The maximum number of children able to be provided with education and care before school is 45 The maximum number of children able to be provided with education and care after school is 75  The maximum number of children able to be provided with education and care during school holidays is 140 An approved alternative solution relating to Performance Criteria  P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. ,140,5/09/09,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001197,PR-00000659,PCYC Bayside - Redlands College School Age Care,Queensland Police-Citizens Youth Welfare Association ,Redlands College  38 Anson Road,WELLINGTON POINT,QLD,4160,07 3286 0274,07 3207 3799,tracey.burgess@pcyc.org.au,,40,27/04/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001842,PR-00000659,PCYC Bayside - Wondall School Age Care,Queensland Police-Citizens Youth Welfare Association ,Wondall Heights State School  Wondall Road,WYNNUM,QLD,4178,0429 879 913,,tracey.burgess@pcyc.org.au,,50,1/04/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00013969,PR-00000659,PCYC Bayside-Wynnum School Age Care,Queensland Police-Citizens Youth Welfare Association ,Wynnum State School  Boxgrove Avenue,WYNNUM NORTH,QLD,4178,413601176, ,lyn.dagis@bayside.pcyc.org.au, The service is approved to provide education and care to a maximum of 60 children for before school and during school holidays.,90,15/06/12,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001914,PR-00000659,PCYC Beenleigh - Cedar Creek School Age Care,Queensland Police-Citizens Youth Welfare Association ,Cedar Creek State School  1A Chardon Bridge Rd,CEDAR CREEK,QLD,4207,07 5546 4586,,kirsty.duerden@pcyc.org.au, This service may provide education and care before and after school only. An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.  This service is approved to provide education and care to children from over preschool age including school children.,25,18/06/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00013965,PR-00000659,PCYC Beenleigh - Mother Teresa School Age Care,Queensland Police-Citizens Youth Welfare Association ,169 Eggersdorf Rd   ,ORMEAU,QLD,4208,07 33801777,07 3380 1750,wendy.ross@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,60,19/06/12,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS
SE-00001163,PR-00000659,PCYC Beenleigh - Mt Warren Park School Age Care,Queensland Police-Citizens Youth Welfare Association ,Mt Warren Park State School  Mt Warren Boulevarde,MT WARREN PARK,QLD,4207,0411 412 176,07 3287 3758,kirsty.duerden@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,70,5/12/08,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
