ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00001121,PR-00000702,OSHC,St Dympna's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,491 Robinson Road  ,ASPLEY,QLD,4034,07 3263 9742,07 3263 7551,aspleyoshc@bne.centacare.net.au, The maximum number of children able to be provided with education and care before school is 48 An approved alternate solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centre of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,100,1/23/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stdympnas.qld.edu.au/Our%20Community/Pages/After-School-Care.aspx,4 - 13 years,"""BSC: $11.00 - $13.00, ASC: $17.00 - $22.00, VC: $38.00 - $43.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-40000736,PR-00000702,OSHC,St Flannan's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,420 Beams Rd  ,ZILLMERE,QLD,4034,073216 2638,,zilmereoshc@bne.centacare.net.au, The service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,45,1/24/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,"""ASC: $17.50""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00pm""","""Afternoon tea""",F,F,,,F
SE-00001125,PR-00000702,OSHC,St Kevin's Outside School Hours Care Geebung,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,249 Newman Road  ,GEEBUNG,QLD,4034,07 3865 3952,07 3865 4622,geebungoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,70,11/30/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stkevinsgeebung.qld.edu.au/about-us/Pages/Outside-School-Hours-Care.aspx,4 - 12 years,"""BSC: $9.00 - $10.00, ASC: $15.00 - $17.00, VC: $36.00 - $60.00""","""BSC: 6:30 - 8:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00002046,PR-00001153,Child care,Sunkids Children's Centre - Boondall,Kinder Educentres Pty Ltd ATF the Farro Trust,161 Muller Road  ,BOONDALL,QLD,4034,3265 6130,07 3265 7924,boondall@sunkids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,9/13/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://boondallchildcare.com.au/,6 weeks - 5 years,"""6 weeks - 35 months: $81.00, 3 - 5 years: $78.00""",6:00am - 6:00pm,F,F,F,,F,T
SE-00002198,PR-00000698,Child care,Sunkids Childrens Centre - Boondall East,Quest Properties Pty Ltd ATF The IQ Trust,2345 Sandgate Road  ,BOONDALL,QLD,4034,07 3865 3323,07 3832 7944,boondalleast@sunkids.com.au, This service is approved to provide education and care to children from birth up to and including school age.,75,7/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://boondallchildcare.net.au/,6 weeks - 5 years,"""6 weeks - 35 months: $78.00, 3 - 5 years: $73.00""",6:15am - 6:15pm,F,F,F,F,,T
SE-00000801,PR-00000693,Child care,Wesley Mission Brisbane Family Day Care,The Uniting Church in Australia Property Trust (Q.),John Wesley Gardens  19 Halsmere Street,GEEBUNG,QLD,4034,33501972,07 3350 1274,we.daycare@wmb.org.au,,0,9/10/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://digitalglarefanpages.com/wesleymissionbrisbane/17-quick-links/38-wesley-childcare,6 weeks - 12 years,"""6 weeks - 12 years: $6.00 - $15.00 per hour""",,T,F,F,,,F
SE-40000968,PR-40000406,OSHC,YMCA Aspley Specialist OSHC,Y-Care (South East Queensland) Inc,Aspley Special School  751 Zillmere Rd,ASPLEY,QLD,4034,427157018,,sas@ymca.org.au, The service is approved to provide education and care to children after school only.,20,7/12/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ycare.org.au/other-programs/specialst-oshc,5 - 12 years,,6:30am - 6:00pm,,,,,,F
SE-00000208,PR-00007783,"Child care, Vacation Care",Albany Creek Kids Early Learning Centre ,Lorriebec Pty Ltd ATF Virgen Family Trust ,640 Albany Creek Road  ,ALBANY CREEK,QLD,4035,07 3325 5377,07 3632 1123,director@albanykids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,65,7/26/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 12 years,"""6 weeks - 3 years: $81.00, 3 - 5 years: $77.00, 4 - 12 years VC: $50.00""",6:30am - 6:30pm,F,F,F,,,F
SE-00001253,PR-00000458,School hours care,Albany Creek Kindergarten,Albany Creek Kindergarten Association Inc,16 Ernie St   ,ALBANY CREEK,QLD,4035,732641838,733252222,admin@albanycreekkindergarten.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,50,12/13/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/albanycreek,3 - 5 years,"""3 - 5 years: ""$32.00 per day + $50.00 enrolment fee per year + $25.00 fundraising levy per term + $50.00 building fund per year + $100.00 maintenance fee""",8:45am - 2:45pm,F,F,F,,,F
SE-00001084,PR-00000654,OSHC,Albany Hills State  School Outside School Hours Care,Albany Hills State School P&C Association,Keong Road  ,ALBANY CREEK,QLD,4035,07 3325 3204,07 3325 4335,albhills.oshc@bigpond.com, This service is approved to provide education and care to childrne from over preschool age including school children.,160,7/12/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://albahillss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $12.00, ASC: $16.00, VC: $35.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",F,F,F,,,F
SE-40000723,PR-40000631,Child care,Chatterbox Child Development and Care Centre - Albany Creek,Chatterbox Albany Creek Pty Ltd ATF Chatterbox Albany Creek Trust,2 Narrabeen Rd  ,ALBANY CREEK,QLD,4035,07 33255143,,albanycreek@chatterboxchildcare.com.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,102,6/1/12,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.chatterboxchildcare.com.au/html/_findUs.html#albanycreek,6 weeks - 5 years,"""6 weeks - 24 months: $84.00, 2 - 3 years: $82.00, 3 - 5 years: $78.00""",7:00am - 6:00pm,T,T,F,,,F
SE-00001661,PR-00001129,Child care,Goodstart Early Learning Albany Creek - Dawn Road,Goodstart Early Learning Ltd,8 Dawn Road  ,ALBANY CREEK,QLD,4035,07 3325 2099,,hua@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/albany-creek-dawn-road/overview,6 weeks -  5 years,"""6 weeks - 2 years: $83.10, 25 months - 5 years: $78.20""",6:00am - 6:00pm,T,T,F,,,F
SE-00000284,PR-00001129,Child care,Goodstart Early Learning Albany Creek - Flamingo Drive 1,Goodstart Early Learning Ltd,36 Flamingo Drive  ,ALBANY CREEK,QLD,4035,07 3264 6058,3264 6059,alc@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,93,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/albany-creek-flamingo-drive/overview,6 weeks -  6 years,"""6 weeks - 12 months: $84.30, 13 months - 24 months: $79.60, 25 - 35 months: $76.60, 3 - 5 years: $76.10""",7:00am - 7:00pm,F,F,F,,,F
SE-00001722,PR-00001129,Child care,Goodstart Early Learning Albany Creek - The Boulevard,Goodstart Early Learning Ltd,8 The Boulevard  ,ALBANY CREEK,QLD,4035,3264 8211,,hub@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/albany-creek-the-boulevard/overview,6 weeks -  6 years,"""6 weeks - 24 months: $82.90, 25 - 35 months: $79.70, 3 - 5 years: $78.20""",6:30 am to 6:30 pm,T,F,F,,,F
SE-00001994,PR-40000023,Child care,Little Gems Childcare & Early Learning Centre,KB Child Care and Early Learning Pty Ltd,51 Old Northern Road  ,ALBANY CREEK,QLD,4035,07 3325 5548,07 3325 5568,kidzbizac@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,104,6/30/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.littlegemsearlylearning.com.au/little-gems-childcare-early-learning-albany-creek/home.do;jsessionid=D8253CCB7954F7025AA37E1A4E48D9D9,6 weeks - 5 years,"""6 weeks - 3 years: $79.00, 3 - 5 years: $70.00""",6:30am - 6:30pm,T,T,F,,,F
SE-00000985,PR-00000533,OSHC,YMCA Albany Creek Outside School Hours Care,The Young Men's Christian Association of Brisbane,696 Albany Creek Road  ,ALBANY CREEK,QLD,4035,07 3264 4907,07 3357 1005,aac@ymca.org.au, This service is approved to provide education and care to children from over preschool age including school children.,150,12/25/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north/albany-creek-oshc,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000757,PR-00001186,"Child care, OSHC",Bald Hills Child Care Centre,RHT Investments (Qld) Pty Ltd,2041 Gympie Road  ,BALD HILLS,QLD,4036,07 3261 1522,,bhcc1@live.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,11/15/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.baldhillschildcare.com.au/,6 weeks - 12 years,"""6 weeks - 2.5 years: $78.00, 2.5 - 5 years: $73.00, 5 - 12 years BSC: $18.00, 5 - 12 years ASC: $27.00, 5 - 12 years VC: $65.00""",6:30 am to 6:30 pm,F,F,F,,,F
SE-00001527,PR-00000731,Child care,Bald Hills Kindergarten & Preschool,Two Free Hands Pty Ltd,Uniting Church Hall  2131 Gympie Road,BALD HILLS,QLD,4036,07 3261 1624,32611624,baldhillskindy@bigpond.com, This service is approved to provide education and care to children from 24 months up to and including school children. This service is approved to provide a rest period from 11:45am to 12:45pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,44,1/24/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://baldhillskindy.com.au/,2 - 5 years,"""2 years: $77.00, 2 - 3.5 years: $71.00, 3.5 - 5 years: $68.00""",7:30am - 5:00pm,T,F,F,,,F
SE-00014006,PR-00008029,School hours care,C&K Bald Hills Community Kindergarten,The Creche and Kindergarten Association Limited,Ana Street   Off 2156 Gympie Road,BALD HILLS,QLD,4036,07 3261 4853,07 3261 4870,baldhills@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and incuding preschool age not including school children.,24,7/20/12,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/baldhills,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100 enrolment fee""",8:30am - 2:30pm,F,F,F,,,T
SE-00001018,PR-00006557,OSHC,Camp Australia - Bald Hills State School OSHC,The Camp Australia Foundation Ltd,Bald Hills State School  Old Gympie Road,BALD HILLS,QLD,4036,0452 247 969,,leanne.cosgrove@campaustralia.com.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.  This service is approveed to provide education and care to children from over preschool age including school children.,79,12/18/09,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.campaustralia.com.au/Service/QLDBaldHillsStateSchool/AAC2,5 - 12 years,"""BSC: $12.87 - $17.87, ASC: $19.46 - $25.46, VC: $51.00""","""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-40000756,PR-00000301,School hours care,St Paul's Early Learning Centre,The Corporation of the Synod of the Diocese of Brisbane,St Pauls School Bald Hills  34 Strathpine Rd,BALD HILLS,QLD,4036,07 3261 1388,732614521,m.connolly@stpauls.qld.gov.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,48,7/17/12,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.stpauls.qld.edu.au/page/teaching-and-learning/junior-school-pre-prep-year-6/pre-prep,3.5 - 4.5 years,,8:30am - 3:00pm,,,,,,F
SE-00001672,PR-00000533,OSHC,YMCA St Paul's Outside School Hours Care,The Young Men's Christian Association of Brisbane,34 Strathpine Road  ,BALD HILLS,QLD,4036,3261 1124,3261 4815,asp@ymca.org.au, The maximum number of children able to be provided with education and care after school is 60 The maximum number of children able to be provided with education and care before school is 30 The maximum number of children able to be provided with education and care during school holidays is 54 This service is approved to provide education and care to children from 48 months up to and including school children.,60,1/29/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north/st-pauls-oshc,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001535,PR-00000331,School hours care,Eatons Hill Community Kindergarten,Eatons Hill Community Kindergarten Association Inc.,7 Marylin Terrace  ,EATONS HILL,QLD,4037,07 3264 6455,,ehck@optusnet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,10/28/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.eatonshillkindy.com.au/,3.5 - 4.5 years,,"9:00am - 2:30pm, 8:30am - 4:00pm",F,F,F,,,F
SE-00001146,PR-00000330,OSHC,Eatons Hill OSHC Club,Eatons Hill State School P&C Association,Marylin Terrace  ,EATONS HILL,QLD,4037,07 3264 8500,,oshclub@eatohillss.eq.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,150,2/15/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://eatonshillss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,,"""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm"" ",,,,,,F
SE-00000480,PR-00000983,Child care,Mother Duck Child Care Eatons Hill - Centre 1,River City Installations Pty Ltd,Eaton Central  Bunya Park Drive,EATONS HILL,QLD,4037,07 3264 6277,07 3264 4072,eatonshill@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,113,11/30/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.motherduck.com.au/our-centres/eatons-hill,6 weeks - 5 years,"""6 weeks - 24 months: $75.50, 25 months - 36 months: $73.50, 3 - 5 years: $70.50""",6:30am - 6:30pm,F,F,F,,,F
SE-00001706,PR-00000838,Child care,Tadpoles Early Learning Centres - Eatons Hill 1,Bhl Childcare Limited,2-6 Harry Court   ,EATONS HILL,QLD,4037,07 3264 4177,07 3219 1895,eatonshill1@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,2/7/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.tadpoles.com.au/our-locations/tadpoles-eatons-hill.html,6 weeks - 5 Years,"""6 weeks - 24 months: $72.50, 25 - 35 months: $71.50, 3 - 5 years: $68.00""",6:30am - 6:30pm,F,F,F,,,F
SE-00001707,PR-00000838,Child care,Tadpoles Early Learning Centres - Eatons Hill 2,Bhl Childcare Limited,2-6 Harry Court   ,EATONS HILL,QLD,4037,07 3264 8022,07 3219 1895,eatonshill2@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,75,8/17/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.tadpoles.com.au/our-locations/tadpoles-eatons-hill.html,6 weeks - 5 years,"""6 weeks - 24 months: $72.50, 25 - 35 months: $71.50, 3 - 5 years: $68.00""",6:30am - 6:30pm,F,F,F,,,F
SE-00001254,PR-00000226,"School hours care, OSHC",Alderley Kindergarten & Preschool,Alderley Kindergarten and Preschool Association Inc,76 South Pine Road  ,ALDERLEY,QLD,4051,07 3356 3675,07 3356 3675,admin@alderleykindy.com.au, This service is approved to provide education and care to children from 36 months up to and including school children.,50,5/13/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,http://www.alderleykindy.com.au/,4 years - 5 years,"""4 - 5 years: $645 per term + $35.00 per term maintenance levy (refundable) + $40.00 excursion fee + $100.00 enrolment fee + $15 waitlist fee, 4 - 5 years ASC: $21.00, 4 - 5 years VC: $55.00""",8:30am - 5:30pm,F,F,F,,,T
SE-00001536,PR-00000500,School hours care,Banks Street Newmarket Community Preschooling Centre,Banks Street Newmarket Community Preschooling Centre Inc,Newmarket State School  15 Banks Street,NEWMARKET,QLD,4051,07 3352 6940,,banksstkindy@optusnet.com.au, This service is approved to provide education and care to children from 36 months and including over preschool age not including school children.,22,4/27/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/banksstreet,3.5 - 4.5 years,"""3.5 - 4.5 years: $775.00 per term""",9:00am - 3:10pm,F,F,F,,,F
SE-00000071,PR-00008029,School hours care,C&K Newmarket Community Child Care Centre,The Creche and Kindergarten Association Limited,8-10 Baradine Street  ,NEWMARKET,QLD,4051,07 3356 7333,3356 7886,newmarket@candk.asn.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children. This service is approved to provide a rest period from 12.00pm to 2.00 pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provsions of Regulation 310(1). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of Regulation 123(1)(a) until 31 December.,57,11/27/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/newmarket,6 weeks - 5 years,"""6 weeks - 24 months: $92.70, 15 - 30 months: $91.60, 30 months - 5 years: $85.30""",7:00am - 6:00pm,F,F,F,,,T
SE-00000102,PR-00008029,Child care,C&K Wilston Community Child Care Centre,The Creche and Kindergarten Association Limited,250 Newmarket Rd  ,WILSTON,QLD,4051,07 3356 3067,3856 3129,wilston@candk.asn.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provision of Regulation 310(1).,42,7/2/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,www.candk.asn.au/wilston,6 weeks -  5 years,"""6 weeks - 2 years: $92.70, 2 - 3 years: $85.30, 3 - 5 years: $85.30 + $100.00 enrolment fee""",7:15am - 5:45pm,F,F,F,,,T
