ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities?,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology?,Technology,Sibling Priority,Vacancies,Languages?,Languages,Vaccinations Compulsory
SE-00002156,PR-00004547,Child care,The Joey Club,KU Children's Services,6-8 The Boulevard  ,BRISBANE AIRPORT,QLD,4007,07 3114 1270,3114 1271,ku.tjcbrisbane@ku.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,10/6/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.ku.com.au/ku.joeyclubbrisbane,6 weeks - 6 years,,6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-40000734,PR-00008077,Child care,Eco Kids @ Tradecoast Central,Tradecoast Central Childcare Pty Ltd ATF Tradecoast Central Childcare Trust,81 Backhouse Rd  ,EAGLE FARM,QLD,4009,07 3129 6350,,info@ecokidstradecoast.com.au,,100,9/6/12,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://ecokidstradecoast.com.au/,6 weeks - 5 years,"""6 weeks - 5 years: $84.00""",6:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001756,PR-00000726,Child care,Clayfield Childhood Development Centre,Batt Early Childhood Pty Ltd,32 Widdop Street  ,CLAYFIELD,QLD,4011,07 3262 5444,07 3262 5441,office@clayfieldchildhoodcentre.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children,75,11/6/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,www.clayfieldchildcare.com.au,15 months - 6 years,"""15 - 30months: $87.00, 30months - 6 years: $84.00""",6:30am - 6:00pm,T,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00001989,PR-00000918,,Clayfield College Preparatory Centre,Presbyterian & Methodists Schools Association,23 Gregory Street  ,CLAYFIELD,QLD,4011,07 3262 0262,3262 0444,info@clayfield.qld.edu.au, This service is approved to provide a rest period from 12:45pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,2/10/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,,,,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002101,PR-00000982,OSHC,Clayfield Outside Of School Hours Care,Children First Learning Centres Pty Ltd,23 Gregory Street  ,CLAYFIELD,QLD,4011,07 3262 0271,07 3812 7566,clayfield@childrenfirst.com.au, This service is approved to provide education and care to children from over preschool age including school children.,75,1/30/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.childrenfirst.com.au/index.php/clayfield,5 - 14 years,"""BSC: $34.50, ASC: $41.50, VC: $70.50""","""BSC: 6.30 - 8.30am, ASC: 2.30 - 6.30pm, VC: 6.30am - 6.30pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001324,PR-00000128,School hours care,Clayfield Kindergarten & Preschool,Clayfield Pre-Prep Bayview Terrace Inc.,28 Bayview Terrace  ,CLAYFIELD,QLD,4011,07 3262 2765,32622569,clayfieldpre-prep@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,50,5/10/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/clayfieldpreprep,3.5 - 4.5 years,"""3.5 - 4.5 years: $30.00""",8.30am - 2.40pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001096,PR-00000188,OSHC,Ej Kids Care,Eagle Junction State School P&C Association,49 Roseby Ave  ,CLAYFIELD,QLD,4011,07 3262 8093,07 3637 1100,oshc@ejkidscare.com.au,,120,10/26/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://eagljuncss.eq.edu.au/wcms/index.php?option=com_content&view=article&catid=20&id=340,5 - 12 years,"""BSC: $12.00-$14.00, ASC: $17.00-$21.00, VC: $35.00-$40.00""","""BSC: 7.00 - 8.30am, ASC: 2.45 - 6.00pm, VC: 7.00am - 6.00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000041,PR-00001129,Child care,Goodstart Early Learning Clayfield,Goodstart Early Learning Ltd,23 Norman Parade  ,CLAYFIELD,QLD,4011,07 3262 8300,07 3908 2511,xdl@goodstart.org.au, This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children,57,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/clayfield/overview,15 months - 5 years,"""15 - 24 months: $90.90, 25 - preschool age: $82.20, over preschool age: $83.20""  ",7:00am - 6:15pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000450,PR-00001129,Child care,Goodstart Early Learning Hendra ,Goodstart Early Learning Ltd,16 Manson Road  ,HENDRA,QLD,4011,07 3216 4113,3216 4212,hda@goodstart.org.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,84,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/Hendra-and-Babyworld/Overview,6weeks - 6 years,"""6 weeks - 2 years: $87.40, 2 - 3 years: $79.30, 3 - 6 years: $75.20""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001869,PR-00000813,Child care,Kids Capers Childcare Clayfield ,Australian National Homes Pty Ltd ATF The Anh Trust,222 Junction Road  ,CLAYFIELD,QLD,4011,07 3262 5833,07 3262 5076,clayfield@caperschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide education and care to children from birth up to and including school children.,178,11/9/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.caperschildcare.com.au/kidscapers/centre/details/id/1,6 weeks - 5 years,"""6 weeks - 2 years: $88.00, 2 - 3 years: $77.50, 30 months - 3 years: 76.50, 4 - 5 years: $75.00""",6:30am - 6:30pm,F,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00002167,PR-00000982,Child care,Lyndhurst Early Learning Centre 1,Children First Learning Centres Pty Ltd,3 London Road  ,CLAYFIELD,QLD,4011,07 3117 2222,07 3117 2223,lyndhurst@childrenfirst.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This serive is approved to provide education and care to children from birth up to and including school children.,105,1/18/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.childrenfirst.com.au/index.php/lyndhurst,6 weeks - 5 years,"""6 weeks - 5 years: $105.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001691,PR-00000702,OSHC,Our Lady Help Of Christians Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,23 Bowman Street  ,HENDRA,QLD,4011,07 3268 6700,3216 4962,hendraoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,45,2/11/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.olhchendra.qld.edu.au/enrolments/Pages/Outside-School-Hours-Care.aspx,5 - 12 years,"""BSC: $12.00-$15.00, ASC: $19.00-$23.00, VC: $42.00-$47.00""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000904,PR-00000659,OSHC,PCYC Fortitude Valley - Ascot School Age Care,Queensland Police-Citizens Youth Welfare Association ,56 Barlow Street  ,CLAYFIELD,QLD,4011,07 3256 0683,,ascotsac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,89,2/14/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://pcyc.org.au/School-Age-Care/Fortitude-Valley%E2%80%93Ascot.aspx,5 - 12 years,"""BSC: $15.00, ASC: $21.50, VC: $45.00 + $20 PCYC membership fee""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002322,PR-00000659,After school care,PCYC Fortitude Valley - Hamilton School Age Care,Queensland Police-Citizens Youth Welfare Association ,Hamilton State School  71 Oxford St,HAMILTON,QLD,4011,0428 036 179,07 3252 9206,hamiltonsac@pcyc.org.au, This service is approved to provide education and care to children after school only. This service is approved to provide education and care to children from over preschool age including school children.,30,10/4/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://pcyc.org.au/School-Age-Care/Fortitude-Valley-Hamilton.aspx,5 - 12 years,"""ASC: $21.50 + $20 PCYC membership fee""",3:00 - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001031,PR-00000702,OSHC,St Agatha's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,6 Hunter Lane  ,CLAYFIELD,QLD,4011,07 3326 9208,,clayfieldoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,75,11/24/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.stagathasclayfield.qld.edu.au/our-school/Pages/Outside-School-Hours-Care.aspx,5 - 12 years,"""BSC: $17.00 - $21.00, ASC: $17.00 - $21.00, VC: $39.00 - $64.00"" ","""BSC: 6:30 - 8:30am, ASC:3:00 - 6:00pm, VC: 8:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000304,PR-00000141,Child care,Wagner Road Early Childhood Centre & Kindergarten,Clayfield Child Care Association Inc,32 Wagner Road  ,CLAYFIELD,QLD,4011,07 3262 6580,3262 9388,wagnerrdeccandk@bigpond.com, This service is approved to provide education and care to children from children from 15 months up to and including school children,60,5/26/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/wagnerroad,15 months - 5 years,"""15 months - 2.5 years: $65.00, 2 - 3 years: $60.00, 3 - 5 years: $58.00, kindergarten: $32.00""",8:00am - 3:30pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001622,PR-00000225,Child care,Building Futures Montessori,Oakbridge Investments Pty Ltd as Trustee for McKinnon Family Trust,33 Brae Street  ,WAVELL HEIGHTS,QLD,4012,07 36305444,07 3359 6555,wavellheights@buildingfutures.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until December 2017. This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,1/10/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://buildingfutures.com.au/wavell-heights-montessori/,6 weeks - 5 years,,6:30am - 6:00pm,T,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00001441,PR-00008029,School hours care,C&K Nundah Community Kindergarten,The Creche and Kindergarten Association Limited,Cnr Henchman St and Ryans Road  ,NUNDAH,QLD,4012,07 3266 6616,3266 6616,nundah@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/4/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/nundah,4 - 5 years,"""4 - 5 years: $29.00""",8:30am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00001670,PR-00001129,Child care,Goodstart Early Learning Nundah,Goodstart Early Learning Ltd,36 Cameron Street  ,NUNDAH,QLD,4012,07 3266 7896,,nun@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/nundah/overview,6 weeks -  5 years,"""6 weeks - 15 months: $94.20, 15 months - 2 years: $92.10, 2 - 3 years: $88.50, 3 - 5 years: $87.50""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001645,PR-00001129,Child care,Goodstart Early Learning Wavell Heights,Goodstart Early Learning Ltd,Cnr Hamilton and Newman Roads  ,WAVELL HEIGHTS,QLD,4012,07 3359 4399,,wav@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/wavell-heights/overview,6 weeks -  6 years,"""6 weeks - 2 years: $88.30, 2 - 3 years: $80.60, 3 - 5 years: $80.60""",7:00 am - 6:00 pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000906,PR-00000773,OSHC,Loosends Outside School Hours Care,The Baptist Union of Queensland,23 Chapel Street  ,NUNDAH,QLD,4012,07 3266 4626,07 3266 4631,loosends@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,100,12/19/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://neb.org.au/loosends/,5 - 12 years,"""BSC: $9.00, ASC: $15.00, VC: $40.00""","""BSC: 7:00 - 9:00am  , ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00013976,PR-00000702,After school care,St Joseph's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,16 Leslie St   ,NUNDAH,QLD,4012,07 3256 6216, ,nundahoshc@bne.centacare.net.au, This service is approved to provide education and care to children after school only. This service is approved to provide education and care to children from over preschool age including school children.,30,6/26/12,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.stjosnundah.qld.edu.au/html/forparents/oshc.html,5 - 12 years,"""ASC: $18.50""",3:00 - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000525,PR-00000002,Child care,St Paul's Lutheran Child Care Centre - Nundah,St Paul's Lutheran Church Buckland Road Nundah,72 Buckland Road  ,NUNDAH,QLD,4012,07 3266 7538,07 3266 7551,stpauls.childcare@westnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,58,4/17/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,www.stpaulschildcare.com.au,6 weeks - 5 years,"""6 weeks - 30 months: $82.00, 3 - 5 years: $79.00""",7:00am - 6:00pm,T,F,F,T,F,F,,,,,,,,,,,,,,,,,,
SE-00000383,PR-00000693,Child care,Toombul Early Childhood Centre,The Uniting Church in Australia Property Trust (Q.),71 Hows Road  ,TOOMBUL,QLD,4012,07 3621 5340,07 3256 7589,tecc@uccommunity.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,61,5/8/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.uccommunity.org.au/childcare-toombul,6 weeks - 5 years,"""6 weeks - 2 years: $82.50, 15 - 30 months: $81.50, 30 months - 3 years: $77.50, 3 - 5 years, $77.50""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001502,PR-00000339,School hours care,Wavell Heights Kindergarten,Wavell Heights Kindergarten Association Inc,Cnr Edinburgh Castle Rd And  Cressey Street,WAVELL HEIGHTS,QLD,4012,07 3266 3896,,whkindy@bigpond.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,49,6/4/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/wavellheights,4 - 5 years,"""4 - 5 years: $700.00 per term + $75.00 administration fee""",8:30am - 2:30pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000920,PR-00000702,OSHC,Wavell Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Our Lady Of The Angels School  40 Warraba Avenue,WAVELL HEIGHTS,QLD,4012,07 3359 2599,07 3359 2599,wavellheightsoshc@bne.centacare.net.au, An approved alternate solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,100,12/22/09,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.olawavellheights.qld.edu.au/documents/oshc.html,5 - 12 years,"""BSC: $10.00, ASC: $18.00, VC: $40.00""","""BSC: 7 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001556,PR-00000250,OSHC,Jabiru Kids Northgate,Jabiru Community Youth & Children's Services Association Inc,Amelia St  ,NORTHGATE,QLD,4013,07 3266 9973,07 3266 9973,northgate@jabiru.org.au, The service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,35,9/14/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/north-gate/,,"""BSC: $12.00, ASC: $18.20""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00000073,PR-00000893,Child care,Northgate Early Childhood Centre,Cj Investment Holdings Pty Ltd,124 Northgate Road  ,NORTHGATE,QLD,4013,07 3266 1052,,ngccc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,52,9/17/10,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://northgatechildcarecentre.com.au/,15 months - 6 years,"""15 - 24 months: $81.00, 25 - 35 months: $77.00, 36 months - 6 years: $77.00""",6:30am - 6:00pm,T,F,F,F,,T,,,,,,,,,,,,,,,,,,
SE-00001954,PR-00001055,Child care,Banyo Early Learning Academy ,FMJ Childcare Pty Ltd,271 St Vincents Road  ,BANYO,QLD,4014,3267 6480 ,3267 8031,admin@belachild.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care for children from birth up to and including school children.,75,9/2/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,6 weeks -  5 years,"""6 weeks - 15 months: $85.00, 15 months - 2 years: $85.00, 2 - 3 years: $83.00, 30 months - 5 years: $80.00""",6:30am to 6:30pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001267,PR-00000109,School hours care,Banyo Kindergarten,Banyo Kindergarten Association Inc,237 Tufnell Road  ,BANYO,QLD,4014,07 3267 7316,,banyocandk@lizzy.com.au, This servioce is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,11/19/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/banyo,4 - 5 years,"""4 - 5 years: $23.00 + $100.00 enrolment fee + $70.00 participation bond + $40 excursion fee""",8:30am - 2:40pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001765,PR-00000984,Child care,Creative Garden Early Learning,WTT Holdings Pty Ltd ATF WTT Unit Trust,17 Approach Road  ,BANYO,QLD,4014,07 3267 8980,,banyo@creativegarden.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide education and care to children from birth up to and including school children.,75,12/6/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,www.creativegarden.com.au,6 weeks - 6 years,"""6 weeks - 15 months: $97.00, 15 months - 2 years: $93.00, 2 - 6 years: $92.00""",6:30 am to 6:30 pm,T,T,F,,,T,,,,,,,,,,,,,,,,,,
SE-00001777,PR-00001129,Child care,Goodstart Early Learning Virginia,Goodstart Early Learning Ltd,7 Wellington Street  ,VIRGINIA,QLD,4014,07 3266 9766,,vir@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/29/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/virginia/overview,6 weeks -  6 years,"""6 weeks - 24 months: $85.00, 25 - 35 months: $81.10, 36 months - 6 years: $80.00""",7:00 am to 6:00 pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002272,PR-00001030,OSHC,Helping Hands Earnshaw,Helping Hands Network Pty Ltd,Cnr Earnshaw and Tufnell Roads  ,BANYO,QLD,4014,0448 371 401,,earnshaw@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,41,1/27/10,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,https://earnshawsc.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $12.00, ASC: $16.00, VC: $40.00""","""BSC: 6:30 - 9am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
