#
# Source: CA DSS on June 1, 2014
#
"Facility #","Capacity","License Status","Facility Name","Street Address","City","State","Zipcode","Telephone #","Contact","District Office","DO Telephone #"
"010205969","0022","Licensed","APPLEGARDEN MONTESSORI SCHOOL","5667 THORNHILL DRIVE","OAKLAND","CA","94611","(510) 339-9666","DRAGSTEDT, NAOME","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"573604596","0030","Licensed","APPLEGATE NURSERY","1701 RUSSELL BOULEVARD","DAVIS","CA","95616","(530) 758-4850","HODGES, NANCY","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"364842616","0108","Pending","APPLEPEA MONTESSORI ACADEMY OF ONTARIO","2460 S EUCLID AVENUE","ONTARIO","CA","91762","(909) 539-7476","BERRY, PATRICIA","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"493008074","0020","Licensed","APPLES AND BANANAS PRESCHOOL-ROSELAND SCHOOL DIST.","1931 BIWANA DRIVE","SANTA ROSA","CA","95407","(707) 545-0102","YOUNG, JENNY","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"103808413","0060","Licensed","APPLES OF GOLD EDUCATIONAL CENTER","7272 W. SHAW AVENUE","FRESNO","CA","93723","(559) 276-7272","DUGAN, JACKIE","FRESNO-CC (04)","(559) 243-4588"
"434410751","0216","Licensed","APPLESEED ALMADEN MONTESSORI SCHOOL","5200 DENT AVENUE","SAN JOSE","CA","95118","(408) 264-7333","SARAH SHIMKUNAS","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434408761","0105","Licensed","APPLESEED INTERNATIONAL SCHOOL","1095 DUNFORD WAY","SUNNYVALE","CA","94087","(408) 260-9333","ANNE WESTBROOK","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434404906","0096","Licensed","APPLESEED MONTESSORI SCHOOL","1302 WARNER AVENUE","SUNNYVALE","CA","94087","(408) 245-7338","DIANE CHEN HSU","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434413110","0120","Licensed","APPLESEED MONTESSORI SCHOOL","1095 DUNFORD WAY, STE 800","SUNNYVALE","CA","94087","(408) 985-7333","KELLY KUCIC","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"434400252","0298","Licensed","APPLESEED MONTESSORI SCHOOL","1095 DUNFORD WAY #B","SUNNYVALE","CA","94087","(408) 260-7333","BROWN, LYNDA/LI, CHIA-YI","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"300606452","0083","Licensed","APPLETREE MONTESSORI","25542 JERONIMO RD","MISSION VIEJO","CA","92691","(949) 770-2707","EVEREST, JULIE","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"434412157","0030","Licensed","APPLETREE MONTESSORI SCHOOL","653 WEST FREMONT AVENUE","SUNNYVALE","CA","94087","(650) 575-9147","RENU JAYA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"073404768","0168","Licensed","APQCC - KIDS' CLUBS INTERNATIONAL EARLY EDUC CTR","800 GARY AVENUE, #C","ANTIOCH","CA","94509","(925) 706-1669","CHERYL MILLER","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"511376430","0056","Licensed","APRIL LANE CHILD DEVELOPMENT PROGRAMS","800 APRIL LANE","YUBA CITY","CA","95991","(530) 822-5215","BUTCHER, KIMBERLY","CHICO-DAY CARE (13)","(530) 895-5033"
"013417502","0048","Licensed","AQUATIC PARK SCHOOL","830 HEINZ AVENUE","BERKELEY","CA","94710","(510) 843-2273","GRIFFIN, R. & BAUER, A","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"585405676","0048","Licensed","ARBOGA PRESCHOOL","1686 BROADWAY B101 - B102","ARBOGA","CA","95961","(530) 741-1661","HOWARD, AUTUMN","CHICO-DAY CARE (13)","(530) 895-5033"
"300602317","0079","Licensed","ARBOR CHRISTIAN SCHOOL","23302 EL TORO RD","LAKE FOREST","CA","92630","(949) 855-4599","FAYE MARTNICK","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"313611245","0046","Licensed","ARBOR VIEW MONTESSORI","7441 FOOTHILLS BLVD #140","ROSEVILLE","CA","95747","(916) 787-4004","SAADEH, LYDIA","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"304370054","0135","Licensed","ARBORLAND MONTESSORI CHILDREN'S ACADEMY","2121 HUGHES DRIVE","FULLERTON","CA","92833","(714) 871-3111","CHEN, SUELING","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"300606738","0107","Licensed","ARBORLAND MONTESSORI CHILDREN'S ACADEMY","1700 W. VALENCIA DRIVE","FULLERTON","CA","92633","(714) 871-2311","SUELING, CHEN","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"065405229","0024","Licensed","ARBUCKLE EARLY CARE & EDUCATION CENTER","620 GAIL AVENUE","ARBUCKLE","CA","95912","(530) 476-2866","AMBRIZ, ERICA","CHICO-DAY CARE (13)","(530) 895-5033"
"013419419","0030","Licensed","ARC OF ALAMEDA CO. FIRST STEP CHILDREN'S CTR., THE","1101 A WALPERT ST.","HAYWARD","CA","94541","(510) 582-8151","FOSTER, MARY","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"198016747","0093","Licensed","ARCADIA CHILDREN'S EDUCATIONAL CENTER","9845 E. LEMON AVENUE","ARCADIA","CA","91007","(626) 445-7103","ELSA CAUDE DU FORESTO","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191504669","0078","Licensed","ARCADIA CHRISTIAN PRESCHOOL","1900 SOUTH SANTA ANITA","ARCADIA","CA","91006","(626) 574-0805","SOUISA, CAROL","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191500590","0043","Licensed","ARCADIA EPISCOPAL PRESCHOOL","1881 S. FIRST AVE","ARCADIA","CA","91006","(626) 445-5050","OSTROWSKI, MARIE","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191500743","0100","Licensed","ARCADIA FRIENDS CHURCH PRESCHOOL","5705 LENORE","ARCADIA","CA","91006","(626) 445-7825","MILAZZO, RACHELLE","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191504605","0092","Licensed","ARCADIA MONTESSORI SCHOOL","1406 SOUTH SANTA ANITA AVENUE","ARCADIA","CA","91006","(626) 447-3513","ROBERTS, CHERYL","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191502426","0068","Licensed","ARCADIA PRESBYTERIAN CHURCH CHILD DEVELOPMENT CTR","121 ALICE ST","ARCADIA","CA","91006","(626) 445-9764","BILLIE TURNER","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"125406441","0030","Licensed","ARCATA ELEMENTARY PRESCHOOL","2400 BALDWIN STREET","ARCATA","CA","95521","(707) 826-0243","MORGAN, SARA","CHICO-DAY CARE (13)","(530) 895-5033"
"364815015","0111","Licensed","ARCHIBALD RANCH CHRISTIAN PRESCHOOL","13344 S. ARCHIBALD AVENUE","ONTARIO","CA","91761","(909) 947-2722","PAMELA RIOS","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"233004123","0024","Licensed","ARENA STATE PRESCHOOL","20 SCHOOL STREET CLASSROOM #1","POINT ARENA","CA","95468","(707) 882-2131","LOVDAL-JOHNSON, DENISE","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"300606420","0041","Licensed","ARI GUIRAGOS MINASSIAN ARMENIAN SCHOOL","5315 W. MC FADDEN AVE","SANTA ANA","CA","92704","(714) 839-7831","WARTAN, TALIN","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"198014360","0072","Licensed","ARIA MONTESSORI SCHOOL","693 S. EUCLID AVENUE","PASADENA","CA","91106","(626) 793-3741","SCHOFIELD-SMITH, G.","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"343617401","0070","Licensed/Pending Increase","ARISTA PRESCHOOL OF EAST SACRAMENTO","3022 F STREET","SACRAMENTO","CA","95816","(916) 231-9173","JENNIFER SCOTT","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"343616951","0072","Licensed","ARISTA PRESCHOOL OF ELK GROVE, THE","9441 ELK GROVE BLVD","ELK GROVE","CA","95624","(916) 686-4949","OLLAR, KIM","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"191571307","0045","Licensed","ARK ANGELS PRESCHOOL DAY CARE CENTER","6714 PINE AVE","BELL","CA","90201","(323) 560-8520","JUAREZ, LETICIA","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198013069","0169","Licensed","ARK CHRISTIAN ACADEMY","6539 ROSEMEAD BLVD.","SAN GABRIEL","CA","91775","(626) 287-8321","GRACE WU","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"364830532","0015","Licensed","ARK CHRISTIAN PRESCHOOL, THE","34265 YUCAIPA BLVD","YUCAIPA","CA","92399","(909) 790-5800","EVANS, TANYA","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"380504714","0070","Licensed","ARK CHRISTIAN PRESCHOOL, THE","3141 VICENTE STREET","SAN FRANCISCO","CA","94116","(415) 731-0912","CHAN, NANCY","PENINSULA CHILD CARE (05)","(650) 266-8843"
"384001731","0042","Licensed","ARK OF HOPE PRESCHOOL, INC.","2701 NORIEGA STREET","SAN FRANCISCO","CA","94122","(415) 242-1036","MARY TING","PENINSULA CHILD CARE (05)","(650) 266-8843"
"573613176","0024","Licensed","ARK PRESCHOOL","620 NORTH STREET","WOODLAND","CA","95695","(530) 681-3103","DALEY, MELISSA","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"013421352","0059","Licensed","ARK PRESCHOOL AND CHILD CARE CENTER","4161 EAST AVENUE","LIVERMORE","CA","94550","(925) 447-8279","SKOWRON, DIANA","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"198008369","0050","Licensed","ARMENIAN MESROBIAN PRESCHOOL","8420 BEVERLY ROAD","PICO RIVERA","CA","90660","(323) 723-3181","OHANNESSIAN, ZEPUR","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198002234","0090","Licensed","ARMENIAN SISTERS ACADEMY","2361 FLORENCITA","MONTROSE","CA","91020","(818) 249-8783","SONIA KAZANDJIAN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191890279","0061","Licensed","ARMINTA STREET EARLY EDUCATION CENTER","7911 GOLL AVE.","NORTH HOLLYWOOD","CA","91605","(818) 765-4312","HAN, SUSAN","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"198016013","0016","Licensed","ARMSTRONG CHILD DEVELOPMENT CENTER, ROOM 1","22750 BEAVERHEAD DR.","DIAMOND BAR","CA","91765","(909) 397-4740","CHERYL SIEGEL","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"197412943","0048","Licensed","AROUND THE KORNER CHILD CARE CENTER","8800 WOODMAN AVENUE","ARLETA","CA","91331","(818) 830-2994","ESTELA DIAZ","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197419029","0088","Licensed","AROUND THE KORNER CHILD CARE CENTER","13939 NORDHOFF STREET","ARLETA","CA","91331","(818) 780-1922","RIDING, CYNTHIA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197408343","0054","Licensed","AROUND THE KORNER CTR. FOR SCHOOL-AGE ENRICHMENT","14030 NORDHOFF STREET","ARLETA","CA","91331","(818) 830-2994","ELENA G VARGAS-LOPEZ","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"198016401","0116","Licensed","AROUND THE WORLD CHILDREN'S CENTER","10441 LAKEWOOD BLVD","DOWNEY","CA","90241","(562) 862-5949","SUZETTE PHILLIPY","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198016235","0048","Licensed","ARROW MONTESSORI SCHOOL - SAN DIMAS","818 WEST GLADSTONE STREET","SAN DIMAS","CA","91773","(909) 599-0025","CAROLINA VILLA-CRELENCIA","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"401710931","0023","Licensed","ARROYO GRANDE MONTESSORI SCHOOL","216 OAK STREET","ARROYO GRANDE","CA","93420","(805) 473-2979","MICHAEL MILLER","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"406210544","0041","Licensed","ARROYO GRANDE UNITED METHODIST CHILDREN'S CENTER","275 N. HALCYON RD.","ARROYO GRANDE","CA","93420","(805) 481-2223","MADDY QUAGLINO","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"191597494","0092","Licensed","ARROYO/CHILD DEVELOPMENT CENTER","1605 W. ARROYO AVE.","POMONA","CA","91768","(909) 397-4573","CELIA ASEBEDO","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"393610766","0048","Licensed","ART FREILER PRESCHOOL","2421 W LOWELL STREET","TRACY","CA","95377","(209) 835-1869","RHOADES, MARTI","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"192006207","0078","Licensed","ARTEK CHILD EDUCATION CENTER","546 W. BROADWAY","GLENDALE","CA","91204","(818) 502-3388","LIOUBA GASPARIAN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"393601460","0050","Licensed","ARTESI II MIGRANT CHILD CARE CENTER","777 WEST MATHEWS ROAD","FRENCH CAMP","CA","95231","(209) 983-0655","PRADO, SOCORRO","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"393601438","0050","Licensed","ARTESI III CHILD DEV. CTR.-W. MATHEWS ROAD","333 WEST MATHEWS ROAD","FRENCH CAMP","CA","95231","(209) 982-0520","DELIA CORTEZ","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"198007304","0048","Licensed","ARTESIA CHILD DEVELOPMENT CENTER","18730 CLARKDALE AVENUE","ARTESIA","CA","90701","(562) 653-0290","SILVIA GUZMAN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198005634","0051","Licensed","ARTESIA HEAD START","6336 LONG BEACH BOULEVARD","LONG BEACH","CA","90805","(562) 422-3550","MARSHA BULLOCK/ALICIA GERO","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191670506","0104","Licensed","ARTESIA HIGH SCHOOL CHILDREN'S CENTER","20651 NORWALK BLVD","LAKEWOOD","CA","90715","(562) 229-7959","ARLENE RIDDICK","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"153801420","0024","Licensed","ARVIN STATE PRESCHOOL","633 WALNUT","ARVIN","CA","93203","(661) 854-6500","MORAN, AURORA","FRESNO-CC (04)","(559) 243-4588"
"153808740","0024","Licensed","ARVIN STATE PRESCHOOL EL CAMINO REAL CAMPUS","911 EL CAMINO REAL","ARVIN","CA","93203","(661) 854-6661","RHETT, GEORGIA","FRESNO-CC (04)","(559) 243-4588"
"153808741","0024","Licensed","ARVIN STATE PRESCHOOL SIERRA VISTA CAMPUS","300 FRANKLIN STREET","ARVIN","CA","93203","(661) 854-6500","PEREIDA MARTINEZ, EMMA","FRESNO-CC (04)","(559) 243-4588"
"197415264","0080","Licensed","AS YOU ARE PRESCHOOL","7855 LINDLEY AVENUE","RESEDA","CA","91335","(818) 881-0237","ANDERSON,CYNTHIA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"434413125","0024","Licensed","AS-SAFA ACADEMY PRESCHOOL","4250 LATIMER AVENUE","SAN JOSE","CA","95130","(408) 265-3590","ALI, HAJERA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"372005066","0040","Licensed","ASCENSION LUTHERAN CHILDREN'S CENTER","5106 ZION AVENUE","SAN DIEGO","CA","92120","(619) 582-2699","HOWARD, ANGELA","MISSION VALLEY (20)","(619) 767-2200"
"191600029","0078","Licensed","ASCENSION LUTHERAN CHURCH DAY NURSERY","26231 SILVER SPUR ROAD","RANCHO PALOS VERDES","CA","90275","(310) 373-6083","DARLENE E. KURT","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"561700012","0047","Licensed","ASCENSION LUTHERAN EARLY CHILDHOOD CENTER","269 ERBES RD.","THOUSAND OAKS","CA","91362","(805) 381-9081","PAM MUSBURGER","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"376700346","0018","Licensed","ASCENSION LUTHERAN PRESCHOOL","1140 N. MIDWAY DRIVE","ESCONDIDO","CA","92027","(760) 747-4276","KRAMER, RACHEL","MISSION VALLEY (20)","(619) 767-2200"
"191601364","0066","Licensed","ASCENSION LUTHERAN PRESCHOOL & CHILD CARE CENTER","17910 S. PRAIRIE AVE","TORRANCE","CA","90504","(310) 214-3905","SIMPSON, TAMARA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197415700","0030","Licensed","ASCENSION PARISH KIDS 'N ANGELS PRE-K","518 WEST 111TH PLACE","LOS ANGELES","CA","90044","(323) 756-4064","KALLAY, KAREN","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"340305606","0054","Licensed","ASCENSION PRESCHOOL","7607 GARDEN GATE DRIVE","CITRUS HEIGHTS","CA","95621","(916) 723-8455","LITTLE, JO ANNE","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"354400076","0064","Licensed","ASJUSD TOM CONNOLLY ""MIESCUELITA"" P.S.","300A THE ALAMEDA","SAN JUAN BAUTISTA","CA","95045","(831) 623-2627","NORMA NEGRETE","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"354412910","0048","Licensed","ASJUSD/MI ESCUELITA PRESCHOOL","365 VEGA STREET","AROMAS","CA","95004","(831) 726-5100","KYLE GRIFFITH","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"354413128","0024","Licensed","ASJUSD/SAN JUAN MI ESCUELITA PRESCHOOL","100 NYLAND DRIVE","SAN JUAN BAUTISTA","CA","95045","(831) 623-4538","FABIOLA VALADEZ","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"376700936","0029","Licensed","ASPEN LEAF PRESCHOOL","3518 3RD AVENUE","SAN DIEGO","CA","92103","(619) 501-8899","BRIDGET HEFFERNAN","MISSION VALLEY (20)","(619) 767-2200"
"376700435","0168","Licensed","ASPIRATIONS, SCHOOL OF LEARNING","6286 EL CAMINO REAL","CARLSBAD","CA","92009","(760) 603-9173","WILLIAMS, MARE","MISSION VALLEY (20)","(619) 767-2200"
"483007560","0010","Licensed","ASPIRE 2 ACHIEVE","1350 AMADOR STREET","VALLEJO","CA","94590","(707) 644-2222","REID, LINDA","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"197403796","0072","Licensed","ASSISTANCE LEAGUE OF ANTELOPE VALLEY P.S.D.C.C.","808 W. NEWGROVE","LANCASTER","CA","93534","(661) 948-1513","ETTA GIBSON","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"198014039","0060","Licensed","ASSISTANCE LEAGUE OF SOUTHERN CALIFORNIA (ALSC)","5436 HOLLYWOOD BOULEVARD","LOS ANGELES","CA","90027","(323) 464-4063","YOLANDA QUINTERO","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"561701073","0044","Licensed","ASSISTANCE LEAGUE SCHOOL","1310 FREMONT WAY","OXNARD","CA","93030","(805) 485-0068","VICTORIA ELLIOTT","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"370805130","0136","Licensed","ASSOCIATED STUDENTS CHILD CARE CENTER","5500 CAMPANILE DR","SAN DIEGO","CA","92182","(619) 594-7428","JUDD, ROBIN","MISSION VALLEY (20)","(619) 767-2200"
"434404301","0074","Licensed/Pending Increase","ASSOCIATED STUDENTS CHILD DEVELOPMENT CENTER","460 SOUTH EIGHTH STREET","SAN JOSE","CA","95112","(408) 924-6988","DAVIS, MARIA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"041370381","0055","Licensed","ASSOCIATED STUDENTS CHILDREN'S CENTER","CALIFORNIA STATE UNIVERSITY","CHICO","CA","95929","(530) 898-5865","YUDICE, NILI","CHICO-DAY CARE (13)","(530) 895-5033"
"380504942","0060","Licensed","ASSOCIATED STUDENTS CHILDREN'S CENTER - PRESCHOOL","1650 HOLLOWAY AVENUE","SAN FRANCISCO","CA","94132","(415) 338-2403","JOHNSON, SARAH","PENINSULA CHILD CARE (05)","(650) 266-8843"
"340306392","0126","Licensed","ASSOCIATED STUDENTS CSUS CHILDREN'S CENTER","6000 J STREET","SACRAMENTO","CA","95819","(916) 278-6216","DENISE WESSELS","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"406211108","0099","Licensed","ATASCADERO CHILDREN'S CENTER","11850 VIEJO CAMINO BDGS. B & C","ATASCADERO","CA","93422","(805) 461-9195","MONICA BENSON","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"401700015","0021","Licensed","ATASCADERO PRE-SCHOOL","8935 AMAPOA STREET","ATASCADERO","CA","93422","(805) 466-2427","JORDAN, MELODIE","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"197418446","0052","Licensed","ATERET ISRAEL PRESCHOOL & DAYCARE","1749 LA CIENEGA BLVD.","LOS ANGELES","CA","90035","(310) 204-2626","BASS, REGINA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197407349","0042","Licensed","ATHERTON BAPTIST CHURCH NURSERY","2627 W. 116TH STREET","HAWTHORNE","CA","90250","(323) 757-3113","THOMAS, GLORY","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"434410763","0320","Licensed","ATLC PRESCHOOL & EXTENDED CARE, INC","1975 CAMBRIANNA DRIVE","SAN JOSE","CA","95124","(408) 371-2573","JAYNE TYSON DAVILLA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"191800877","0034","Licensed","ATWATER PARK CENTER","3370 PERLITA AVE","LOS ANGELES","CA","90039","(323) 666-1377","CARLA POOLE","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"414003074","0058","Pending","AU P'TIT MONDE OF PENINSULA, INC. (PS)","1980 CLARKE AVENUE","EAST PALO ALTO","CA","94303","(415) 374-1876","SALIMA EZZIKHE GOLTSER","PENINSULA CHILD CARE (05)","(650) 266-8843"
"310312069","0075","Licensed","AUBURN DISCOVERY MONTESSORI SCHOOL","1273 HIGH ST","AUBURN","CA","95603","(530) 823-9577","TEATER, JUDITH","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"376700299","0024","Licensed","AUDUBON STATE PRESCHOOL","8111 SAN VICENTE STREET","SAN DIEGO","CA","92114","(619) 469-6139","SHARON CARR","MISSION VALLEY (20)","(619) 767-2200"
"390317570","0023","Licensed","AUGUST ELEMENTARY SCHOOL","2101 SUTRO","STOCKTON","CA","95205","(209) 953-4258","POTTEN, BECKY","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"370801624","0064","Licensed","AUNTY LYNN'S DAYCARE CENTERS, INC.","1107 E. WASHINGTON AVENUE","EL CAJON","CA","92019","(619) 440-0240","MC CUTCHEON, PATRICIA","MISSION VALLEY (20)","(619) 767-2200"
"434407547","0028","Licensed","AURORA CDC","995 APRICOT AVENUE","CAMPBELL","CA","95008","(408) 371-2605","DAVISSON, GLADYS","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"073401933","0080","Licensed","AUTUMN CREEK LEARNING CENTER","14 OSBORN WAY","DANVILLE","CA","94526","(925) 743-4187","BASU, KAJAL","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"274412696","0168","Licensed","AVONDALE EARLY EDUCATION CENTER","1450 ELM STREET","SEASIDE","CA","93955","(831) 899-4757","SHANNAN WATKINS","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"364808717","0048","Licensed","AVUSD DESERT KNOLLS STATE PRESCHOOL","18213 SYMERON ROAD, ROOM 603","APPLE VALLEY","CA","92307","(760) 242-3441","DONNA COLOSKY","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364808719","0048","Licensed","AVUSD MARIANA STATE PRESCHOOL","10601 MANHASSET ROAD","APPLE VALLEY","CA","92308","(760) 247-7258","BILL CLAY","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364808718","0072","Licensed","AVUSD MOJAVE MESA STATE PRESCHOOL","15552 WICHITA ROAD","APPLE VALLEY","CA","92307","(760) 242-0743","PHYLLIS CARNAHAN","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364808720","0024","Licensed","AVUSD RANCHO VERDE STATE PRESCHOOL","14334 PIONEER","APPLE VALLEY","CA","92307","(760) 240-4732","DR. CLAUDIA DIMIT","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364808716","0048","Licensed","AVUSD SANDIA STATE PRESCHOOL","21331 SANDIA","APPLE VALLEY","CA","92307","(760) 240-3155","PETE RODINE, ED.D.","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364820543","0024","Licensed","AVUSD SITTING BULL ELEMENTARY SCHOOL","19355 SITTING BULL ROAD","APPLE VALLEY","CA","92308","(760) 240-5278","MARLENE EMLAY","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364840360","0024","Licensed","AVUSD VANGUARD STATE PRESCHOOL","12951 MESQUITE ROAD","APPLE VALLEY","CA","92308","(760) 247-2052","RHOADES, SUE","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364817587","0024","Licensed","AVUSD YUCCA LOMA ELEMENTARY","21351 YUCCA LOMA RD.","APPLE VALLEY","CA","92308","(760) 247-2052","RHOADES,SUE","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"364817588","0024","Licensed","AVUSD/SYCAMORE ROCKS ELEMENTARY","23450 SOUTH ROAD","APPLE VALLEY","CA","92308","(760) 247-2052","RHOADES, SUE","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"073405623","0030","Licensed","AYERS PRE-K PROGRAM","5120 MYRTLE DRIVE","CONCORD","CA","94521","(925) 671-4920","CANDICE RAPO","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"100406327","0030","Licensed","AYNESWORTH PRESCHOOL","4765 E. BURNS","FRESNO","CA","93725","(559) 441-3342","MATHIES, DEANNA","FRESNO-CC (04)","(559) 243-4588"
"364840188","0100","Licensed","AZURE HILLS CHILDREN'S CENTER","22577 CENTER CITY COURT","GRAND TERRACE","CA","92313","(909) 825-7054","NWOSU, EDITH","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"198008076","0120","Licensed","AZUSA CENTER","328 N. ORANGE PLACE","AZUSA","CA","91702","(626) 969-2400","DELIA D. CASTENEDA","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198011628","0108","Licensed","AZUSA DISCOVERY CENTER","155 W. ARROW HIGHWAY","AZUSA","CA","91702","(626) 334-1806","LARA, BELEN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198012229","0026","Licensed","AZUSA MONTESSORI ACADEMY/MONTESSORI ASSN. OF COVIN","405 N. AZUSA AVENUE","AZUSA","CA","91702","(626) 815-1762","SHIVANTHA MEDIWAKE","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"191504577","0090","Licensed","B'NAI SIMCHA JEWISH COMMUNITY PRESCHOOL","550 SOUTH 2ND AVENUE","ARCADIA","CA","91006","(626) 445-4805","CALLAHAN, JUDY","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"153801812","0155","Licensed","B.C. CAMPUS C.D.C. - PRESCHOOL PROGRAM","1801 PANORAMA DRIVE","BAKERSFIELD","CA","93305","(661) 395-4560","WARD, DANELL","FRESNO-CC (04)","(559) 243-4588"
"153808635","0024","Licensed","B.C.S.D./PAULY ELEMENTARY SCHOOL","313 PLANZ ROAD","BAKERSFIELD","CA","93304","(661) 631-5430","MONTOYA, RACHELLE","FRESNO-CC (04)","(559) 243-4588"
"340319878","0025","Licensed","B.J. JORDAN CHILD CARE PROGRAMS - JEFFERSON","2001 PEBBLEWOOD DRIVE","SACRAMENTO","CA","95833","(916) 920-8188","SMILEY, JULIE","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"340306413","0024","Licensed","B.J. JORDAN CHILD CARE PROGRAMS - NORTH HIGHLANDS","3735 STEPHEN DRIVE","NORTH HIGHLANDS","CA","95660","(916) 331-0396","ECKERLE, PATRICIA","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
