ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00002128,PR-00000793,Long Day Care,Karana Downs Childcare Centre,Feng Holdings Pty Ltd ATF the Feng Family Trust,171 College Road  ,KARANA DOWNS,QLD,4306,07 3201 0131,07 3201 0131,karanadownchildcare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,62,5/7/15,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.karanadownschildcare.com.au/,"""ages 15 months to 5 years""","""15 months - 5 years: $75.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000418,PR-00001163,Long Day Care,Karana Early Education Centre,Eskay Kids Pty Ltd,36-38 College Road  ,KARANA DOWNS,QLD,4306,732011145,732012099,karana@eskaykids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,63,9/19/14,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Excellent,http://www.eskaykids.com.au/?q=centre-karana,"""ages 15 months to 5 years""","""15 months - 36 months: $64.00, 36 months - 5 years: $65.00""",6.45am - 6.15pm,F,,,,,F,,,F,,,,,,,,,,,,
SE-00001633,PR-00001057,Long Day Care,Lead Childcare - Blackbutt,Leading Child Care Pty Ltd,41 Sutton Street  ,BLACKBUTT,QLD,4306,41700666,,blackbutt@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,65,1/8/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.leadchildcare.com.au/centre/blackbutt/,"""ages 6 weeks to 4 years""","""6 weeks - 24 months: $66.00, 25 months - 4 years: $63.00"" ",6.30am - 6.30pm,F,T,,,,F,,,T,,,,,,,,,,,,
SE-40001671,PR-00004831,Short Day Care,Mission Australia Early Learning Fernvale,Mission Australia Early Learning Services Limited,Fernvale State School  Brisbane Valley Highway,FERNVALE,QLD,4306,0477 735 672,,jeffreyca@missionaustralia.com.au,,22,1/28/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.maearlylearning.com.au/qld/69-fernvale-kindergarten,"""ages 3 years to 5 years""",,,,,,,,F,,,T,,,,,,,,,,,,
SE-00000900,PR-00000261,Outside Hours Care*,Mt Crosby State School Outside School Hours Care,Mt. Crosby State School P&C Association,Mount Crosby Rd  ,MOUNT CROSBY,QLD,4306,07 3201 0841,07 3813 2200,mtcrosbyoshc@bigpond.com, The maximum number of children able to be provided with education and care after school is 120 The maximum number of children able to be provided with education and care before school is 60 The maximum number of children able to be provided with education and care during school holidays is 90 An approved alternate solution relating to Performance Critieria 18 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (within a publication date of 23 November 2005) applies to this service.,120,4/13/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://mtcrosbyss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 4 years to 12 years""","""BSC: $12.00, ASC: $16.00""","""7.00am - 8.30am, 3.00pm - 6.30pm""",F,,,,,F,,,T,,,,,,,,,,,,
SE-00002007,PR-00001115,Outside Hours Care*,Peak Kidz School Aged Care ,Peak Kidz School Aged Care Pty Ltd,Ipswich - Boonah Road  ,PEAK CROSSING,QLD,4306,0411 532 142,07 5464 8100,peakkidz@hotmail.com, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service. ,34,2/23/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""BSC: $12.00, ASC: $16.00, VC: $43""",,,,,,,,,,,,,,,,,,,,,,
SE-00002105,PR-00000910,Outside Hours Care*,Quality School Age Care Services - Walloon,Melita Frances Shaw,Amberley - Rosewood Road  ,WALLOON,QLD,4306,0432 240 180,,melitashaw@optusnet.com.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service.,41,8/16/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://walloonss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 4 years to 12 years""",,"""6.30am - 8.00am, 2.30pm - 6.00pm""",,,,,,F,,,F,,,,,,,,,,,,
SE-40000749,PR-00000910,Out of Hours Care,Quality School Age Care Services- Fernvale,Melita Frances Shaw,Banks Creek Rd  ,FERNVALE,QLD,4306,432240180,,melitashaw@optusnet.com.au, The service is approved to provide education and care to children during school holidays only.,80,9/22/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001541,PR-00000979,Short Day Care,West Moreton Community Kindergarten,West Moreton Community Kindergarten Inc.,Keswick Road  ,KARRABIN,QLD,4306,07 3813 4540,38134566,csymonds@wmac.com.au,,44,1/30/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/westmoreton,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $32.50""",8.00am - 3.30pm,F,,,,,T,$22,F,F,,,,,,,,,,,,
SE-00001283,PR-00000124,Short Day Care,Boonah District Kindergarten,Boonah District Kindergarten Association Inc,Haag Road  ,TEVIOTVILLE,QLD,4309,07 5463 5878,07 5463 5878,boonahkindergarten@bigpond.com,,21,6/7/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/boonahdistrict,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $23.00""",8.45am - 2.45pm,F,,,,,T,F,,F,,,,,,,,,,,,
SE-00002308,PR-00001168,"""Long Day Care, Out of Hours Care""",Natures Kids Childcare Centre,Natures Kids Childcare Centre Pty Ltd,2 Edward Street  ,KALBAR,QLD,4309,07 5463 9962,07 5463 9963,natureskidschildcare@yahoo.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,78,12/11/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://natureskids.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $62.00""",6.30am - 5.30pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00000788,PR-00000669,Family Day Care,Boonah & District Family Day Care,Boonah & District Family Day Care Association Inc,Shop 1B  Church Street,BOONAH,QLD,4310,07 5463 2828,07 5463 2828,admin@boonahfdc.com.au,,0,10/4/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.boonahfamilydaycare.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $6-7.00 per hour*""",12.00am - 11.59pm,F,,,,,F,,,F,,,,,,,,,,,,
SE-00000596,PR-00001129,"""Long Day Care, Out of Hours Care""",Goodstart Early Learning Boonah ,Goodstart Early Learning Ltd,101 Church Street  ,BOONAH,QLD,4310,07 5463 2333,07 5463 4442,kdo@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/boonah/overview,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $71.60,  25 months - 35 months: $70.00, 36 months - 6 years: $69.50""",6.00am - 6.00pm,,,,,T,F,,,T,,,,,,,,,,,,
SE-00002356,PR-00001196,Outside Hours Care,Clarendon Outside School Hours Care,Clarendon State School P&C Association,507 Clarendon Road  ,CLARENDON VIA LOWOOD,QLD,4311,07 5426 1289,07 5426 2103,dnewm18@eq.edu.au, This service may provide education and care before and after school only.,15,5/13/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,3.00pm - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002143,PR-40000614,Outside Hours Care*,Coominya Before-After & Vacation Care,Christine Anne Kelly,Cnr Main and Corn Hill Street  ,COOMINYA,QLD,4311,413866126,,coominya_bavc@iprimus.com.au, The maximum number of children able to be provided with education and care after school is 30  The maximum number of children able to be provided with education and care before school is 30  The maximum number of children able to be provided with education and care during school holidays is 39 ,39,7/1/15,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,https://coominyass.eq.edu.au/Supportandresources/Formsanddocuments/Documents/out-of-school-hours-brochure.pdf,"""ages 4 years to 12 years""","""BSC: $9.50, ASC: $13.50, VC: $36.50""","""6.30am - 8.30am, 3.00pm - 6.00pm, 6.30am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001407,PR-00000612,Short Day Care,Lowood and District Community Kindergarten,Lowood & District Community Kindergarten Association Inc,31 Daniel Street  ,LOWOOD,QLD,4311,07 5426 1859,07 5426 1859,admin@lowoodkindy.com,,23,10/19/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://lowoodkindergarten.com.au/,"""ages 3 years to 5 years""","""36 months - 5 years: $23.00""",8.55am - 3.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000529,PR-00000081,"""Long Day Care, Out of Hours Care""",Lowood Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,9 Park Street  ,LOWOOD,QLD,4311,07 5426 1500,,lowood@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/22/14,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=15&name=Lowood+Early+Education+Centre+%26+Pre-school,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $71.00, 25 months - 4 years $69.00, 5 years: $66.00, BSC: $17.00, ASC: $19.00""",6.15am - 6.15pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00002357,PR-00000659,Out of Hours Care*,PCYC Ipswich-Minden School Age Care,Queensland Police-Citizens Youth Welfare Association ,Minden State School  1032 Minden Road,MINDEN,QLD,4311,0408 409 572,07 3812 2417,sonia.ledger@pcyc.org.au, The service is approved to provide education and care to children before school after school and during school holidays.,30,1/25/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Ipswich-Minden.aspx,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $18.00, VC: $40.00""",3.00pm - 6.00pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00001348,PR-00000122,Short Day Care,Esk & District Kindergarten,Esk & District Kindergarten Association Inc,26 South St  ,ESK,QLD,4312,07 5424 1377,,eskkindy@bigpond.com, This service is approved to operate for 20 hours or less a week.,24,6/28/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/eskdistrict,"""ages 3.5 years to 4.5 years""",,8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001922,PR-00000852,"""Long Day Care, Out of Hours Care""",Country Kids Play & Learning Centre,Cameron Graham Lipp & Julie May Lipp,43 Gardner Street North  ,TOOGOOLAWAH,QLD,4313,5423 0340,,countrykids@iinet.net.au, This service is approved to exceed the approved number of places during the period from  Monday to Friday between the hours of 3:00pm and 5:00pm when it is 51 children. This service is approved to continue to use educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1) (a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm - 2:00pm on Monday to Friday . This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,41,9/22/13,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,https://www.facebook.com/pages/Country-Kids-Play-Learning-Centre/125096464192576,"""ages 6 weeks to 12 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001490,PR-00000062,Short Day Care,Toogoolawah Kindergarten,Toogoolawah Kindergarten Association Inc,17 Abbotsford Street  ,TOOGOOLAWAH,QLD,4313,5423 1484,,toogoolawahkindy@bigpond.com, This service is approved to operate for 20 hours or less a week.,24,8/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/toogoolawah,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $23.00""",8.45am - 2.45pm,F,,,,,T,F,,F,,,,,,,,,,,,
SE-00001457,PR-00000369,Short Day Care,Rosewood & District Kindergarten & Preschool,Rosewood & District Kindergarten & Preschool Association Inc,54 John Street  ,ROSEWOOD,QLD,4340,07 5464 1302,5464 1302,director@rosewoodkindy.com.au,,25,3/26/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/rosewood,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $20.00""",8.30am - 2.30pm,F,,,,,F,,,F,,,,,,,,,,,,
SE-00000591,PR-00000081,"""Long Day Care, Out of Hours Care""",Rosewood Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,80 John Street  ,ROSEWOOD,QLD,4340,07 5464 2033,07 5464 2031,rosewood@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 79 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/7/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=18&name=Rosewood+Early+Education+Centre+%26+Pre-school,"""ages 6 weeks to 12 years""","""6 weeks - 35 months: $74.00, 36 months - 4 years: $71.00, 5 years: $66.00, BSC: $16.00, ASC: $18.00""",6.00am - 6.00pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00002155,PR-00001164,Out of Hours Care*,Shoosh Kidz,Sherie Allen,School Street   ,ROSEWOOD,QLD,4340,410500703,,rosewood@shooshkidz.com.au, An approved alternative solution relating to Performance Criteria 18 Accessibility within MP 5.4 Child Care Centres of the Queensland Development Code  (with a publication date of 16 November 2007) applies to this service.,40,10/14/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.shooshkidz.com.au/,"""ages 4 years to 14 years""","""BSC: $10.00, ASC: $14.00, VC: $38.00""","""6.30am - 8.30am, 3.00pm - 6.00pm, 6.30am - 6.00pm""",T,,,,,F,,,F,,,,,,,,,,,,
SE-00001797,PR-00000702,Out of Hours Care,St Brigids Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,12 Matthew Street   ,ROSEWOOD,QLD,4340,07 54 64 2891,07 3241 0090,rosewoodoshc@bne.centacare.net.au,,45,3/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.stb.catholic.edu.au/oshc.htm,"""ages 4 years to 12 years""","""BSC: $7.00, ASC: $12.00""","""7.00am - 8.30am, 3.15pm - 6.15pm""",,,,,,F,,,F,,,,,,,,,,,,
SE-00001593,PR-00000973,"""Long Day Care, Out of Hours Care""",Bright Horizons Australia Childcare Hatton Vale,Bright Horizons Australia Childcare Pty Ltd,10 Fairway Drive  ,HATTONVALE,QLD,4341,54 114 111,07 55576099,hattonvale@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,5/16/14,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.bhchildcare.com.au/early-learning-centres-bright-horizons/queensland.html,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $73.00, 25 months - 35 months: $71.00, 36 months - 5 years: $70.50, BSC: $23.00, ASC: $27.00""",6.30am - 6.30pm,T,,,,,F,,,F,,,,,,,,,,,,
SE-00014023,PR-00008029,Short Day Care,C&K Hatton Vale Community Kindergarten,The Creche and Kindergarten Association Limited, 27 Hannant Road    ,HATTON VALE,QLD,4341,07 5411 4695,07 5411 4696,hattonvale@candk.asn.au,,24,7/21/16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/hattonvale,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",,,,,,,T,F,,,,,,,,,,,,,,
SE-40000769,PR-00006557,Out of Hours Care,Camp Australia - Hatton Vale State School OSHC,The Camp Australia Foundation Ltd,Hannant Rd  ,HATTON VALE,QLD,4341,1300105343,,oshc@campaustralia.com.au,,60,5/18/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDHattonValePrimarySchool/1450,"""ages 4 years to 12 years""","""BSC: $13.00, ASC: $17.00""","""6.30am - 8.45am, 2.45pm - 6.00pm""",T,,,,,F,,,T,,,,,,,,,,,,
SE-00000731,PR-00000790,Long Day Care,Crayons Early Learning Centre,Crayons Retreat Pty Ltd,34 Hannant Road  ,HATTON VALE,QLD,4341,07 5465 6688,5465 6688,crayonselc@hotmail.com, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 85 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/11/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 6 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001941,PR-00000867,Long Day Care,Free Range Kids - Laidley 1,Common Joe Investments Pty Ltd,39 Robinson Road  ,LAIDLEY,QLD,4341,5465 1342,,info@freerangekids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,80,5/29/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.freerangekids.com.au/laidley1.html,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $68.00""",6.00am - 6.00pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00013963,PR-00000867,Long Day Care,Free Range Kids - Laidley 2,Common Joe Investments Pty Ltd,237 Patrick Street  ,LAIDLEY,QLD,4341,754652007,754653383,frklaidley2@bigpond.com,,74,12/21/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.freerangekids.com.au/laidley2.html,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $68.00""",6.00am - 6.00pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00000770,PR-00000357,Long Day Care,Kensington Grove Community Kindy,Lockyer Valley Regional Council,24 Bertrand Avenue  ,KENSINGTON GROVE,QLD,4341,07 5465 6946,54651861,rhardiman@lvrc.qld.gov.au,  This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,21,7/13/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $62.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001642,PR-00000898,Long Day Care,Laidley Central Child Care Centre,G8 Education Limited,19 Hope Street  ,LAIDLEY,QLD,4341,07 5465 3711,07 5465 3010,laidleycentral@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 85 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/5/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.communitykids.com.au/centres/childcare-laidley/,"""ages 6 weeks to 6 years""","""6 weeks - 35 months: $68.00, 36 months - 4 years: $67.00, 5 years - 6 years: $56.00""",6.30am - 6.30pm,T,,,,T,F,,,T,,,,,,,,,,,,
SE-00001403,PR-00000594,Short Day Care,Laidley Kindergarten,Laidley Kindergarten Assoc Inc,36 William St  ,LAIDLEY,QLD,4341,07 5465 1723,,director@laidleykindergarten.com.au,,20,6/7/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.candk.asn.au/laidley,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $18.00""",8.45am - 2.45pm,F,,,,,F,,,T,,,,,,,,,,,,
SE-00001955,PR-00000883,Long Day Care,Little Angels @ Forest Hill,Little Angels @ Forest Hill Pty Ltd,1 Victoria Street  ,FOREST HILL,QLD,4342,07 5465 4001,,littleangels_foresthill@hotmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,21,1/18/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,"""ages 36 months to 5 years""",,6.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
