ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment
SE-00000780,PR-00000642,Short Day Care,Taroom Kindergarten,Taroom Kindergarten Association Inc,44 Yaldwyn Street  ,TAROOM,QLD,4420,07 4628 6246,4628 6246,taroomkindy@bigpond.com, This service is approved to operate for 20 hours or less a week.,20,7/29/15,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/taroom,"""3.5 years to 5 years""","""3.5 years - 5 years: $23.00""",8.30am - 2.30pm,F,,,,,,,,
SE-00000775,PR-00008029,"""Long Day Care, Out of Hours Care""",C&K Tara And District Kindergarten,The Creche and Kindergarten Association Limited,Fry Street  ,TARA,QLD,4421,07 4665 3376,074669 4676,tara@candk.asn.au, The service is approved to provide a rest period from 11:00am to 1:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,53,8/24/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/tara,"""6 weeks to 12 years""","""6 weeks to 5 years: $62.70""",7.30am - 5.30pm,F,,,,,,,,
SE-00000776,PR-00008029,Short Day Care,C&K Meandarra Community Kindergarten,The Creche and Kindergarten Association Limited,16 Dillon St  ,MEANDARRA,QLD,4422,07 4665 6197,07 4665 6197,meandarra@candk.asn.au, This Service is approved to operate for 20 hours or less a week. This service is approved to provide education and care to children from 30 months up to and including over preschool age not including school children.,16,10/12/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/meandarra,"""3.5 years to 5 years""","""3.5 years - 5 years: $28.08""",8.30am - 3.00pm,F,,,,,,,,
SE-00000781,PR-00000336,,Westmar Rural Education Centre,Westmar Kindergarten Association Inc,18425 Moonie Highway  ,WESTMAR,QLD,4422,07 4663 0822,07 4662 9125,westmarkindy@bigpond.com, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children This service is approved to operate for 20 hours or less a week.,20,2/25/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,
SE-00002102,PR-00008029,Short Day Care,C&K Glenmorgan Community Kindergarten,The Creche and Kindergarten Association Limited,Clive Street  ,GLENMORGAN,QLD,4423,07 4665 6890,,glenmorgan@candk.asn.au, This service is approved to provide education and care to children from 30 months up to and including over preschool age not including school age children. The service is approved to operate for 20 hours or less a week.,14,4/15/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/glenmorgan,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $24.98""",8.30am - 3.00pm,F,,,,,,,,
SE-00000783,PR-00000405,Long Day Care,Injune Kindergarten and Children's Centre,Injune Kindergarten Association Inc,55 Ronald St  ,INJUNE,QLD,4454,07 4626 1202,07 4626 1202,injune.mfc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 1:00pm to 3:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,20,4/8/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,"""ages 6 weeks to 10 years""","""6 weeks - 10 years: $72.00""",7.30am - 5.10pm,,,,,,,,,
SE-00000424,PR-40001112,Long Day Care,Freckles Creative Learning Centre ,Affinity Education Group Limited,186 McDowall Street  ,ROMA,QLD,4455,07 4622 3265,46226865,office@frecklesroma.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,114,2/9/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,"""ages 6 weeks to 5 years""","""6 weeks- 12 months: $84.20, 13 months - 24 months: $83.70, 25 months - 35 months: $81.70, 36 months - 5 years: $80.70""",6.00am - 6.00pm,T,,,,,,,,
SE-00000425,PR-40001112,Long Day Care,Freckles Creative Learning Centre 3,Affinity Education Group Limited,5-7 Downs Street  ,ROMA,QLD,4455,07 4622 4008,07 4622 4425,office@frecklesroma.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,62,7/1/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 6 weeks to 5 years""","""6 weeks- 12 months: $84.20, 13 months - 24 months: $83.70, 25 months - 35 months: $81.70, 36 months - 5 years: $80.70""",6.00am - 6.00pm,T,,,,,,,,
SE-00000692,PR-00001129,Long Day Care,Goodstart Early Learning Roma,Goodstart Early Learning Ltd,23 Lovell Street  ,ROMA,QLD,4455,07 4622 4403,4622 4436,rom@goodstart.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1) (a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,6/1/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/roma/services,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $79.10, 13 months - 24 months: $78.00, 25 months - 5 years: $73.00""",6.00am - 6.00pm,T,T,,,,,,,
SE-00001976,PR-00000713,Short Day Care,Maranoa Kindergarten,Maranoa Kindergarten Association Incorporated,49 Bungil Street  ,ROMA,QLD,4455,07 4622 3112,,maranoakindy@bigpond.com,,44,8/12/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/maranoa,"""ages 3.5 years to 5 years""",,8.30am - 2.30pm,F,,,,,,,,
SE-00000831,PR-00000693,Family Day Care,Roma & District Family Day Care Scheme,The Uniting Church in Australia Property Trust (Q.),80 Charles Street  ,ROMA,QLD,4455,07 4622 2011,4622 3717,fdcroma@uccommunity.org.au,,0,8/24/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,F,,,,,,,,
SE-40000906,PR-00000693,Long Day Care,Mitchell ECEC,The Uniting Church in Australia Property Trust (Q.),105 Cambridge St  ,MITCHELL,QLD,4465,46236688,,mitchell.ecec@gmail.com,,29,8/3/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $72.00, 25 months - 35 months: $58.00, 36 months - 5 years: $52.00""",7.30am - 5.30pm,T,,,,,,,,
SE-00001318,PR-00000481,Short Day Care,C&K Charleville Kindergarten,Charleville Kindergarten Association Inc,134 King Street  ,CHARLEVILLE,QLD,4470,07 4654 1843,46541843,charlevillekindy@bigpond.com, This service is taken to comply with regulation 107(4) in which the area of a verandah may be included in calculating the area of indoor space.,20,10/12/14,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/charleville,"""ages 3.5 to 5 years""","""3.5 years - 5 years: $17.55""",8.30am - 2.30pm,F,,,,,F,,,T
SE-00000848,PR-00000646,Family Day Care,Charleville and Districts Family Day Care,Uniting Church Frontier Services,152 Alfred Street   ,CHARLEVILLE,QLD,4470,07 4654 7348,,chfdcc@frontierservices.org,,0,4/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.frontierservices.com.au/services/services-in-qld/item/124-charleville-and-district-family-day-care,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,F,,,,,,,,
SE-00000665,PR-00000646,Long Day Care,Charleville Early Learning Centre,Uniting Church Frontier Services,2 Baker Street   ,CHARLEVILLE,QLD,4470,07 4654 2596,4654 2436,chelc.director@frontierservices.org, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,42,4/1/15,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.frontierservices.com.au/services/services-in-qld/item/123-charleville-early-learning-centre,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $57.00""",7.30am - 5.30pm,T,,,,,,,,
SE-00002134,PR-00001005,Long Day Care,Sam's Place Child Care Centre,Damon & Kylie Ferguson,Lot 67  Cnr Partridge and Park Streets,CHARLEVILLE,QLD,4470,46547263,46541073,samsplaceccc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,42,7/16/15,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,,,"""$57.00""",7.30am - 5.30pm,,,,,,,,,
SE-00000841,PR-00000448,Family Day Care,Barcoo Family Day Care Scheme,Blackall-Tambo Regional Council,108 Shamrock Street  ,BLACKALL,QLD,4472,07 4657 4440,07 4657 4989,BFC@btrc.qld.gov.au,,0,5/7/14,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,,,,,,,,,,,,
SE-00001279,PR-00000572,Short Day Care,Blackall Kindergarten,Blackall Kindergarten Association Inc,76 Thistle Street  ,BLACKALL,QLD,4472,07 4657 4832,07 4657 4832,blackallkindy1@bigpond.com, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children,21,6/22/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/blackall,"""ages 3.5 years to 4.5 years""",,8.30am - 2.30pm,F,,,,,,,,
SE-40000942,PR-00000595,Short Day Care,St Joseph's Catholic Pre-Preparatory Centre Blackall,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,St Andrew St  ,BLACKALL,QLD,4472,439608111,,janelle_wann@rok.catholic.edu.au,,22,7/23/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $30.00""",,,,,,,,,,
SE-00001597,PR-00000448,Long Day Care,Tambo Child Care Centre,Blackall-Tambo Regional Council,16 Star Street  ,TAMBO,QLD,4478,46546160,46546995,TCC@btrc.qld.gov.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,21,8/13/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,8.30am - 5.00pm,,,,,,,,,
SE-40001062,PR-00008118,Long Day Care,Mulga Mates Centre Inc,Mulga Mates Centre Inc,62 Winchu St  ,QUILPIE,QLD,4480,46561415,,cdgrmcconnell@bigpond.com.au,,24,7/20/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,8.00am - 5.00pm,,,,,,,,,
SE-00001339,PR-00008029,Short Day Care,C&K Dirranbandi Community Kindergarten,The Creche and Kindergarten Association Limited,16 Moore Street  ,DIRRANBANDI,QLD,4486,07 4625 8458,4625 8458,dirranbandi@candk.asn.au,,20,6/6/15,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/dirranbandi,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $27.04""",8.30am - 2.45pm,F,,,,,F,,,F
SE-00001266,PR-00000469,Short Day Care,Balonne Kindergarten,Balonne Kindergarten Association Incorporated,144 - 146 Victoria Street  ,ST GEORGE,QLD,4487,07 4625 3923,4625 4511,bkindergarten@bigpond.com.au,,24,11/5/14,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/balonne,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $20.00""",8.45am - 2.45pm,F,,,,,,,,
SE-00001626,PR-00000703,Long Day Care,St. George Community Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,40 Kenny Lane  ,ST GEORGE,QLD,4487,46251830,,stgeorgececc@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,59,8/26/15,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,"""ages 6 weeks to 5 years""","""6 weeks - 5 years"" $62.50""",7.00am - 6.00pm,,,,,,,,,
SE-00000845,PR-00000703,Family Day Care,Warrawee Family Day Care Scheme,Churches of Christ In Queensland Churches of Christ Care,Alfred Street  ,ST GEORGE,QLD,4487,07 4620 2050,07 4625 3041,warraweefdc@cofcqld.com.au,,0,8/4/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $7.50*""",12.00am - 11.59pm,F,,,,,,,,
SE-40000781,PR-00000703,"""Long Day Care, Out of Hours Care, Short Day Care*""",Churches of Christ Care Community Kindergarten Cunnamulla,Churches of Christ In Queensland Churches of Christ Care,59 Stockyard Street  ,CUNNAMULLA,QLD,4490,07 46552269,,jenny.neal@cofcqld.com.au,,22,7/6/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://careearlychildhood.com.au/long/early-childhood-centre-cunnamulla/,"""ages 6 weeks to 12 years""",,"""LDC: $8.00am - 5.30pm, SDC: 9.00am - 2.00pm, ASC: 3.00pm - 5.30pm, VC: 8.00am - 4.00pm""",,,,,,,,,
SE-00000751,PR-00000703,"""Long Day Care, Out of Hours Care, Short Day Care*""",Churches Of Christ Care Early Childhood Centre Cunnamulla,Churches of Christ In Queensland Churches of Christ Care,59 Stockyard Street  ,CUNNAMULLA,QLD,4490,07 4655 8432,,marsha.bolitho@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,22,7/5/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://careearlychildhood.com.au/long/early-childhood-centre-cunnamulla/,"""ages 3.5 years to 5 years""",,"""LDC: $8.00am - 5.30pm, SDC: 9.00am - 2.00pm, ASC: 3.00pm - 5.30pm, VC: 8.00am - 4.00pm""",,,,,,,,,
SE-40000782,PR-00000703,"""Long Day Care, Out of Hours Care, Short Day Care*""",Cunnamulla After School and Vacation Care,Churches of Christ In Queensland Churches of Christ Care,59 Stockyard St  ,CUNNAMULLA,QLD,4490,746558432,746551867,cunnamullaECC@cofcqld.com.au,,30,4/25/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://careearlychildhood.com.au/long/early-childhood-centre-cunnamulla/,"""ages 6 years to 12 years""",,"""LDC: $8.00am - 5.30pm, SDC: 9.00am - 2.00pm, ASC: 3.00pm - 5.30pm, VC: 8.00am - 4.00pm""",,,,,,,,,
SE-00000777,PR-00000268,Short Day Care,Toobeah Kindergarten and Children's Centre,Toobeah Kindergarten Association Inc,Corner Barwon Highway and Minnel Road  ,TOOBEAH,QLD,4498,46775166,07 4677 1209,toobeahkindy@bluemaxx.com.au, This service is approved to operate for 20 hours or less a week.,18,2/6/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/toobeah,"""ages 36 months  to 4.5 years""","""36 months - 4.5 years: $21.50""",8.45am - 2.30pm,F,,,,,,,,
SE-00001663,PR-00001202,Long Day Care,Bray Park Childcare Centre,Feng Holdings Pty Ltd ATF the Feng Family Trust and J & A Childcare Services Pty Ltd ATF the Julie Watts Family Trust,245 Francis Road ,BRAY PARK,QLD,4500,3882 6425,3882 5893,brayparkchildcare@tpg.com.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,3/22/15,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,http://www.brayparkchildcare.com.au/,"""ages 6 months to 6 years""","""6 months - 15 months: $76.50, 16 months - 5 years: $74.50""",6.30am - 6.30pm,T,,,,,F,,,T
SE-00001625,PR-00001130,Long Day Care,Charley's Place Early Learning College Warner 1,Jashelle Pty Ltd ATF JS & RL Hewett Family Trust & Thirsty Pete Pty Ltd ATF Belgiddi Family Trust,1401 Old North Road ,WARNER,QLD,4500,3882 4903,3882 4993,warner1@charleysplace.com.au, This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until the 31 December 2017. This service is approved to provide a rest period from 12.00pm to 2.00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,6/7/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.charleysplace.com.au/charleysplace/Home__.html,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $80.00""",6.00am - 6.00pm,T,,,,,,,,
SE-00013941,PR-00001130,Long Day Care,Charley's Place Early Learning College Warner 2,Jashelle Pty Ltd ATF JS & RL Hewett Family Trust & Thirsty Pete Pty Ltd ATF Belgiddi Family Trust,1401 Old North Road ,WARNER,QLD,4500,3882 4992,3882 4993,warner2@charleysplace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/2/16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,http://www.charleysplace.com.au/charleysplace/Home__.html,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $80.00""",6.00am - 6.00pm,T,,,,,,,,
SE-00001899,PR-00000842,Out of Hours Care,Club Swosh,Strathpine West State School P & C Association,Strathpine West State School  Garbala Drive,STRATHPINE,QLD,4500,3889 9513,3205 8046,club.swosh@gmail.com, The maximum number of children able to be provided with education and care after school is 75 The maximum number of children able to be provided with education and care before school is 45 The maximum number of children able to be provided with education and care during school holidays is 45 An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,75,9/12/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""BSC: $16.00, ASC: $21.00, VC: $43.00""",6.00am - 6.00pm,T,,,,,,,,
SE-00001840,PR-40000786,Out of Hours Care*,Genesis Christian College Outside School Hours Care,Genesis Christian College Ltd,10 Youngs Crossing Road  ,BRAY PARK,QLD,4500,3882 9013,3882 1581,lizg@genesis.qld.edu.au, This service is approved to provide education and care to 60 children before school and 90 children after school and during school holidays. This service is approved to provide education and care to children from over preschool age including school children.,90,5/30/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.genesis.qld.edu.au/community/oshc,"""ages 5 years to 12'",,"""BSC: $6.30am - 8.30am, ASC: 2.45pm - 6.00pm, VC: 6.30am - 6.00pm""",T,,,,,T,F,,F
SE-00001784,PR-00001129,Long Day Care,Goodstart Early Learning  Bray Park - Kensington Way,Goodstart Early Learning Ltd,Shop 7 Kensington Shopping Village  11 Kensington Way,BRAY PARK,QLD,4500,3205 8220,,bpk@goodstart.org.au, An approved alternative solution relating to Performance Criteria P8 Nappy change facilities and P9 Personal washing facilities within SP 5.4 Child Care centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/bray-park-kensington-way/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $83.70, 25 months - 6 years: $76.40""",7.00am - 6.00pm,T,T,,,,F,,,F
SE-00000413,PR-00001129,Long Day Care,Goodstart Early Learning Bray Park - Elmwood Drive,Goodstart Early Learning Ltd,4 Elmwood Drive ,BRAY PARK,QLD,4500,07 3882 1477,,bpw@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/bray-park-elmwood-drive/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $81.10, 25 months - 6 years: $76.50""",6.45am - 6.15pm,T,T,,,,F,,,F
SE-00001716,PR-00001129,Long Day Care,Goodstart Early Learning Warner,Goodstart Early Learning Ltd,4 Everest Street ,WARNER,QLD,4500,3882 4322,,wnr2@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,121,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/warner/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $83.60, 25 months - 6 years: $76.40""",6.30am - 6.30pm,T,T,,,,F,,,F
SE-00001827,PR-00000702,Outside Hours Care*,Holy Spirit School Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services,102 Sparkes Road ,BRAY PARK,QLD,4500,3205 8040,3205 7278,brayparkoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P2 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,75,5/30/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.hsstsv.catholic.edu.au/about_us/outside_school_hours_care.php,"""ages 6 years to 12 years""",,"""BSC: 6.45am - 8.45am, ASC: 2.50pm - 6.00pm, VC: 8.00am - 6.00pm""",,,,,,,,,
