ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000461,PR-00001101,"Child care, OSHC",Browns Plains Kids Early Learning Centre,Mandhu Pty Ltd as Trustee for The Patel Trust,39 Furzer Street  ,BROWNS PLAINS,QLD,4118,07 3809 2724,07 3806 8006,brownsplainskid@optusnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,118,4/14/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 12 years,"""6 weeks - 3 years: $79.00, 3 - 5 years: $75.00, 5 - 12 years BSC: $19.00, 5 - 12 years ASC: $22.00, 5 - 12 years: $67.00""""",6:30am - 6:30pm,"""Morning tea, afternoon tea""",T,F,,,F,,,,,,,,,,,,,,,
SE-00002216,PR-00000793,Child care,Browns Plains Village Square Childcare Centre,Feng Holdings Pty Ltd ATF the Feng Family Trust,Village Square  18 Commerce Drive,BROWNS PLAINS,QLD,4118,07 3809 4371,07 3809 4372,brownsplainsvscc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/6/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.brownsplainschildcare.com.au/,6 weeks - 5 years,"""6 weeks - 15 months: $75.00, 15 months - 2.5 years: $74.50, 2.5 - 5 years: $72.50""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00002242,PR-00008029,Child care,C&K Browns Plains Family Day Care Scheme,The Creche and Kindergarten Association Limited,Cnr Wineglass and Middle Road  ,HILLCREST,QLD,4118,07 3800 4177,3806 9783,brownsplains@candk.asn.au,,0,12/21/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/brownsplainsfdc,6 weeks - 12 years,,,,,,,,T,,,,,,,,,,,,,,,
SE-00014046,PR-00008029,School hours care,C&K Regents Park Community Kindergarten,The Creche and Kindergarten Association Limited, 56 Emerald Drive   ,REGENTS PARK,QLD,4118,07 3552 5349,07 3856 5340,regentspark@candk.asn.au,,24,7/20/12,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/regentspark,3.5 - 4.5 years,,,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00000568,PR-00001129,"Child care, OSHC",Goodstart Early Learning Browns Plains - Browns Plains Road,Goodstart Early Learning Ltd,839 Wembley Rd    ,BROWNS PLAINS,QLD,4118,07 3809 2222,,kdw@goodstart.org.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/browns-plains-browns-plains-road/overview,6 weeks - 12 years,"""6 weeks - 24 months: $83.70, 25 - 35 months: $78.10, 36 months - 6 years: $77.00""",6:30am - 6:30pm,F,T,F,,,F,,,,,,,,,,,,,,,
SE-00000657,PR-00001129,Child care,Goodstart Early Learning Browns Plains - Mayfair Drive,Goodstart Early Learning Ltd,2-6 Mayfair Drive  ,BROWNS PLAINS,QLD,4118,07 3809 4200,,zbt@goodstart.org.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/browns-plains-north/overview,6 weeks - 6 years,"""6 weeks - 12 months: $82.60, 13 - 24 months: $78.50, 25 months - 6 years: $74.90""",6:30am - 6:30pm,T,T,F,F,,F,,,,,,,,,,,,,,,
SE-00000175,PR-00001129,Child care,Goodstart Early Learning Browns Plains - Redgum Drive,Goodstart Early Learning Ltd,18 Redgum Drive  ,BROWNS PLAINS,QLD,4118,07 3800 4969,,bpl@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,11/30/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/browns-plains-redgum-drive/overview,2.5 - 5 years,,6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001856,PR-00001129,Child care,Goodstart Early Learning Browns Plains - Wembley Road,Goodstart Early Learning Ltd,845-847 Wembley Road  ,BROWNS PLAINS,QLD,4118,07 3800 4471,,aab@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 86 children This service is approved to provide a rest period from 11.30am to 1.30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/browns-plains-wembley-road/overview,6 weeks - 12 years,"""6 weeks - 24 months: $80.00, 25 months - 5 years: $74.40""",6:30am - 6:30pm,F,T,F,T,,F,,,,,,,,,,,,,,,
SE-00001697,PR-00000064,"Child care, OSHC",Mini Mees Child Care Centre,Laurenleigh Pty Ltd,298-328 Bayliss Road  ,HERITAGE PARK,QLD,4118,07 3803 2599,07 3803 2699,minimees@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,1/14/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/mini-mees-child-care-centre.html?category_id=1,6 weeks -  12 years,,6:00am - 6:00pm,"""Morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000174,PR-00000697,Child care,New Life Lutheran Child Care Centre,Lutheran Church of Australia Queensland District,108 Middle Road  ,HILLCREST,QLD,4118,07 3800 1299,07 3800 1399,new_life@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,56,5/23/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qlecs.org.au/index.php?ref=MTk2OQ==,6 weeks - 5 years,"""6 weeks - 5 years: $65.00""",6:30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00001221,PR-00000659,OSHC,PCYC Crestmead - Browns Plains School Age Care,Queensland Police-Citizens Youth Welfare Association ,Browns Plains State School  Ivor Street,BROWNS PLAINS,QLD,4118,07 3800 1441,07 3800 3042,wendy.ross@pcyc.org.au,,117,8/26/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Browns-Plains.aspx,5 - 12 years,"""BSC: $16.00, ASC: $19.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00002296,PR-00000659,OSHC,PCYC Crestmead - Yugumbir School Age Care,Queensland Police-Citizens Youth Welfare Association ,Vansittart Road  ,REGENTS PARK,QLD,4118,07 3805 4100,07 3805 5383,yugumbirsac@pcyc.org.au,,100,7/13/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Crestmead-Yugumbir.aspx,5 - 12 years,"""BSC: $16.00, ASC: $20.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00002184,PR-00000090,OSHC,Regents Park Outside School Hours Care,Emmersmith Pty Ltd ATF Emmersmith Investment Trust,46-60 Emerald Drive   ,REGENTS PARK,QLD,4118,07 3806 7788,07 3806 7177,rposhc@idx.com.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to the service.,120,8/31/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,"""BSC: $13.00, ASC: $16.00, $41.00""","""BSC: 6:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000608,PR-40000413,Child care,RP Child Care Centre Pty Ltd,RP Child Care Centre Pty Ltd AFT Regents Park Unit Trust,133 Lamberth Road  ,REGENTS PARK,QLD,4118,07 3806 7788,07 3806 7177,rpccc@idx.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 85 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/6/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 12 months: $74.00, 13 months - 5 years: $72.50""",6:30am - 6:00pm,T,F,F,,F,F,,,,,,,,,,,,,,,
SE-00000966,PR-00000702,OSHC,St Bernardines Out Of School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Bernadine's School  25 Vergulde Road,REGENTS PARK,QLD,4118,07 3806 9940,,regentsparkoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,120,8/4/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.stbernardines.qld.edu.au/Parents/Pages/Outside-School-Hours-Care.aspx,4 - 12 years,"""BSC: $12.00 - $19.00, ASC: $15.00 - $19.00, VC: $40.00 - $60.00""","""BSC: 6:00 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001973,PR-00001158,Child care,Sunkids Children's Centre - Hillcrest,Kidzco Pty Ltd ATF the Gutco Family Trust,48-54 Middle Road  ,HILLCREST,QLD,4118,07 3800 4444,07 3800 4333,helen.baker@guardianchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 11.30am to 1.30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/11/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://hillcrestchildcare.com.au/,6 weeks  - 5 years,"""6 weeks - 5 years: $78.00""",6:00am - 6:00pm,F,F,F,,F,T,,,,,,,,,,,,,,,
SE-00000518,PR-00000445,"Child care, OSHC",Sweetgum Children's Development Centre,Kalgrove Pty Ltd,16 Sweetgum St  ,HILLCREST,QLD,4118,07 3800 7766,,sweetgum@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,74,5/21/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/sweetgum-children-s-development-centre.html,15 months - 12 years,"""15 months - 5 years: $73.00 - $68.00, 5 - 12 years BSC: $16.00 - $18.50, 5 - 12 years ASC: $16.00 - $18.50, 5 - 12 years VC: $56.50""",6:15am - 6:15pm,"""Lunch, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-40000817,PR-40000568,Child care,All For Kids Family Day Care,ALL FOR KIDS FAMILY DAY CARE PTY. LTD.,6/2892 Logan Road  ,UNDERWOOD,QLD,4119,413119967,,allforkidsfdc@yahoo.com,,0,10/9/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,,,,,,,,,F,,,,,,,,,,,,,,,
SE-00001853,PR-00007937,Child care,Charley's Place Underwood Village,Charley's Place Pty Ltd,2770 Logan Road  ,UNDERWOOD,QLD,4119,07 3423 3333,,bente@charleysplace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/10/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 6 years,"""6 weeks - 6 years: $78.00""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00001743,PR-00000823,"Child care, OSHC",Jacaranda Early Learning Centre - Underwood,Guardian Community Early Learning Centres Pty Ltd,2-12 Springvale Circuit  ,UNDERWOOD,QLD,4119,07 3423 2499,07 3423 3044,jacarandaunderwood@gelcmail.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,111,8/16/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.jacarandaunderwood.com.au/,6 weeks -  12 years,"""6 weeks - 24 months: $79.00, 25 months - 5 years: $76.00""",6:30am - 6:30pm,T,F,F,,,T,,,,,,,,,,,,,,,
SE-00000329,PR-00000127,Child care,Montessori Garden Early Learning and Childcare Centre,Gloria Evelyn Bainbrigge,2784 Logan Road  ,UNDERWOOD,QLD,4119,07 3841 0107,3841 0109,info@montessorigarden.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,1/9/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.montessorigarden.com.au,6 weeks -  5 years,"""6 weeks - 35 months: $68.00, 4 - 5 years: $64.00""",6:30am - 6:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00002141,PR-00000789,"Child care, OSHC",Underwood Early Learning Centre,Fasio Investments Pty Ltd,2794 Logan Road  ,UNDERWOOD,QLD,4119,07 3341 6063,1300 734 921,underwood@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,8/18/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/underwood-early-learning-centre.html?category_id=1,6 weeks - 12 years,"""6 weeks - 24 months: $76.00, 25 - 36 months: $75.00, 3 - 5 years: $71.00, 5 - 12 years BSC: $13.50, 5 - 12 years ASC: $17.00""",6:15am - 6:15pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001764,PR-00000807,Child care,Greenslopes Child Care Centre,Ramsay Health Care Services (Qld) Pty Ltd,100 Denman Street  ,GREENSLOPES,QLD,4120,07 3394 2366,07 3394 7322,childcarecentre.gph@ramsayhealth.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Reguilation 310 (1)).,75,1/24/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.greenslopesprivate.com.au/Careers/child-care-centre.aspx,6 weeks - 5 years,"""6 weeks - 2 years: $85.00, 15 months - 2.5 years: $80.00, 2.5 - 3.5 years: $78.00, 3 - 5 years: $76.00""",6:30am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000915,PR-00000307,OSHC,Greenslopes State School Outside School Care Association,Greenslopes State School P&C Association,Greenslopes State School Osca  559 Logan Road,GREENSLOPES,QLD,4120,07 3394 1609,07 3847 1702,osca1@iinet.net.au,,84,10/20/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://greensloss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $13.00 - $14.00, ASC: $17.50 - $18.50, VC: $40.00 - $42.00""","""BSC: 6:45 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-40000441,PR-40000439,Child care,Pebbles Family Day Care Pty Ltd,Pebbles Family Day Care Pty Ltd,414 Logan Rd  ,GREENSLOPES,QLD,4120,423659989,,pebblesfdc@gmail.com, The maximum number of educators that may be currently employed or engaged by the approved provider is 35.,0,7/12/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,,,,,,,,,F,,,,,,,,,,,,,,,
SE-00000280,PR-00000200,"Child care, OSHC",Stones Corner Children's Development Centre,Kidsconcern Pty Ltd,22 Edith Street  ,STONES CORNER,QLD,4120,07 3394 4605,07 3397 2666,julie@cpcc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is not required to comply with P3 (c) and P5 (e) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003). This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,72,8/2/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.scccc.com.au,6 weeks - 12 years,"""6 weeks - 12 months: $82.00, 13 - 24 months: $80.00, 25 - 35 months: $78.00, 36 months - 5 years: $76.00""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001478,PR-00000203,School hours care,Stones Corner Community Kindergarten Inc,Stones Corner Community Kindergarten Inc,57-63 Lincoln Street  ,STONES CORNER,QLD,4120,07 3397 9469,07 3847 9453,admin@stonescornerkindergarten.com.au,,25,11/24/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.stonescornerkindergarten.com.au/home/,3.5 - 4.5 years,"""3.5 - 4.5 years: $28.00 per day + $85.00 per term working bee levy + $5.00 membership fee + enrolment fee""",8:45am - 2:45pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000094,PR-00008029,Child care,C&K Arnwood Place Community Childcare Centre,The Creche and Kindergarten Association Limited,21 Arnwood Place  ,EKIBIN,QLD,4121,07 3892 3408,07 3892 3408,arnwood@candk.asn.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15months to 24 months of age. This ratio applies for children from 15months of age in place of regulation 123 (1) (a) until 31 December 2017.,58,12/2/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/arnwoodplace,6 weeks - 5 years,"""6 weeks - 15 months: $87.40, 16 months - 5 years: $85.30""",7:30am - 6:00pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00000093,PR-00001129,Child care,Goodstart Early Learning Tarragindi,Goodstart Early Learning Ltd,197 Birdwood Road  ,TARRAGINDI,QLD,4121,07 3394 2830,,zbu@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including over preschool not including school children.,62,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/tarragindi/overview,6 weeks -  5 years,"""6 weeks - 12 months: $88.30, 13 - 24 months: $86.20, 25 - 35 months: $83.20, 36 months - 5 years: $81.10""",6:45am - 6:15pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000569,PR-00000793,"Child care, OSHC",Holland Park Child Care Centre,Feng Holdings Pty Ltd ATF the Feng Family Trust,93 Seville Road  ,HOLLAND PARK,QLD,4121,07 3849 3300,,hparkccc@tpg.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 4:00pm when it is 74 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,62,5/16/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.hollandparkchildcarecentre.com.au/,6 weeks -  12 years,"""6 weeks - 2 years: $77.00, 15 months - 3 years: $70.00, 30 months - 5 years: $69.00, 5 - 12 years BSC: $15.00, 5 - 12 years ASC: $20.00""",7:00am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
