ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00000898,PR-00000171,OSHC,Oakleigh Outside School Hours Care,Oakleigh State School P & C Association Inc,Oakleigh State School  Buxton Street,ASHGROVE,QLD,4060,07 3366 5507,07 3366 5507,osch01@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,90,10/18/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://oakleighss.eq.edu.au/wcms/index.php/oakleigh-p-a-c/outside-school-hours-care148,5 -12 years,"""BSC: $12.50, ASC: $16.00, VC: $41.50""","""BSC: 6:30 - 9:00am, ASC: 2:45 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F
SE-00000974,PR-00000702,OSHC,St Finbarr's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Betheden Terrace  ,ASHGROVE,QLD,4060,07 3366 8387,07 3366 5378,ashgroveoshc@bne.centacare.net.au, The service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool including school children.,60,2/9/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.stfinbarrsashgrove.qld.edu.au/html/forparents/ohsc.html,5 - 12 years,"""BSC: $14.00 - $18.00, ASC: $18.00 - $22.00, VC: $40.00 - $44.00 + $30.00 yearly enrolment fee per family""","""BSC: 7:00 - 9:00am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Afternoon tea""",F,F,,,F
SE-00000732,PR-00000079,Child care,The Woods Early Education Centre and Preschool,The Gap Childcare Centre and Preschool Pty Ltd,84 Royal Parade  ,ST JOHNS WOOD,QLD,4060,07 3366 3322,07 3366 8522,thewoods@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=1&name=The+Woods+Early+Education+Centre+%26+Pre-school,6 weeks - 5 years,"""6 weeks - 30 months: $88.50, 30 months - 5 years: $78.50""",6:30am - 6:00pm,T,F,F,,F,F
SE-00001709,PR-00000533,OSHC,YMCA Ashgrove Outside School Hours Care,The Young Men's Christian Association of Brisbane,Glory Street  ,ASHGROVE,QLD,4060,3366 1523,,ash@ymca.org.au, The maximum number of children able to be provided with education and care before school is 71  This service is approved to provide education and care to children from over preschool age including school children.,75,5/30/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.ashgrovess.eq.edu.au/school-community/ymca/,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00014001,PR-00006557,OSHC,Camp Australia - Hilder Road State School OSHC,The Camp Australia Foundation Ltd,Kaloma Rd    ,THE GAP,QLD,4061,452247970, ,oshc@campaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children.,77,7/9/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.campaustralia.com.au/Service/QLDHilderRoadStateSchool/8555,5 - 12 years,"""BSC: $12.87 - $15.87, ASC: $18.96 - $21.96, VC: $45.00""","""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T
SE-00000926,PR-00000509,OSHC,Payne Road Outside School Hours Care Service,Payne Road State School P & C Association,Payne Road State School  171 Payne Road,THE GAP,QLD,4061,07 3300 0077,,prsspc@optusnet.com.au, An approved alternative solution relating to Perfomance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a pulication date of 16 November 2007) applies to this service.  This service is approved to provide education and care to children from over preschool age including school children.,75,10/25/09,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,https://paynroadss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $10.00, ASC: $17.00, VC: $42.00""","""BSC: 7:00 - 9:00am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T
SE-00000990,PR-00000702,OSHC,St Peter Chanel Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Peter Chanel School  41 Chaprowe Road,THE GAP,QLD,4061,07 3300 5077,07 3300 6407,thegaposhc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,75,7/23/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stpeterchaneloshc.com/,5 - 12 years,"""BSC: $13.00 - $18.00, ASC: $18.00 - $23.00, VC: $40.00 - $44.00 + $30.00 yearly enrolment fee per family""","""BSC: 7:00 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-40001406,PR-00000693,Child care,The Gap Child Care Centre,The Uniting Church in Australia Property Trust (Q.),1050 Waterworks Road  ,THE GAP,QLD,4061,417983855,07 3256 3495,thegapccc@wmb.org.au,,48,2/14/14,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 months - 5 years,"""6 months - 2 years: $87.50, 2 years - 30 months: $85.50, 30 months - 3 years: $83.50, 3 - 5 years: $81.00""",7:00am - 5:30pm,T,T,F,,,F
SE-00000096,PR-00000114,Child care,The Gap Cubbyhouse Children's Development Centre,Dollies Pty Ltd,177-181 Payne Road  ,THE GAP,QLD,4061,07 3300 2227,07 3300 0664,director@cubbyhousechildrenscentre.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,95,4/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.cubbyhousechildrenscentre.com.au/,6 weeks -  6 years,"""6 weeks - 5 years: $82.00""",6:30am - 6:00pm,F,F,F,,,F
SE-00000095,PR-00000707,Child care,The Gap Early Childhood Centre,The Gap Early Childhood Centre Pty Ltd,The Gap Village  1000 Waterworks Road,THE GAP,QLD,4061,07 3300 2043,07 3300 2403,tgecc@samford.net, This service is approved to provide education and care to children from children from 30 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,48,10/6/09,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,,3 years - 5 years,"""3 - 5 years: $73.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00000894,PR-00000533,OSHC,YMCA The Gap Outside School Hours Care,The Young Men's Christian Association of Brisbane,The Gap State School  Settlement Road,THE GAP,QLD,4061,07 3300 4792,07 3511 0010,agp@ymca.org.au, This service is approved to provide education and care to children from over preschool age including school children.,90,6/5/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north-west/the-gap-oshc,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000295,PR-00000302,Child care,Api Little Cribb Street Child Care Centre,Api Promotions Pty Ltd,Little Cribb Street  ,MILTON,QLD,4064,07 3236 2011,07 3236 2033,childcare@apiqld.com.au, This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,2/2/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 5 years: $87.00 - $73.50"" ",7:30am - 5:45pm,F,F,F,,,F
SE-00001300,PR-00008029,School hours care,C&K Paddington Kindergarten,The Creche and Kindergarten Association Limited,12 Charlotte St  ,PADDINGTON,QLD,4064,07 3369 5460,07 3369 0939,paddington@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,44,4/28/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/paddington,3.5 years - 4.5 years,"""3.5 - 4.5 years: $27.00""",9:00am - 2:30pm,F,F,F,,,T
SE-00001301,PR-00008029,School hours care,C&K Rosalie Community Kindergarten And Preschool,The Creche and Kindergarten Association Limited,Cnr Nash & Elizabeth St  ,ROSALIE,QLD,4064,07 3369 5296,07 3369 5296,rosalie@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,44,4/28/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/rosalie,3.5 - 4.5 years,"""3.5 - 4.5 years: $27.00""",8:40am - 2:50pm,F,F,F,,,T
SE-00002210,PR-00001064,Child care,Chatterbox Child Development and Care Centre Paddington ,Chatterbox Holdings Pty Ltd ATF Paddington Chatterbox Trust,24 Guthrie Street  ,PADDINGTON,QLD,4064,07 32175233,,paddington@chatterboxchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including over preschool age. not including school children.,117,6/9/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.chatterboxchildcare.com.au,6 weeks - 5 years,"""6 weeks - 35 months: $92.00, 36 months - 5 years: $82.00""",7:00am - 6:00pm,T,T,F,,,F
SE-00001583,PR-00000250,OSHC,Jabiru Kids Petrie Terrace,Jabiru Community Youth & Children's Services Association Inc,Petrie Terrace State School  Cnr Dowse and Charlotte Street,PETRIE TERRACE,QLD,4064,07 3369 2566,,petrieterrace@jabiru.org.au, The service is approved to provide education and care before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,59,9/14/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.jabiru.org.au/kids/about/petrie-terrace/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC: $45.90""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F
SE-00000689,PR-00001203,Child care,Kindy Patch Paddington,G8 Kp Pty Ltd,100 Enoggera Terrace  ,PADDINGTON,QLD,4064,07 3369 0099,07 3369 0751,paddington@kindypatch.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,3/14/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kindypatch.com.au/centres/kindy-patch-paddington/,6 weeks - 6 years,"""6 weeks - $15 months: $105.00, 15 months - 2 years: $97.00, 2 years - 30 months: $95.00, 30 months - 3 years: $92.00, 3 - 5 years: $88.00""",7:00am - 6:00pm,F,F,F,,,T
SE-00001191,PR-00000247,OSHC,Milton State School Outside School Hours Care,Milton State School P&C Association,Bayswater Street  ,MILTON,QLD,4064,07 3369 3917,,admin@moshc.net, An approved alternate solution relating to Performance Criteria 18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,131,4/8/10,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,5 - 12 years,"""BSC: $10.00, ASC: $17.00, VC: $43.00""","""BSC: 7:00 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001269,PR-00000418,"School hours care, OSHC",Bardon Community Kindy Inc.,Bardon Community Kindy Inc.,"Bowman Park, 247 Simpsons Road",BARDON,QLD,4065,07 3369 4697,07 33694697,bardonkindy@bigpond.com, This service is approved to provide eduation and care to children from 36 months up to and including over preschool age not including school children.,50,7/26/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://bardonkindy.com.au/,3.5 years - 5 years,,,F,F,F,,,F
SE-00000766,PR-00000073,Child care,Communify Childcare Qld,Communify Queensland Inc,180 Jubilee Terrace  ,BARDON,QLD,4065,07 3510 2711,07 3366 7845,childcare@communify.org.au, This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,21,3/27/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.communify.org.au/early-childhood-services/childcare-bardon/,15 months - 5 years,"""15 months - 5 years: $73.00""",8:00am - 5:30pm,F,F,F,,,F
SE-00000869,PR-00000800,OSHC,Ithaca Creek State School P&C Association OSHC,Ithaca Creek State School P&C Association,Ithaca Creek State School  Lugg Street,BARDON,QLD,4065,07 3368 1060,07 3368 1120,ithaoshc@bigpond.net.au, This service is approved to provide education and care to children from over preschool age including school children.,105,4/14/10,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,https://ithacacreekss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/About-OSHC.aspx,5 - 12 years,"""BSC: $10.50, ASC: $17.00, VC: $38.00""","""BSC: 7:00 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001830,PR-00000659,OSHC,PCYC SAC - Bardon,Queensland Police-Citizens Youth Welfare Association ,Bardon State School  330 Simpsons Road,BARDON,QLD,4065,no change,no change,bardonsac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,50,7/13/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Inala-Bardon.aspx,5 - 12 years,"""BSC: $13.00, ASC: $17.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T
SE-00001058,PR-00000702,OSHC,St Joseph's Bardon Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Josephs Bardon Primary School  The Drive,BARDON,QLD,4065,07 3369 6163,07 3369 8437,bardonoshc@bne.centacare.net.au, An approved alternate solution relating to Performance Criteria 18 Accessibilty within MP 5.4 Child Care Centres of the Queensland Development Code (with publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,55,8/9/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stjosephsbardon.qld.edu.au/About%20Us/Community/Pages/Outside-Hours-School-Care.aspx,4 - 13 years,"""BSC: $15.00, ASC: $19.00, VC: $40.00""","""BSC: 7:00 - 8:35am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F
SE-00000903,PR-00000533,OSHC,YMCA Rainworth Outside School Hours Care,The Young Men's Christian Association of Brisbane,Rainworth State School  185 Boundary Road,RAINWORTH,QLD,4065,07 3368 1596,07 3368 1251,arw@ymca.org.au, This service is approved to provide education and care to children from over preschool age including school children.,59,12/21/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://rainworthss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001674,PR-00000456,OSHC,Action Factory Brisbane Boys' College,Gekco Youth and Childcare Services Pty Ltd,Brisbane Boys College  Kensington Terrace,TOOWONG,QLD,4066,07 3720 9094,07 3878 3074,actionfactory@bbc.qld.edu.au, The service is approved to provide education and care to children after school and during school holidays. This service is approved to provide education and care to children from over preschool age including school children.,45,2/2/10,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.bbc.qld.edu.au/pastoral-care/outside-school-hours-care,5 - 13 years,"""ASC: $21.00, VC: $60.00""","""ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F
SE-00000434,PR-00000476,Child care,Milton Road Children's Centre,Yebomel Pty Ltd,467 Milton Rd  ,AUCHENFLOWER,QLD,4066,07 3870 0211,,miltonroadcc@optusnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/19/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks -  5 years,"""6 weeks - 2 years: $86.00, 2 - 3 years: $81.00, 3 - 5 years: $76.00""",6:30am - 6:00pm,T,T,F,,,F
SE-00001422,PR-00000383,School hours care,Montessori Children's House,Montessori Children's House Ltd,19 Wienholt Street  ,AUCHENFLOWER,QLD,4066,07 3371 7090,,childrenshouse@montessori-auchenflower.com.au, This service is  approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,6/18/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.montessori-auchenflower.com.au/,3.5 years - 4.5 years,"""3.5 - 4.5 years: $925.00 per term + $500.00 confirmation bond (refundable) + $100.00 enrolment fee + $50.00 membership fee + $100.00 building fund + $100.00 roster levy""",8:30am - 2:30pm,F,F,F,,,F
SE-00001051,PR-00000702,OSHC,St Ignatius Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Ignatius School  46 Grove Street,TOOWONG,QLD,4066,07 3870 3270,07 3870 8685,toowongoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over oreschool age including school children.,75,2/28/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stignatiustoowong.qld.edu.au/parent-information/Pages/Out-of-School-Hours-Care.aspx,4 - 14 years,"""BSC: $16.00 - $20.00, ASC: $20.00 - $24.00, VC: $42.00 - $46.00""","""BSC: 7:00 - 9:00am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00000924,PR-00000677,OSHC,Toowong  Outside School Hours Care,Toowong State School P & C Association,Toowong State School  St Osyth Street,TOOWONG,QLD,4066,07 3870 9126,07 3371 7357,toowongoshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,60,10/5/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://toowongss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,4.5 - 13 years,"""ASC: $13.50 - $15.00, VC: $32.00 - $38.00 + $11.00 family registration fee""","""ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""","""Afternoon tea""",F,F,,,F
SE-00000099,PR-00000693,Child care,Toowong Child Care Centre,The Uniting Church in Australia Property Trust (Q.),78 Sherwood Road  ,TOOWONG,QLD,4066,07 3371 2232,07 3371 7077,toowongccc@wmb.org.au, This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,50,10/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 months - 5 years,"""6 - 24 months: $85.00, 25 months - 5 years: $80.00""",7:30am - 5:30pm,T,T,F,,,F
SE-00002324,PR-00000677,OSHC,Toowong Outside School Hours Care - Centre 2,Toowong State School P & C Association,24 Quinn Street  ,TOOWONG,QLD,4066,07 3870 9126,,toowongoshc@bigpond.com, This service is approved to provide education and care to children from over preschool age incluidng school children.,40,10/1/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://toowongss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,4 - 14 years,"""BSC: $10.00 - $13.00, ASC: $13.50 - $15.00, VC: $32.00 - $38.00 + $11.00 family registration fee""","""BSC: 6:45 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
