ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000180,PR-00000897,"Child care, OSHC",Play and Learn Early Learning Centre Bismark St,Believe Queensland Pty Ltd,4-6 Bismark Street  ,LOGANHOLME,QLD,4129,07 3801 2475,07 3801 3217,bismark@playandlearn.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,4/2/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://loganholme.playandlearn.com.au/,15 months - 12 years,"""15 months - 3 years: $77.00, 3 - 5 years: $73.00, 5 - 12 years BSC: $16.00, 5 - 12 years ASC: $20.00, 5 - 12 years VC: $70.00""",6:30am - 6:30pm,T,T,F,,F,F,,,,,,,,,,,,,,,
SE-00000647,PR-00000015,Child care,Wandilla Magic Child Care Centre,Colbridge Pty Ltd,10-12 Wandilla Crescent  ,LOGANHOLME,QLD,4129,07 3801 1251,,wandillamagic@bigpond.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 126 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,118,1/18/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.wandillamagic.com/,6 weeks - 4 years,"""6 weeks - 15 months: $81.00, 2 - 3 years: $77.00, 3 - 5 years: $74.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000522,PR-00000973,Child care,Bright Horizons Australia Childcare Carbrook,Bright Horizons Australia Childcare Pty Ltd,25 Kruger Road  ,CARBROOK,QLD,4130,07 3287 6477,3287 6217,carbrook@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/8/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.bhchildcare.com.au/early-learning-centres-bright-horizons/queensland.html,6 weeks - 12 years,"""6 weeks - 24 months: $72.50, 25 - 35 months: $70.50, 36 months - 5 years: $68.00, 5 - 12 years BSC: $20.00, 5 - 12 years ASC: $23.00""",7:00am - 6:00pm,"""Morning tea""",T,F,,,F,,,,,,,,,,,,,,,
SE-00001946,PR-00000693,Child care,Kingdom Kids - Calvary Christian College Child Care Centre,The Uniting Church in Australia Property Trust (Q.),559 Redland Bay Road  ,CARBROOK,QLD,4130,732876222,732876030,info@calvarycc.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children,90,7/17/09,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.calvarycc.qld.edu.au/pageContent.aspx?ID=351,15 months - 5 years,"""15 - 36 months: $65.00, 3 - 4 years: $62.00, 4 - 5 years: $60.00""",7:00am - 5:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001887,PR-00000832,"Child care, OSHC",Play and Learn Early Learning Centre,Play and Learn (Qld) Pty Ltd as Trustee for Play and Learn Unit Trust,2-4 Vincent St  ,CORNUBIA,QLD,4130,07 3801 1211,38011411,director@playandlearn.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,90,3/9/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://cornubia.playandlearn.com.au/,6 weeks - 12 years,"""6 weeks - 3 years: $77.00, 3 - 5 years: $73.00, 5 - 12 years BSC: $16.00, 5 - 12 years ASC: $20.00, 5 - 12 years VC: $70.00""",6:30am - 6:30pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-00001128,PR-00000702,OSHC,St Matthews OSHC Program,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Matthews School  180 Bryants Road,CORNUBIA,QLD,4130,07 3806 0556,07 3801 3925,cornubiaoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,120,4/14/09,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.stmatthews.qld.edu.au/html/forparents/ohsc/ohsc_fact_sheets.pdf,5 - 12 years,"""BSC: $13.00 - $14.00, ASC: $16.00 - $17.00, VC: $39.00 - $41.00""","""BSC: 6:30 - 8:15am, ASC: 2:45 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000182,PR-00001129,Child care,Goodstart Early Learning Loganlea,Goodstart Early Learning Ltd,40 Monash Road  ,LOGANLEA,QLD,4131,07 3200 6753,,zbv@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/loganlea/overview,15 months - 6 years,"""15 - 24 months: $74.60, 25 - 35 months: $74.10, 36 months - 6 years: $73.60""",6:30 am - 6:00 pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000259,PR-00000199,Child care,Logan Tafe Community Child Care Centre,Logan Tafe Community Child Care Centre Inc,54-68 Armstrong Road   ,MEADOWBROOK,QLD,4131,07 3299 6277,07 3805 5008,admin@ltafeccc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,64,7/20/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 24 months: $71.00, 25 months - 5 years: $67.00""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000399,PR-00001218,Child care,Meadowbrook Child Care Centre,Apples & Sunshine Pty Ltd ATF Meadowbrook Childcare Centre Unit Trust,16 Yeates Crescent  ,MEADOWBROOK,QLD,4131,07 3805 3341,07 3805 5013,meadowbrookccc@live.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children.,75,5/3/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,"""6 weeks - 3 years: $77.00, 3 - 5 years: $73.00""",6:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000311,PR-40001112,"Child care, OSHC",Nanna's Care Child Care Centre,Affinity Education Group Limited,1-5 Sarah Street  ,LOGANLEA,QLD,4131,07 3805 3333,07 3805 3333,nannas.care@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,2/25/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 12 years,"""6 weeks - 15 months: $74.00 - $68.00, 15 months - 3 years: $70.00 - $65.00, 3 - 5 years: $69.00 - $63.00, 5 - 12 years BSC: $15.00 - $17.00, 5 - 12 years ASC: $17.00 - $20.00, 5 - 12 years VC: $51.00 - $57.00""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000349,PR-40001112,Child care,TLC Childcare Meadowbrook,Affinity Education Group Limited,18-22 Logandowns Drive  ,LOGANLEA,QLD,4131,07 3805 2711,07 3805 1266,meadowbrook@tlcchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,5/26/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.tlcchildcare.com.au/,6 weeks - 5 years,"""6 weeks - 24 months: $73.00, 25 months - 5 years: $71.00""",6:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00002312,PR-00008029,School hours care,C&K Crestmead Community Kindergarten,The Creche and Kindergarten Association Limited,27 Augusta Street  ,CRESTMEAD,QLD,4132,07 3200 2445,07 3556 7976,crestmead@candk.asn.au,,24,1/24/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/crestmead,3.5 - 4.5 years,"""3.5 - 4.5 years: $27.00""",8:30am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00002071,PR-00000081,"Child care, OSHC",0,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,2 Pine Grove Drive  ,CRESTMEAD,QLD,4132,07 3803 4444,07 3803 2222,crestmead@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,150,9/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=34&name=Crestmead+Early+Education+Centre,6 weeks - 12 years,"""6 weeks - 35 months: $79.00, 36 months - 5 years: $77.00, 5 - 12 years BSC: $19.00, 5 - 12 years ASC: $21.00""",6:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000428,PR-00001129,Child care,Goodstart Early Learning Crestmead - Julie Street,Goodstart Early Learning Ltd,50 Julie Street  ,CRESTMEAD,QLD,4132,07 3803 0567,,cre@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.goodstart.org.au/centres/crestmead-julie-street/services,15 months - 5 years,"""15 - 24 months: $75.80, 25 - 35 months: $72.70, 36 months - 5 years: $73.20""",6:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000502,PR-00001129,Child care,Goodstart Early Learning Crestmead - Third Avenue 1,Goodstart Early Learning Ltd,1 Third Avenue   ,MARSDEN,QLD,4132,07 3803 4399,,mar@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 71 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,11/30/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.goodstart.org.au/centres/crestmead-third-avenue/overview,6 weeks - 6 years,"""6 weeks - 12 months: $77.70, 13 - 35 months: $73.50, 36 months - 6 years: $71.40""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00013932,PR-00001129,Child care,Goodstart Early Learning Crestmead - Third Avenue 2,Goodstart Early Learning Ltd,1 Third Avenue   ,MARSDEN,QLD,4132,07 3803 5446,,mar2@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 80 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,1/1/12,Working Towards NQS,Meeting NQS,Working Towards NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Exceeding NQS,Working Towards NQS,http://www.goodstart.org.au/centres/crestmead-third-avenue/overview,6 weeks - 6 years,"""6 weeks - 12 months: $77.70, 13 - 35 months: $73.50, 36 months - 6 years: $71.40""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00013994,PR-00006559,OSHC,Helping Hands Marsden,Helping Hands Network Foundation Ltd,Marsden State School  Hickory Street,MARSDEN,QLD,4132,0411 216 796,07 5438 9549,libbyk@helpinghandsnetwork.com.au,,45,12/19/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,https://marsdenss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,,"""BSC: 6:30 - 8:20am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:30pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00002081,PR-00000964,OSHC,Kdk.Kids.First - Burrowes,Kdk.Kids.First Incorporated,Burrowes State School  Third Avenue,MARSDEN,QLD,4132,07 3803 7717,07 3803 7717,burrowes.kdk@hotmail.com, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 25 November 2005) applies to this service. ,110,11/29/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,5 - 12 years,,"""BSC: 6:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:00am - 6:00pm""",,,,,,F,,,,,,,,,,,,,,,
SE-00000283,PR-00007756,"Child care, OSHC",Kidikingdom Childcare Centre,Kidikingdom Pty Ltd,1/93 Chambers Flat Road  ,MARSDEN,QLD,4132,07 3805 3418,3805 4002,kidikingdom@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,57,10/29/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.kidikingdom.com.au/,6 weeks - 13 years,"""6 weeks - 4 years: $75.00, 4 - 6 years: $72.00, 5 - 12 years BSC: $30.00, 5 - 12 years ASC: $34.00, 5 - 12 years VC: $65.00""",6:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000183,PR-00000066,"Child care, OSHC",Macarthy Road Early Childhood Education and Care Centre,Miengrove Pty Ltd,66 Macarthy Road  ,MARSDEN,QLD,4132,07 3803 4660,,macarthyroadearlyed@bigpond.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,3/8/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.earlybirds.net.au/index.php?page=macarthy,2 - 5 years,"""2 - 5 years: $69.00 - $64.00""",6:15am - 6:15pm,"""Lunch""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000184,PR-00000208,"Child care, OSHC",Marsden Kindergarten & Child Care Centre,Zelcorp Pty Ltd,6-10 First Avenue  ,MARSDEN,QLD,4132,07 3805 2133,07 3805 3099,admin@marsdenchildcarecentre.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,134,7/25/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://marsdenkindy.com.au/,15 months - 12 years,"""15 months - 5 years: $67.25, 5 - 12 years BSC: $16.00, 5 - 12 years ASC: $16.00, 5 - 12 years VC: $55.00""",6:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00013971,PR-00000659,OSHC,PCYC Crestmead - St Francis College School Age Care,Queensland Police-Citizens Youth Welfare Association ,St Francis College  64 Julie Street,CRESTMEAD,QLD,4132,07 3805 4100, ,mel.cowie@pcyc.org.au,,75,6/12/12,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Crestmead-St-Francis.aspx,5 - 15 years,"""BSC: $16.00, ASC: $20.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:15 - 8:30am, ASC: 2:45 - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00001152,PR-00000659,OSHC,PCYC Logan - Crestmead School Age Care,Queensland Police-Citizens Youth Welfare Association ,Crestmead State School  Augusta Street,CRESTMEAD,QLD,4132,07 3200 2078,,ross.wendy@pcyc.org.au,,70,5/16/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,"""BSC: $12.00, ASC: $16.00, VC: $45.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,
SE-00014051,PR-00008029,School hours care,C&K Waterford Community Kindergarten,The Creche and Kindergarten Association Limited,4 River Road    ,WATERFORD WEST,QLD,4133,07 3299 6401,07 3299 6436,waterford@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,7/20/12,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.candk.asn.au/waterford,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.00""",8:20am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00001939,PR-00000596,School hours care,Canterbury College Kindergarten,Canterbury College Ltd,Old Logan Village Rd  ,WATERFORD,QLD,4133,07 3299 0888,3805 2132,d.benson@canterbury.qld.edu.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age.,94,7/26/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://canterbury.qld.edu.au/en/2012-06-06-23-38-15/curriculum-col1/2012-07-18-00-59-30,3.5 - 4.5 years,,8:30am - 3:15pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001239,PR-00000596,OSHC,Canterbury College OSHC & Vacation Care,Canterbury College Ltd,Old Logan Village Road  ,WATERFORD,QLD,4133,07 3299 0870,07 3805 2132,d.benson@canterbury.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,80,7/26/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://canterbury.qld.edu.au/en/2012-06-06-23-38-44/services/2012-07-18-00-08-28,3.5 - 12 years,"""BSC: $8.00 - $9.00, ASC: $17.50 - $19.50, VC: $40.00""","""BSC: 6:45 - 8:30am, ASC: 3:15 - 6:00pm, VC: 7:00am - 6:00pm""","""Afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000002,PR-00000898,"Child care, OSHC",Community Kids Waterford Early Education Centre,G8 Education Limited,8-10 Allora St  ,WATERFORD WEST,QLD,4133,07 3200 9852,07 3200 6046,waterford@communitykids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is not required to comply with P3 (c) and P5 (e) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003) This service is approved to provide a rest period from 12:30pm to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,11/3/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.communitykids.com.au/centres/childcare-waterford/,15 months - 12 years,,6:15am - 6:15pm,T,F,F,,,T,,,,,,,,,,,,,,,
SE-00002054,PR-00000941,Child care,Footsteps Early Learning Centre,Kjrpw Pty Ltd,38 Bourke St  ,WATERFORD WEST,QLD,4133,07 3299 7822,07 3200 7622,footstepselc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,6/15/10,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,,,6:00am - 6:00pm,,,,,,F,,,,,,,,,,,,,,,
SE-00000420,PR-00001129,Child care,Goodstart Early Learning Waterford,Goodstart Early Learning Ltd,1-3 Beutel Street  ,WATERFORD WEST,QLD,4133,07 3805 1177,,wat@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,59,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/waterford/overview,6 weeks - 6 years,"""6 weeks - 12 months: $75.90, 13 months - 6 years: $74.30""",6:30 am - 6:30 pm,F,F,F,F,,F,,,,,,,,,,,,,,,
SE-00000527,PR-00000880,Child care,Happy House Child Care & Early Education Centre,Eci Nominees Pty Ltd ,Waterford Plaza  Tygum Rd,WATERFORD,QLD,4133,07 3805 5511,,happyhousechildcare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,2/1/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 6 years,"""6 weeks - 6 years: $70.50""",6:30 am - 6:00 pm,T,T,F,,,F,,,,,,,,,,,,,,,
