ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Secure Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-40000960,PR-00000431,"""Long Day Care, Outside Hours Care""",Sesame Lane Child Care Centre North Lakes 3,Sesame Lane Pty Ltd,67 Astley Pde  ,NORTH LAKES,QLD,4509,07 3491 7240,,northlakes3@sesamelane.com.au,,107,7/2/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://sesamelane.com.au/centres/,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $67.00, 25 months - 4 years: $63.00""",6.30am - 6.30pm,T,T,,,T,,,,T,,,,,,,,,,,,
SE-00002067,PR-00000431,"""Long Day Care, Outside Hours Care""",Sesame Lane Child Care Centre North Lakes Centre 1,Sesame Lane Pty Ltd,Cnr Gardenia Pde and Discovery Drive  ,NORTH LAKES,QLD,4509,3491 9466,3886 5419,northlakes@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P5 Toilet facilities and P7 Sluicing facilities within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,115,9/25/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://sesamelane.com.au/centres/,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $67.00, 25 months - 4 years: $63.00""",6.30am - 7.30pm,T,T,,,T,,,,T,,,,,,,,,,,,
SE-40001374,PR-00000702,Short Day Care,St Benedict's Kindergarten,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Benedict's Primary School  22 St Benedicts Cl,MANGO HILL,QLD,4509,733676300,,mangohillkindy@bne.centacare.net.au, This service is approved to provide education and care to children from 36 Months to Preschool. The service approval issued is subject to the following: that the service has 3 educators present at the premise and working with children at all times education and care is being provided The service approval issued is subject to the following: It is a requirement that the Approved Provider must hold a current and valid certificate of classification for the premise nominated on this service approval,22,3/19/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.stbenedicts.qld.edu.au/documents/oshc.html,,,,T,,,,,,,,T,,,,,,,,,,,,
SE-00002097,PR-00000702,Outside Hours Care*,St Benedict's OSHC,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Anzac Avenue and Kinsella Road  ,MANGO HILL,QLD,4509,3293 4507,3481 4699,mangohilloshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,105,7/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.stbenedicts.qld.edu.au/documents/oshc.html,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 8.30am, ASC: 2.45pm - 6.00pm, VC: 6.30am - 5.30pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001810,PR-00000693,Outside Hours Care*,The Lakes College - After & Before College Care,The Uniting Church in Australia Property Trust (Q.),2 College Street    ,NORTH LAKES,QLD,4509,07 3491 5512,07 3491 5599,ahardy@thelakes.qld.edu.au, An approved alternative solution relating to Performance Criteria P16 Electrical Safety Precautions within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,100,4/30/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.thelakescollege.com.au/community/tlc-services/college-care/,"""ages 5 years to 12 years""","""BSC: $13.00, ASC: $19.00, VC: $40.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.30pm, VC: 7.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001935,PR-00000927,Long Day Care,Bambini Early Childhood Development - Caboolture,Gabrielle Giufre,300 Walkers Road   ,UPPER CABOOLTURE,QLD,4510,5428 3939,07 5428 3979,caboolture@bambiniecd.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,9/20/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.bambiniecd.com.au/studios/caboolture/,"""ages 6 months to 5 years""","""6 weeks - 35 months: $77.00, 36 months - 5 years: $75.00""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00000554,PR-00000081,Long Day Care,Bellmere Early Education Centre and Pre-School,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,184 Bellmere Rd  ,Bellmere,QLD,4510,07 5498 3737,5428 0137,bellmere@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/28/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.qccs.com.au/default.aspx,,,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002316,PR-00008029,Short Day Care,C&K Beachmere Community Kindergarten,The Creche and Kindergarten Association Limited,22 James Road  ,BEACHMERE,QLD,4510,07 5496 8562,07 5429 0534,beachmere@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,1/25/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/beachmere,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.30am - 2.30pm,F,,,,,T,F,,,,,,,,,,,,,,
SE-00001538,PR-00008029,Short Day Care,C&K Caboolture Community Kindergarten  And Preschool,The Creche and Kindergarten Association Limited,2 Walter Street  ,CABOOLTURE,QLD,4510,07 5499 1588,,caboolture@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,11/20/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/caboolture,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",9.00am - 3.07pm,F,,,,,,,,,,,,,,,,,,,,
SE-00000265,PR-00008029,Long Day Care,C&K Caboolture Tafe Community Child Care Centre,The Creche and Kindergarten Association Limited,54 Bradman Street  ,CABOOLTURE,QLD,4510,07 5498 3542,5498 9539,cabtafe@candk.asn.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,58,4/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/caboolturetafe,"""ages 6 weeks to 5 years""","""ages 6 weeks - 5 years: $75.00""",6.30am - 6.00pm,,,,,,F,,,,,,,,,,,,,,,
SE-00001306,PR-00000060,Short Day Care,Caboolture Apex Kindergarten and Pre School,Caboolture Apex Kindergarten & Preschool Association Inc,16 Newman St  ,CABOOLTURE,QLD,4510,07 5495 1400,5495 3791,cabapex@gmail.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/cabooltureapex,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $26.00""",8.45am - 2.45pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001647,PR-00000081,Long Day Care,Caboolture Central Early Education Centre & Pre School,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,19-21 George Street   ,CABOOLTURE,QLD,4510,5428 3831,5428 3825,cabcentral@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,92,7/9/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=5,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $79.00, 25 months - 5 years: $75.00""",6.15am - 6.15pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00000314,PR-00001068,Long Day Care,Caboolture Christian Children's Centre,Caboolture Christian Child Care Pty Ltd,11-13 Warner Street  ,CABOOLTURE,QLD,4510,07 5499 3466,5499 3403,director@cabooltureccc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/6/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.christianchildcare.com.au/caboolture.php,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $78.00, 25 months - 35 months: $76.00, 36 months - 5 years: $74.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-40000421,PR-40000063,Short Day Care,Caboolture Montessori School,Moreton Bay Montessori Association,Harmony Montessori School  200 Old Gympie Rd,CABOOLTURE,QLD,4510,07 5495 5877,07 5499 3927,principal@cms.qld.edu.au, At all times that education and care is being provided under this service approval the educator to child ratios under Regulation 123(1) is applied to all children sharing the premise including the children being educated and cared for under this service approval and any other children using the premise. At all times that education and care is being provided under this service approval there must not be less than 3.25m2 of indoor play space and 7m2 of outdoor play space per child attending the premise with the total number of children at the premise not to exceed 44 including the children being educated and care for under this service approval and any other children using the premise.,30,1/31/17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.cms.qld.edu.au/,"""ages 3.5 years to 5 years""","""3.5 years - 4 years: $25.00""",8.30am - 2.45pm,F,,,,,,,,,,,,,,,,,,,,
SE-00000373,PR-00001176,Long Day Care,Casia House,Family 4 Care Pty Ltd,10 George Street  ,CABOOLTURE,QLD,4510,07 5428 1888,,casiahouse@bigpond.com, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide education and care to children from birth up to and including school children.,21,5/28/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.casiahouse.com.au/,"""ages 15 months to 5 years""",,7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001658,PR-00001129,Long Day Care,Goodstart Early Learning Beachmere,Goodstart Early Learning Ltd,2 James Rd  ,BEACHMERE,QLD,4510,07 5429 0033,,huj@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/beachmere/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $78.70, 25 months - 35 months: $77.10, 36 months - 6 years: $74.00""",6.00am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001681,PR-00001129,Long Day Care,Goodstart Early Learning Caboolture - Smiths Road,Goodstart Early Learning Ltd,77-79 Smiths Road  ,CABOOLTURE,QLD,4510,5495 4655,,hts@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/caboolture-smiths-road/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $78.40, 25 months - 35 months: $76.80, 36 months - 6 years: $74.20""",6.00am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00000457,PR-40000815,Long Day Care,Guppys Early Learning Centre,Guppys ELC Pty Ltd ATF Parkross Family Trust,32 Jubilee Street  ,CABOOLTURE,QLD,4510,5498 3355,5499 0103,suzanne@guppys.com.au; ann@guppys.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and  care to children from birth up to and including school children.,111,12/20/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.guppys.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.30pm,,,,,T,,,,,,,,,,,,,,,,
SE-00000117,PR-00000857,Long Day Care,Harmony Montessori Children's House-Caboolture,Mahna Investments Pty Ltd as Trustee for Caboolture Harmony Montessori Children's House Trust,55 Fortune Esplanade  ,CABOOLTURE,QLD,4510,07 5495 7188,5495 2437,directorcaboolture@harmonymontessori.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,55,6/4/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://harmonymontessori.com.au/,,,7.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002106,PR-00000987,Family Day Care,Hatchling House Family Day Care,Flat Back Pty Ltd,40 Colburn Way   ,Bellmere,QLD,4510,5432 3885,5432 3886,mary@hatchlinghouse.com.au,,0,2/5/15,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://hatchlinghousefdc.com.au/,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00000116,PR-00000104,Long Day Care,Hayes Street Community Child Care Centre,Caboolture & Districts Child Care Association Incorporated,23 Hayes St  ,CABOOLTURE,QLD,4510,07 5495 3288,5495 8639,hscc23@internode.on.net, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday  to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,38,3/29/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.hayesstreet.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $75.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000806,PR-00000101,Family Day Care,Lady Gowrie Brisbane North Sunshine Coast Family Day Care,The Gowrie (Qld) Inc.,10B Torrens Road  ,CABOOLTURE,QLD,4510,07 5495 2766,5498 9447,cabfdc@ladygowrie.com.au,,0,7/5/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.gowrieqld.com.au/childrens-programs/family-day-care/,"""ages 6 weeks to 12 years""","""6 weeks  12 years: $4.95 - $8.15*""",12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00002411,PR-00000101,Short Day Care,Lady Gowrie Caboolture East Community Kindergarten,The Gowrie (Qld) Inc.,64 Manley Street   ,CABOOLTURE,QLD,4510,07 5428 1477,07 5428 2621,cabeastkindy@ladygowrie.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,10/13/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.gowrieqld.com.au/affiliated-kindergartens/,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002121,PR-00000997,Long Day Care,McKean Kidz Early Learning Centre,Allard Developments Pty Ltd ATF the Allard Family Trust,120 - 124 Mc Kean Street  ,CABOOLTURE,QLD,4510,07 5432 3200,07 5432 3211,info@mckeankidz.com.au, This service is approved to provide education and care to 110 children. At any given time only 100 of these children may be preschool age or under. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children,110,9/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.mckeankidz.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $85.00, 25 months - 35 months: $83.00, 36 months - 5 years: $81.00""",6.00am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001009,PR-00000659,Outside Hours Care*,PCYC Caboolture School Age Care,Queensland Police-Citizens Youth Welfare Association ,Toovey Street  ,CABOOLTURE,QLD,4510,5495 7143,5495 5659,reny.mustikawati@pcyc.org.au, The maximum number of children able to be provided with education and care after school is 60. The maximum number of children able to be provided with education and care during school holidays is 100. The maximum number of children able to be provided with education and care before school is 60.,100,10/27/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Caboolture.aspx,"""ages 5 years to 12 years""","""BSC: $12.00, ASC: $15.00, VC: $42.00""","""BSC: TBC, ASC: 3.00pm - 6.00pm, VC: 7.30am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00000118,PR-00000772,Long Day Care,Premier Early Learning Centre - Caboolture,Peppercorn Holdings No. 7 Pty Ltd,101 Lynfield Drive  ,CABOOLTURE,QLD,4510,07 5495 6133,5498 3112,caboolture@premierelc.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,5/8/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.kidsincare.com.au/,"""13 months to 35 months""","""13 - 24 months: $67.50, 25 months - 35 months: $64.50""",6.00am - 6.00pm,T,,,,,,,,T,,,,,,,,,,,,
SE-00014000,PR-00007778,"""Long Day Care, Out of Hours Care""",St Michael's College Early Learning Centre,St Michael's College  ,1-63 The Abbey Place   ,CABOOLTURE,QLD,4510,07 5428 2777,07 5428 2117,korr@smccab.qld.edu.au, This service is approved to provide education and care to children from birth up to and including school children.,139,6/15/16,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.smccab.qld.edu.au/elc/index.php,"""6 weeks to 12 years""","""6 weeks - 12 months: $79.00, 13 months - 5 years: $75.00, Kinder only: $55.00, BSC: 20.00, ASC: $26.00""",6.30am - 6.00pm,T,T,,,,F,$33.00,F,,,,,,,,,,,,,
SE-40000182,PR-00000697,Long Day Care,St Paul's Lutheran Kindergarten,Lutheran Church of Australia Queensland District,St Pauls Lutheran Primary Sch  55 Smiths Rd,CABOOLTURE,QLD,4510,5432 4318,,stpauls.kgt@qlecs.org.au,,48,1/30/17,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.stpaulslutherankindy.com.au/,"""ages 24 months to 5 years""",,7.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001203,PR-00000697,Outside Hours Care,St Paul's Lutheran Outside School Hours Care,Lutheran Church of Australia Queensland District,55 Smiths Road  ,CABOOLTURE,QLD,4510,07 5428 0322,5428 0322,stpauls.oshc@qlecs.org.au, This service is approved to provide education and care to children from over preschool age including school children.,52,7/18/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.stpaulslps.qld.edu.au/our-school/outside-school-hours-care,"""ages 5 years to 12 years""","""BSC: $14.00, ASC: $19.00, PFD: $43.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000942,PR-00000702,Outside Hours Care,St Peter's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Peter's School  30 Beerburrum Road,CABOOLTURE,QLD,4510,07 5495 8806,5495 8506,cabooltureoshc@bne.centacare.net.au, This service is approved to provide education and care to children before school after school and during school holidays.,62,7/2/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.stpeterscaboolture.qld.edu.au/documents/oshcinfobrochure.pdf,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $19.00, VC: $42.00, PFD: $42.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.30pm, VC: 6.30am - 6.30pm, PFD: 6.30am - 6.30pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00000115,PR-00000022,Long Day Care,Torrens Road Child Care Centre,Torrens Road Community Child Care Association Inc,10A Torrens Road  ,CABOOLTURE,QLD,4510,07 5495 6277,5498 9403,torrensadmin@eftel.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,60,7/3/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,6.15am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00000580,PR-00007935,Long Day Care,Early Learning Centre Ningi,Ningi Investments Pty Ltd ATF Ningi Investments Unit Trust,2 Grey Gum Court  ,NINGI,QLD,4511,07 5497 6555,,elcningi@kidsincare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,10/19/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.kidsincare.com.au/ningi,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $77.50, 13 months - 24 months: $75.50, 25 months - 35 months: $75.00, 36 months - 5 years: $73.00""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
