ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00001870,PR-00000950,Child care,Sunnybank Childcare & Early Education Centre,Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust & Cynas Childcare Pty Ltd ATF Cynas Childcare Trust,88 Lister Street  ,SUNNYBANK,QLD,4109,07 3345 1824,,thedirector@sunnybankccc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the the provisions of Regulation 310 (1)).,115,12/23/08,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://avenueschildcare.com.au/locations/sunnybank/,15 months - 5 years,"""15 - 24 months: $75.50, 24 months - 5 years: $68.50""",7:00am - 6:30pm,T,T,F,,,F
SE-00001480,PR-00000017,School hours care,Sunnybank Community Pre School and Kindergarten,Sunnybank Community Pre School and Kindergarten Assoc Inc,101 Lister Street  ,SUNNYBANK,QLD,4109,07 3345 1958,,scpka101@bigpond.com,,25,1/18/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,3.5 years - 5 years,"""3.5 - 5 years: $24.00""",,,,,,,F
SE-00000090,PR-00001153,Child care,Sunnybank Hills Child Care Centre,Kinder Educentres Pty Ltd ATF the Farro Trust,371 Jackson Road  ,SUNNYBANK HILLS,QLD,4109,07 3273 4574,07 3273 4574,sbankhcc@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,52,6/14/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,15 months - 5 years,"""15 months - 3 years: $70.00, 3 - 5 years: $68.00""",,F,F,F,,,F
SE-00002278,PR-00000789,Child care,Sunnybank Hills Early Learning Centre ,Fasio Investments Pty Ltd,285 Gowan Road  ,SUNNYBANK HILLS,QLD,4109,07 3711 5589,07 3711 5582,sunnybankhills@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,115,8/17/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.kal.net.au/home/centres/item/sunnybank-hills-early-learning-centre.html?category_id=1,6 weeks - 5 years,"""6 weeks - 2 years: $68.00, 2 - 4 years: $66.00, 4 - 5 years: $62.00""",6:15am - 6:15pm,"""Morning tea, afternoon tea""",T,F,,,F
SE-00000878,PR-00000693,OSHC,Sunnybank Uniting Church After School Child Care,The Uniting Church in Australia Property Trust (Q.),Cnr Hillcrest Street and Hellawell Road  ,SUNNYBANK SOUTH,QLD,4109,07 3273 4495,732720720,childcare@sunnybankuc.org.au,,90,1/19/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,"""BSC: $15.00, ASC: $25.00, VC: $47.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",F,F,F,,,F
SE-00013974,PR-00005370,Child care,Acacia Ridge Early Years Centre and Kindergarten,The Benevolent Society,Nyngam Street   ,ACACIA RIDGE,QLD,4110,07 3320 8450,33208450,areycandkindergarten@benevolent.org.au,,80,6/7/12,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 8 years,,,,,,,,F
SE-00000725,PR-00000973,Child care,Bright Horizons Australia Childcare Acacia Ridge,Bright Horizons Australia Childcare Pty Ltd,7 Mannington Road  ,ACACIA RIDGE,QLD,4110,07 3255 6699,3898 0277,acaciaridge@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,7/19/10,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.bhchildcare.com.au/welcome-childcare-early-learning/bright-horizons.html,6 weeks - 5 years,"""6 weeks - 24 months: $72.00, 25 - 35 months: $71.00, 36 months - 5 years: $70.00""",6:00am - 6:00pm,F,T,F,,,F
SE-00001252,PR-00008029,School hours care,C&K Acacia Ridge Kindergarten And Pre School,The Creche and Kindergarten Association Limited,Cnr Chardean & Wray Streets  ,ACACIA RIDGE,QLD,4110,07 3277 1430,3277 1430,acaciaridge@candk.asn.au,,44,5/30/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/acaciaridge,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100.00 enrolment fee""",8:30am - 2:30pm,F,F,F,,,T
SE-00001303,PR-00008029,School hours care,C&K Gundoo Mirra Community Kindergarten,The Creche and Kindergarten Association Limited,21 Coley Street  ,ACACIA RIDGE,QLD,4110,07 3373 8132,,gundoomirra@candk.asn.au,,20,1/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/gundoomirra,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $50.00 enrolment fee""",8:30am - 2:00pm,F,F,F,,,T
SE-00002115,PR-00000994,Child care,Kidz Magic,Kidz Magic Qld Pty Ltd,77 Juniper Street  ,HEATHWOOD,QLD,4110,07 3879 7289,1300 734 921,kidzmagic@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,7/14/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.kal.net.au/home/centres/item/kidz-magic.html?category_id=1,6 weeks -  5 years,,6:15am - 6:15pm,T,T,F,,,F
SE-00002088,PR-00000659,OSHC,PCYC  Inala - Pallara School Age Care,Queensland Police-Citizens Youth Welfare Association ,Pallara State School  282 Ritchie Road,PALLARA,QLD,4110,3372 2222,07 3809 4506,pallarasac@pcyc.org.au,,60,7/12/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Inala-Pallara.aspx,5 - 12 years,"""BSC: $16.00, ASC: $20.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",,F,F,,,T
SE-00000921,PR-00000659,OSHC,PCYC SAC - Acacia Ridge,Queensland Police-Citizens Youth Welfare Association ,Acacia Ridge State School  Nyngam Street,ACACIA RIDGE,QLD,4110,3277 9623,07 3277 0631,acaciaridgesac@pcyc.org.au,,60,4/21/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Inala-Acacia-Ridge.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $45.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",,F,F,,,T
SE-00000030,PR-40000106,Child care,Sunrise Kids Early Education & Care - Acacia Ridge,Sunrise Kids #2 Pty Ltd ATF Sunrise Kids Trust,70 Elizabeth Street  ,ACACIA RIDGE,QLD,4110,07 3277 4052,3277 4054,directorar@sunrisekids.com.au, This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,68,5/23/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.sunrisekids.com.au/,6 weeks - 5 years,,6:00am - 6:00pm,T,T,F,,,F
SE-00000029,PR-00000533,Child care,YMCA Acacia Ridge Early Education Centre,The Young Men's Christian Association of Brisbane,Cnr Mannington Rd and Chifley St  ,ACACIA RIDGE,QLD,4110,07 3277 6333,07 3275 3543,ysouthcc@ymca.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,75,6/5/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ymcachildcare.com.au/edc-acacia-ridge-home,6 weeks - 5 years,"""6 weeks - 12 months: $72.00, 13 - 24 months: $69.00, 25 - 35 months: $68.00, 3 - 5 years: $67.00""",6:30am - 6:00pm,T,F,F,,,F
SE-00000790,PR-00000533,Child care,YMCA Brisbane Family Day Care,The Young Men's Christian Association of Brisbane,Cnr Mannington & Beaudesert Rd  ,ACACIA RIDGE,QLD,4110,07 3277 0990,3216 7123,ysouthfdc@ymca.org.au,,0,6/28/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ymcachildcare.com.au/brisbane-family-day-care,6 weeks - 12 years,"""6 weeks - 12 years: $6.50 - $9.30 per hour""",,F,F,F,,,F
SE-00000862,PR-00000308,OSHC,Griffith School Age Care,Campus Life Griffith University,Recreation Road  Griffith University,NATHAN,QLD,4111,07 3735 7892,07 3735 7561,school_age_care@griffith.edu.au, The service is approved to provide education and care to children from over preschol age including school children.,150,11/17/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.griffith.edu.au/childcare/before-after-school-care,5 - 12 years,"""BSC: $15.50 - $17.50, ASC: $21.50 - $29.00, VC: $41.00 - $50.00""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:30pm, VC: 6:30am - 6:30pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00000380,PR-00000308,Child care,Griffith University Boronia Child Care Centre,Campus Life Griffith University,Recreation Road Nathan Campus  Griffith University,NATHAN,QLD,4111,07 3735 5353,38756732,c.deakes@griffith.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 1:00pm to 3:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,10/27/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.griffith.edu.au/childcare/long-day-care,3 months - 5 years,"""3 - 24 months: $82.50, 25 months - 5 years: $80.00""",7:30am - 6:00pm,F,F,F,,,F
SE-00000070,PR-00000308,Child care,Griffith University Tallowwood Child Care Centre,Campus Life Griffith University,Recreation Road   ,NATHAN,QLD,4111,07 3735 7666,3875 6732,c.deakes@griffith.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 1:00pm to 3:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,2/25/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.griffith.edu.au/childcare/long-day-care,3 months - 5 years,"""3 - 24 months: $82.50, 25 months - 5 years: $80.00""",7:30am - 6:00pm,F,F,F,,,F
SE-00002037,PR-00000931,"Child care, OSHC",Kuraby Early Learning Centre,Lotsatots Pty Ltd,98 Franquin Cres  ,KURABY,QLD,4112,07 3341 1755,3341 1766,kurabyelc@bigpond.com, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 7:45am to 8:45am and 3:15pm to 4:15pm when it is 95 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,5/30/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kurabyelc.com.au/,6 weeks - 12 years,"""6 weeks - 15 months: $74.00, 15 months - 2 years: $71.00, 2 - 5 years: $68.00, 5 - 12 years BSC: $16.00 - $20.00, 5 - 12 years ASC: $19.50 - $22.50, 5 - 12 years VC: $60.00""",6:30am - 6:30pm,T,F,F,,,F
SE-00000416,PR-00000018,"Child care, OSHC",Kuraby Grove Child Care Centre,Kuraby Centre Pty Ltd,102 Besline Street  ,KURABY,QLD,4112,07 3841 4444,3841 7297,info@kurabygrove.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 4:00pm when it is 80 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applied for children from 15 months of age in place of regulation 123 (1) (a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/9/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kurabygrove.com.au/,6 weeks - 12 years,"""6 weeks - 15 months: $71.00 - $78.00, 15 months - 2 years: $68.00 - $75.00,3 years: $67.00 - $72.00, 4 years: $63.00 - $68.00, 5 - 7 years: $63.00 - $68.00, 5 - 12 years BSC: $22.50, 5 - 12 years ASC: $27.50, 5 - 12 years VC: $58.50""",6:30am - 6:00pm,F,F,F,,,F
SE-00000965,PR-00000248,OSHC,Kuraby Outside School Hours Care,Kuraby State School P & C Association,1523 Beenleigh Road  ,KURABY,QLD,4112,07 3841 5212,07 3841 2546,kurabyscoshc@optusnet.com.au,,60,2/27/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://kurabyss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $15.00, ASC: $20.00, VC: $45.00""","""BSC: 7:00 - 8:45am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00002133,PR-00000789,"Child care, OSHC",8 Mile Plains Early Learning Centre,Fasio Investments Pty Ltd,526 Warrigal Road   ,EIGHT MILE PLAINS,QLD,4113,07 3423 3879,07 3219 8590,8mileplains@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,150,5/19/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/8-mile-plains-early-learning-centre.html?category_id=1,6 weeks - 12 years,"""6 weeks - 15 months: $74.00, 15 months - 2 years: $74.00, 2 - 3 years: $72.00, 3 - 5 years: $68.00, 5 - 12 years BSC: $17.00, 5 - 12 years ASC: $17.00""",6:15am - 6:15pm,"""Morning tea, lunch""",T,F,,,F
SE-00000738,PR-00001098,"Child care, OSHC",Avenues Early Learning Centre - Runcorn Heights,Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust,124A Nemies Road  ,RUNCORN,QLD,4113,07 3276 0200,07 3276 0205,rh@avchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,3/16/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://avenueschildcare.com.au/locations/runcorn-heights/,6 weeks -  12 years,"""6 weeks - 15 months: $71.00, 15 months - 2 years: $67.00, 2 - 3 years: $66.00, 3 - 5 years: $64.00, 5 - 12 years BSC: $12.00, 5 - 12 years ASC: $18.00""",6:30am - 6:00pm,T,T,F,Y,Y,F
SE-40000660,PR-40000074,Child care,Bright Future Early Education Centre,Bright Future Early Education Centre Pty Ltd as Trustee for Bright Future Family Trust,32 Levington Rd  ,EIGHT MILE PLAINS,QLD,4113,07 3341 1368,,zhoushaowen77@hotmail.com,,75,3/28/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://brightfutureeec.com.au/Html/Main.asp,6 weeks - 5 years,"""6 weeks - 5 years: $85.00 - $80.00""",6:30am - 6:15pm,T,T,F,,,F
SE-00001003,PR-00000417,OSHC,Eight Mile Plains Childrens Activity Group Inc,Eight Mile Plains Childrens Activity Group Inc,Eight Mile Plains State School  480 Underwood Road,EIGHT MILE PLAINS,QLD,4113,07 3841 2906,N/A,empcag@bigpond.com,,60,12/21/09,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,https://eighmiless.eq.edu.au/facilities/outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $9.50, ASC: $14.00, VC: $36.00""","""BSC: 6:30 - 8:3am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000345,PR-00000851,Child care,Eight Mile Plains Community Children's Centre,Southside Childcare Pty Ltd ATF The Southside Childcare Trust,447-449 Warrigal Road  ,EIGHT MILE PLAINS,QLD,4113,3841 3350,,eightmilechild@optusnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,7/26/10,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,15 months - 5 years,"""15 months - 3 years: $65.00, 3 - 5 years: $62.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00013944,PR-00001129,Child care,Goodstart Early Learning Eight Mile Plains 1,Goodstart Early Learning Ltd,5 Buckingham Pl  ,EIGHT MILE PLAINS,QLD,4113,3841 3033,,emp@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,1/1/12,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/eight-mile-plains/overview,6 weeks - 5 years,"""6 weeks - 12 months: $85.90, 13 - 24 months: $83.80, 25 - 35 months: $79.70, 3 - 5 years: $77.60""",6:30am - 6:00pm,F,F,F,,,F
SE-00001686,PR-00001129,Child care,Goodstart Early Learning Eight Mile Plains 2,Goodstart Early Learning Ltd,5 Buckingham Pl  ,EIGHT MILE PLAINS,QLD,4113,3711 6200,,emp2@goodstart.org.au, This service is approved to provide a rest period from 12:00pm - 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,40,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/eight-mile-plains/overview,6 weeks - 5 years,"""6 weeks - 12 months: $85.90, 13 - 24 months: $83.80, 25 - 35 months: $79.70, 3 - 5 years: $77.60""",6:30am - 6:00pm,F,F,F,,,F
SE-00000727,PR-40000815,Child care,Guppy's Early Learning Centre - Runcorn,Guppys ELC Pty Ltd ATF Parkross Family Trust,70 Condamine Street  ,RUNCORN,QLD,4113,07 3272 1822,3711 3970,suzanne@guppys.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:30pm to 5:30pm when it is 77 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,9/19/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.guppys.com.au/,6 weeks - 5 years,"""6 weeks - 3 years: $74.00, 3 - 5 years: $72.00 - $73.00""",6:30am - 6:30pm,F,F,F,,,T
SE-00000641,PR-00000459,Child care,Kingbird Early Childhood Development Centre-Eight Mile Plains,Kingbird Pty Ltd ATF Kingbird Family Trust,276 Warrigal Road  ,EIGHT MILE PLAINS,QLD,4113,07 3219 9129,3219 9128,kbecdc@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. School children attending this service may not be older than prep age. This service is approved to provide a rest period from 12.00pm to 2.00pm on - Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,75,11/23/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 12 months: $75.00, 13 months - 2 years: $69.00, 2 - 3 years: $67.00, 3 - 4 years: $65.00, 4 - 5 years: $63.00""",7:00am - 6:00pm,T,T,F,,,F
SE-00001011,PR-00000093,OSHC,Runcorn Heights State School Outside School Hours Care,Runcorn Heights State School Parents and Citizens Association,200 Nemies Road  ,RUNCORN,QLD,4113,073272 4001,073272 6196,rhssoshc@gmail.com, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service,85,11/30/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,https://runcheigss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $10.50, ASC: $15.00, VC: $35.00""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F
