ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-40000174,PR-00000595,Short Day Care,St Joseph's Kindergarten North Rockhampton,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,18 Haynes St  ,PARK AVENUE,QLD,4701,749313600,749313700,kindergarten@rok.catholic.edu.au,,22,12/9/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.rok.catholic.edu.au/files/early_learning/Application_St_Josephs_parkavenue.pdf,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $30.00""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001484,PR-00000016,Short Day Care,Tarumbal Kindergarten,Tarumbal Kindergarten Association Inc,100 Water Street  ,NORTH ROCKHAMPTON,QLD,4701,07 4928 5350,4928 5350,ttarumba@bigpond.net.au,,25,7/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/tarumbal,"""ages 3.5 years to 5 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001346,PR-00000039,Short Day Care,Emu Park Community Kindergarten,Emu Park Community Kindergarten Inc,13 Arthur Street  ,EMU PARK,QLD,4702,07 4939 6622,,emuparkkindy@bigpond.com,,22,5/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/emupark,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $27.00""",8.20am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001627,PR-00001129,Long Day Care,Goodstart Early Learning Gracemere,Goodstart Early Learning Ltd,2 Stover St  ,GRACEMERE,QLD,4702,49334544,49334566,grc@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,12/1/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.goodstart.org.au/centres/gracemere-central/services,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $85.70, 13 months - 24 months: $81.00, 25 months - 35 months: $75.90, 36 months - 6 years: $75.90""",6.30am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000339,PR-00000306,"""Long Day Care, Outside Hours Care""*",Kallahra Child Care Centre,Feng Holdings Pty Ltd,621 Norman Road  ,PARKHURST,QLD,4702,07 4926 3400,07 4926 3010,kallahra@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,75,8/8/15,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.kallahrachildcare.com.au/,"""ages 15 months to 12 years""","""15 months - 35 months: $73.50, 36 months - 6 years: $72.00, BSC: $27.00, ASC: $32.00""",6.30am - 6.30pm,T,,,,,,,,,,,,,,,,,,,,
SE-00002329,PR-00001184,Long Day Care,Le Smileys Early Learning Centre,DJ and ME O'Rourke Pty Ltd ATF O'Rourke Family Trust,58 Lucas Street  ,GRACEMERE,QLD,4702,749333553,749333554,lesmileys@bigpond.com, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,88,1/25/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.lesmileys.com.au/,"""ages 6 weeks to 5 years""",,6.15am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00000597,PR-00000965,"""Long Day Care, Out of Hours Care""*""",Parkhurst Early Learning Centre,Cashmia Investments Pty Ltd,16 Bean Avenue  ,PARKHURST,QLD,4702,07 4936 2216,4936 2261,parkhurstelc@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,69,7/19/15,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.parkhurstelc.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 6 years: $68.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-40001628,PR-00000659,Outside of Hours Care,PCYC Rockhampton-Cawarral School Age Care,Queensland Police-Citizens Youth Welfare Association ,Cawarral State School  125 Annie Dr,CAWARRAL,QLD,4702,749277899,49223998,greg.jones@pcyc.org.au,,30,1/25/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 5 years to 12 years""",,2.45pm - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002280,PR-00000953,Long Day Care,Skippy's Early Learning Gracemere,Penny F Pty Ltd ATF Penny Farrell Unit Trust,79 Breakspear Street  ,GRACEMERE,QLD,4702,07 4933 3434,07 4933 3880,gracemere@skippys.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/27/15,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://skippys.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $76.00, 25 months - 35 months - 5 years: $71.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00011345,PR-00008029,Short Day Care,C&K Taranganba Community Kindergarten,The Creche and Kindergarten Association Limited, 61 Taranganba Road   ,YEPPOON,QLD,4703,07 4930 2084,07 33567976,taranganba@candk.asn.au,,24,9/10/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/taranganba,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000533,PR-00000386,Long Day Care,Cedar Avenue Early Learning,Krenske Enterprises Pty Ltd,20-24 Cedar Avenue  ,YEPPOON,QLD,4703,07 4939 2742,4939 2714,cedar@centralqldchildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 126 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,114,10/1/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 6 weeks to 5 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-40000085,PR-00006559,Out of Hours Care,Helping Hands Taranganba,Helping Hands Network Foundation Ltd,Taranganba State School  ,YEPPOON,QLD,4703,427001821,753418958,taranganba@helpinghandsnetwork.com.au,,60,10/25/16,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00000173,PR-00000834,Long Day Care,J.A.C.'s Learning World,Mrs Delena  Clark & Mr Jeffery Clark,6 Ranger Drive  ,YEPPOON,QLD,4703,07 4939 2010,07 4938 3759,jacslearning@westnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,52,9/22/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.jacslearningworld.com.au/about.html,"""ages 15 months - 6 years""",,6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002293,PR-00000659,Outside of Hours Care*,PCYC Rockhampton - Yeppoon School Age Care,Queensland Police-Citizens Youth Welfare Association ,Yeppoon State School  Tucker Street,YEPPOON,QLD,4703,07 4927 7899,,yeppoonsac@pcyc.org.au,,45,7/13/14,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://pcyc.org.au/School-Age-Care/Rockhampton-Yeppoon.aspx,"""ages 5 years to 12 years""","""ASC: $23.00, VC: $50.00""","""ASC: 3.00pm - 6.00pm, VC: 7.30am - 6.00pm""",T,,,,,,,,T,,,,,,,,,,,,
SE-00001231,PR-00000595,Outside of Hours Care,Sacred Heart Outside School Hours Care,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,14 Barracuda Crescent  ,YEPPOON,QLD,4703,07 4933 7725,07 4933 6470,rosemary_stevens@rok.catholic.edu.au,,30,12/24/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.shyrok.catholic.edu.au/forms/Information%20Booklet.pdf,"""ages 5 years to 12 years""",,3.00pm - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-40001635,PR-00000386,Short Day Care,Taranganba Early Learning,Krenske Enterprises Pty Ltd,83 Taranganba Rd  ,TAROOMBALL,QLD,4703,437827575,,taranganba@centralqldchildcare.com.au,,150,1/29/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.candk.asn.au/taranganba,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001516,PR-00000472,Short Day Care,Yeppoon & District Kindergarten,Yeppoon & District Kindergarten Association Inc,27 Queen Street  ,YEPPOON,QLD,4703,07 4939 1549,4939 1549,yeppoonkindy@bigpond.com,,50,6/21/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/yeppoondistrict,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $4.35 per hour*""",8.30am - 2.30pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001640,PR-00000472,Short Day Care,Yeppoon & District Kindergarten - Preschool Campus,Yeppoon & District Kindergarten Association Inc,16 Tucker Street  ,YEPPOON,QLD,4703,07 4925 0292,,yeppoonkindy@bigpond.com,,25,11/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/yeppoondistrict,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $4.35 per hour*""",8.30am - 2.30pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001487,PR-00008029,Short Day Care,C&K Tieri Community Kindergarten,The Creche and Kindergarten Association Limited,1 Carbeen Street  ,TIERI,QLD,4709,07 4984 8304,49848505,tieri@candk.asn.au,,25,3/17/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/tieri,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001688,PR-00000869,Long Day Care,Coastal Kids Childcare,Dallistonvalor Pty Ltd ATF Corrigan Family Trust,2 Arthur St  ,EMU PARK,QLD,4710,07 4938 7177,07 4938 7188,coastkid@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,96,1/28/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 5 years'",,6.15am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00002179,PR-00001035,Long Day Care,Kindy Care Mount Morgan,Lisa Wyvill,17 Central Street  ,MOUNT MORGAN,QLD,4714,4938 1772,4938 2776,kindycare@bigpond.com, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children,40,8/27/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,,"""ages 25 months to 6 years""""","""25 months - 6 years: $60.00",7.45am - 4.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00000720,PR-00001038,Long Day Care,Red Frog 4 Early Childhood Education,Marcel 3 Pty Ltd,32 Thompson Street  ,MOUNT MORGAN,QLD,4714,07 4938 1051,,redfrog4ece@bigpond.com,,44,5/5/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $63.00, 25 months - 35 months: $61.00, 36 months - 5 years: $58.00""",8.00am - 5.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000677,PR-00000502,Long Day Care,Biloela Early Learning Centre and Child Care,Qld Childcare Centres Pty Ltd,4 Heaton Street  ,BILOELA,QLD,4715,07 4992 4290,,biloelaearly@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,62,6/25/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $73.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000025,PR-00008029,Long Day Care,C&K Biloela Community Child Care Centre,The Creche and Kindergarten Association Limited,96-98 Grevillea Street  ,BILOELA,QLD,4715,07 4992 3777,4992 6780,biloela@candk.asn.au, The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,42,5/4/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/biloelachildcare,"""ages 3.5 years - 5 years""","""3.5 years - 5 years: $80.10""",8.00am - 4.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00001329,PR-00008029,Long Day Care,C&K Coo-Inda Community Kindergarten,The Creche and Kindergarten Association Limited,28 Lawrence Street  ,BILOELA,QLD,4715,07 4992 2604,4992 2604,coo-inda@candk.asn.au,,22,6/5/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/cooinda,"""ages 3.5 years - 5 years""","""3.5 years - 5 years; $28.08""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00000893,PR-00000659,Outside of Hours Care*,PCYC Biloela School Age Care,Queensland Police-Citizens Youth Welfare Association , Biloela PCYC  Valentine Plains Road,BILOELA,QLD,4715,07 4992 3186,07 4992 2850,peta.achilles@pcyc.org.au,,60,12/16/12,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Biloela.aspx,"""ages 5 years to 12 years""","""ASC: $22.00, VC; $55.00""","""ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",T,,,,,,,,T,,,,,,,,,,,,
SE-40000941,PR-00000595,Short Day Care,St Joseph's Catholic Pre-Preparatory Centre Biloela,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Corner Melton Street and Hospital Road  ,BILOELA,QLD,4715,749313753,,kindergarten@rok.catholic.edu.au,,22,7/23/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.rok.catholic.edu.au/early_learning.htm,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $30.00""",8.30am - 2.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00000131,PR-00008029,Long Day Care,C&K Blackwater Community Child Care Centre,The Creche and Kindergarten Association Limited,38 Elm Street  ,BLACKWATER,QLD,4717,07 4982 5665,4982 5665,blackwater@candk.asn.au,,70,11/17/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/blackwatercc,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $80.10""",7.00am - 5.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001281,PR-00008029,Short Day Care,C&K Blackwater Community Kindergarten,The Creche and Kindergarten Association Limited,Evans Street  ,BLACKWATER,QLD,4717,07 4982 5021,49825374,blackwaterk@candk.asn.au,,22,4/19/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/blackwatercc,"""ages 3.5 years to 5 years""","""ages 3.5 years - 5 years: $29.12""",8.30am - 2.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00002074,PR-00000659,Outside of Hours Care*,PCYC Blackwater School Age Care,Queensland Police-Citizens Youth Welfare Association ,Blackwater State School  Wey Street,BLACKWATER,QLD,4717,07 4982 5509,07 49861401,blackwatersac@pcyc.org.au,,60,10/16/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Blackwater.aspx,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $20.00, VC: $40.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-40000720,PR-00008117,Long Day Care,Moura Child Care Centre,Moura Child Care Centre Inc,CNR Young and Masters ST  ,MOURA,QLD,4718,49973242,49973242,mourachildcare@bigpond.com,,29,2/2/16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $84.00""",6.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001523,PR-00000506,Short Day Care,Moura Community Kindergarten,Moura Community Kindergarten Association Inc,5 Scenic St  ,MOURA,QLD,4718,07 4997 1179,,mourakindy@bigpond.com,,25,7/7/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/moura,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $22.00""",8.40m - 2.50pm,,,,,,T,$10.00,F,,,,,,,,,,,,,
SE-00001526,PR-00000414,Short Day Care,Borilla Community Kindergarten (Emerald),Borilla Community Kindergarten Association Inc,Cnr Borilla & Loch Sts  ,EMERALD,QLD,4720,49824734,4982 4734,borillakindy@bigpond.com,,75,1/26/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.borillakindy.com.au/,"""ages 36 months to 5 years""","""36 months - 5 years: $25.00""",,,,,,,T,$5.00,F,,,,,,,,,,,,,
SE-00001986,PR-00008029,Long Day Care,C&K Emerald South Community Pre-Schooling Centre,The Creche and Kindergarten Association Limited,28 Andrews Road  ,EMERALD,QLD,4720,4987 6246,4987 6284,emeraldsouth@candk.asn.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,75,2/9/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/emeraldsouth,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $83.20""",6.45am - 6.00pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00000812,PR-00000526,Family Day Care,Central Highlands Family Day Care Scheme,Family Day Care Association Queensland Inc,44 School Lane  ,EMERALD,QLD,4720,07 4982 0577,4987 5354,hgersbach@anglicarecq.org.au,,0,9/3/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.centralhighlands.com.au/business/central-highlands-family-daycare-scheme,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00001796,PR-00000546,Outside of Hours Care*,Emerald Outside School Hours Care,Emerald & District Social Development Association Inc.,13 Gladstone Street  ,EMERALD,QLD,4720,07 49 876628,07 49 823 710,emeraldoshc@bigpond.com, An approved alternative solution in relation to Performance Criteria P19 Combined play spaces within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service.,55,3/3/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.emeraldoshc.com.au/,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $20.00, VC: 60.00""","""BSC: 6.00am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 6.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001344,PR-00000390,Short Day Care,Emerald Pre School & Community Kindergarten,Emerald Pre School & Community Kindergarten Association Inc,Cnr Yamala & Retro Streets  ,EMERALD,QLD,4720,07 4982 1285,4987 7861,epack@bigpond.com,,50,4/3/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.emeraldpreschool.org.au/,"""ages 36 months to 4 years""",,8.30am - 1.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000625,PR-00000754,Long Day Care,Emerald World Of Learning,Ramsay Bourne Acquisitions (No.1) Pty Limited,1 Robert Street  ,EMERALD,QLD,4720,07 4982 0828,4987 5465,emerald@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,8/3/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.worldoflearning.com.au/,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $84.50, 13 months - 35 months: $82.50, 36 months - 6 years: $81.50""",6.00am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000132,PR-00001129,Long Day Care,Goodstart Early Learning Emerald,Goodstart Early Learning Ltd,77 Esmond Street  ,EMERALD,QLD,4720,07 4982 3408,07 4982 0089,eme@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 85 children,75,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/emerald/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $83.40, 25 months - 5 years: $77.80""",6.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
